危険物品名,計,製造所,屋内貯蔵所,屋外タンク貯蔵所,屋内タンク貯蔵所,地下タンク貯蔵所,簡易タンク貯蔵所,移動タンク貯蔵所,屋外貯蔵所,給油取扱所,販売取扱所／第1種,販売取扱所／第2種,移送取扱所,一般取扱所
第4類／特殊引火物,－,－,－,－,－,－,－,－,－,－,－,－,－,－
第4類／第一石油類／非水溶性,4856,－,10.8,4134.4,－,60,0.5,19,－,200,0.1,－,350,81.2
第4類／第一石油類／水溶性,－,－,－,－,－,－,－,－,－,－,－,－,－,－
第4類／アルコール類,－,－,－,－,－,－,－,－,－,－,－,－,－,－
第4類／第二石油類／非水溶性,4471.1,－,14,2083,4.1,100,0.5,12,24,1052,1.5,－,1150,30
第4類／第二石油類／水溶性,－,－,－,－,－,－,－,－,－,－,－,－,－,－
第4類／第三石油類／非水溶性,2923,－,4,960,20,50,－,12,145.8,150,1.2,－,1500,80
第4類／第三石油類／水溶性,－,－,－,－,－,－,－,－,－,－,－,－,－,－
第4類／第四石油類／非水溶性,55.9,－,3,－,20,－,－,－,18,－,－,－,－,14.9
第4類／動植物油類,－,－,－,－,－,－,－,－,－,－,－,－,－,－
