"救急隊出場先
区市町村",全発生場所,"住宅等
居住場所","道路・
交通施設","店舗・
遊技施設等","公園・
遊園地・
運動場等","会社・
公共施設等","学校・
児童施設等",医療施設,その他（不明含む）
全出場先,954.4 ,541.5 ,249.8 ,63.5 ,35.3 ,28.1 ,18.3 ,4.2 ,13.7 
千代田区,2692.8 ,502.9 ,1377.6 ,340.7 ,58.0 ,282.7 ,49.1 ,23.8 ,58.0 
中央区,1090.4 ,383.4 ,402.7 ,166.5 ,23.4 ,68.6 ,16.4 ,4.7 ,24.6 
港区,1282.8 ,527.7 ,435.1 ,148.2 ,43.2 ,70.6 ,16.6 ,8.5 ,32.8 
品川区,906.2 ,473.4 ,269.7 ,72.3 ,38.1 ,29.5 ,13.3 ,3.4 ,6.4 
大田区,929.4 ,556.7 ,230.6 ,47.8 ,32.8 ,32.0 ,14.0 ,2.6 ,12.8 
目黒区,829.3 ,488.4 ,213.3 ,46.9 ,30.2 ,19.6 ,14.2 ,6.0 ,10.7 
世田谷区,820.3 ,511.0 ,186.6 ,42.2 ,35.9 ,13.8 ,18.5 ,3.9 ,8.6 
渋谷区,1220.8 ,516.7 ,391.7 ,144.5 ,54.2 ,53.4 ,20.0 ,8.2 ,32.1 
新宿区,1353.0 ,544.3 ,489.8 ,169.2 ,49.0 ,54.5 ,18.5 ,7.0 ,20.9 
中野区,855.6 ,513.1 ,244.4 ,36.8 ,20.3 ,19.1 ,10.8 ,3.6 ,7.5 
杉並区,810.8 ,496.6 ,208.0 ,37.5 ,31.4 ,12.9 ,14.8 ,2.3 ,7.3 
文京区,828.0 ,482.8 ,201.7 ,41.5 ,38.0 ,25.2 ,21.2 ,5.7 ,11.9 
豊島区,1127.4 ,503.3 ,399.6 ,121.1 ,27.8 ,33.4 ,23.7 ,6.3 ,12.2 
北区,1027.9 ,557.3 ,320.5 ,53.8 ,41.6 ,22.9 ,17.8 ,3.4 ,10.5 
板橋区,896.0 ,533.5 ,241.3 ,45.6 ,27.2 ,21.9 ,14.0 ,4.7 ,7.7 
練馬区,815.2 ,510.3 ,193.4 ,41.5 ,28.0 ,15.7 ,16.6 ,3.0 ,6.8 
台東区,1376.9 ,589.7 ,505.8 ,126.7 ,45.7 ,56.5 ,16.7 ,5.9 ,30.0 
