消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十七),(二十),少危等／運搬,少危等／少危,少危等／準危,少危等／特燃
計,39054,7,3,7,39,45,531,201,238,7967,189,125,78,143,18,16,327,174,421,3596,31,126,1,1488,2479,4759,4940,172,－,219,9474,151,1089
特別区,31391,7,2,3,32,45,362,117,185,6323,137,77,46,113,12,16,273,124,352,2840,16,112,－,1241,1982,4097,4273,80,－,187,7220,144,973
丸の内,71,－,－,－,－,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,68,－,－
麹町,167,－,－,－,－,－,－,－,－,7,－,－,－,7,－,－,－,－,2,1,－,9,－,－,22,20,30,－,－,－,67,－,2
神田,178,－,－,－,1,1,3,2,－,－,1,－,－,－,－,－,－,4,2,9,－,1,－,10,72,40,19,－,－,－,13,－,－
京橋,250,－,－,－,－,6,2,2,－,1,－,－,－,－,－,－,－,－,1,－,－,1,－,1,14,85,11,－,－,－,126,－,－
日本橋,294,－,－,－,2,1,6,13,1,4,－,－,－,－,－,－,－,－,－,1,－,1,－,20,54,63,34,－,－,－,91,－,3
臨港,156,－,－,－,－,－,－,－,－,10,－,－,－,1,－,－,－,3,－,5,－,2,－,16,8,9,36,－,－,－,57,－,9
芝,211,－,－,－,－,－,10,－,1,8,－,－,－,－,－,－,－,－,2,3,－,－,－,1,25,77,17,9,－,－,57,－,1
麻布,55,－,－,－,－,－,－,－,－,9,－,－,－,－,－,－,－,2,6,－,－,－,－,－,1,4,5,－,－,－,28,－,－
赤坂,188,－,－,－,－,18,7,－,1,64,－,－,－,－,－,－,－,1,2,－,－,－,－,－,8,17,11,1,－,－,58,－,－
高輪,407,－,－,－,－,－,1,－,－,93,－,－,－,6,－,－,－,2,4,24,－,1,－,16,38,31,32,－,－,－,152,－,7
品川,921,－,－,－,－,－,3,－,1,193,－,－,－,3,－,－,1,－,21,137,－,3,－,26,76,54,93,－,－,10,270,2,28
大井,222,－,－,－,－,－,4,1,－,57,3,－,－,－,－,－,2,－,9,25,－,5,－,14,14,18,23,－,－,22,18,－,7
荏原,460,－,－,－,1,－,2,－,－,187,4,－,－,－,－,－,6,－,3,31,－,－,－,11,26,－,94,－,－,－,86,－,9
大森,195,3,－,－,－,－,2,－,－,27,1,－,－,2,－,－,2,3,11,16,－,2,－,6,13,9,10,8,－,22,54,2,2
東調布,349,1,－,－,－,－,2,－,1,185,4,2,1,2,－,－,3,4,1,20,－,2,－,2,13,38,34,2,－,－,29,－,3
蒲田,1360,－,－,3,－,－,5,6,25,266,8,6,8,3,－,－,14,－,3,316,－,3,－,42,69,94,173,－,－,8,283,－,25
矢口,540,－,－,－,4,1,22,10,－,56,4,－,1,7,－,－,6,－,2,83,－,4,－,13,47,71,47,1,－,3,125,10,23
目黒,1259,－,－,－,－,－,32,7,－,111,4,－,－,－,－,－,4,3,14,172,－,1,－,5,47,270,300,7,－,－,261,－,21
世田谷,808,－,－,－,－,－,3,2,－,352,7,1,2,7,－,－,4,3,10,17,1,3,－,11,40,134,111,4,－,－,92,－,4
玉川,390,－,－,－,－,－,5,2,－,147,－,1,2,3,1,－,3,2,4,13,－,－,－,6,27,57,24,4,－,3,78,－,8
成城,231,－,－,－,－,－,1,－,－,86,－,－,1,2,－,－,2,－,33,4,－,－,－,3,9,10,15,5,－,1,54,－,5
渋谷,1126,1,－,－,－,－,9,－,20,443,2,1,－,2,1,－,2,10,5,2,－,1,－,9,102,192,137,1,－,－,186,－,－
四谷,637,1,－,－,3,1,19,2,14,87,4,1,－,2,－,－,1,4,3,2,－,6,－,7,58,251,52,－,－,－,117,－,2
牛込,676,－,－,－,－,－,3,2,－,149,6,1,1,7,－,－,2,－,8,45,－,－,－,15,55,124,127,－,－,－,105,4,22
新宿,510,－,－,－,－,－,4,－,9,173,1,－,－,1,－,－,－,1,5,6,－,－,－,3,17,71,58,－,－,1,159,－,1
中野,465,－,－,－,－,－,23,－,2,183,1,1,－,8,－,－,8,3,11,7,1,－,－,5,25,41,91,－,－,－,47,－,8
野方,278,－,－,－,－,－,3,1,2,61,7,1,1,－,－,－,9,3,2,8,－,－,－,5,6,40,33,－,－,2,83,－,11
杉並,776,－,1,－,3,1,14,2,3,272,7,2,1,2,2,－,16,2,11,18,－,－,－,10,50,125,141,1,－,－,84,－,8
荻窪,956,－,－,－,1,－,12,4,2,352,1,5,1,9,－,－,13,－,7,22,－,－,－,17,56,139,158,－,－,1,135,－,21
小石川,244,－,－,－,－,－,－,1,－,68,－,－,－,1,1,－,1,3,4,16,－,－,－,6,17,31,43,－,－,3,44,－,5
本郷,545,－,－,－,－,－,37,－,－,94,1,1,－,14,－,－,2,5,18,5,－,3,－,3,58,92,48,12,－,6,141,－,5
豊島,481,－,－,－,－,－,3,2,1,148,－,－,－,1,－,－,1,6,6,5,－,－,－,1,23,165,52,－,－,－,65,－,2
池袋,358,－,－,－,1,－,－,1,2,102,3,1,－,－,－,－,8,2,2,17,－,－,－,9,13,61,41,－,－,5,83,－,7
王子,298,1,－,－,2,1,6,－,4,61,1,1,－,2,1,－,5,3,4,20,－,3,－,10,25,44,52,－,－,2,42,－,8
赤羽,520,－,－,－,－,1,3,1,1,90,2,－,1,－,－,－,3,2,7,70,－,－,－,25,59,40,51,－,－,－,138,3,23
滝野川,762,－,－,－,－,－,1,3,－,125,5,1,2,1,1,－,3,3,5,19,－,4,－,12,27,98,92,－,－,7,277,－,76
板橋,725,－,－,－,－,－,－,2,－,130,1,4,－,－,－,－,5,1,4,20,－,－,－,5,10,56,89,－,－,－,397,－,1
志村,524,－,－,－,－,－,1,2,－,57,－,5,2,－,－,－,4,－,2,92,－,4,－,9,33,23,70,－,－,－,186,17,17
練馬,199,－,－,－,－,－,3,2,－,77,3,1,2,－,－,－,4,－,－,27,－,4,－,10,11,24,23,－,－,－,8,－,－
光が丘,35,－,－,－,－,－,－,－,－,26,－,－,－,－,－,－,－,－,－,－,－,6,－,－,2,－,1,－,－,－,－,－,－
石神井,489,－,－,－,－,－,3,5,2,126,4,7,4,2,－,－,11,4,2,23,13,2,－,15,42,34,50,－,－,－,115,－,25
上野,289,－,－,－,－,－,7,－,17,23,4,－,－,－,3,－,4,11,－,2,－,3,－,－,9,33,30,7,－,4,128,－,4
浅草,521,－,－,－,－,－,1,4,－,2,－,－,－,－,－,－,1,－,8,6,－,9,－,16,32,199,170,－,－,28,42,－,3
日本堤,445,－,－,－,－,－,1,2,37,21,2,－,－,－,－,14,13,1,11,6,－,－,－,18,7,53,46,1,－,－,209,－,3
荒川,1162,－,－,－,5,－,4,1,7,143,－,－,－,3,－,－,5,3,13,102,－,4,－,66,50,122,239,－,－,2,316,－,77
尾久,886,－,－,－,－,3,5,3,－,118,2,2,－,1,－,－,23,－,3,150,－,1,－,42,33,60,180,－,－,－,168,11,81
千住,335,－,－,－,－,－,4,2,－,13,1,1,－,－,－,－,1,1,－,35,－,1,－,39,26,25,15,－,－,－,128,5,38
足立,1274,－,－,－,3,－,27,10,4,318,15,1,10,1,－,－,6,4,15,157,－,1,－,130,71,122,193,－,－,1,167,3,15
西新井,812,－,－,－,－,－,8,1,5,126,4,2,1,7,－,－,2,－,9,146,－,2,－,101,37,77,95,3,－,10,119,3,54
本所,1060,－,－,－,2,10,8,－,6,91,－,－,2,－,1,－,8,2,6,110,－,6,－,88,65,153,299,－,－,－,176,－,27
向島,896,－,－,－,－,－,7,5,－,93,2,4,－,2,－,－,22,2,3,216,－,2,－,38,33,101,52,－,－,14,242,14,44
深川,661,－,1,－,－,－,3,－,6,71,－,1,－,－,1,－,2,13,6,97,1,4,－,88,102,45,63,－,－,6,130,1,20
城東,585,－,－,－,2,－,2,1,－,53,2,－,2,－,－,－,2,1,－,85,－,5,－,64,40,73,93,－,－,10,87,8,55
本田,1421,－,－,－,1,－,19,7,3,158,9,6,－,2,－,－,6,2,11,239,－,2,－,76,60,84,126,1,－,2,534,28,45
金町,453,－,－,－,1,－,4,1,1,93,－,2,－,－,－,2,9,－,3,44,－,－,－,37,30,52,25,－,－,8,87,－,54
江戸川,457,－,－,－,－,1,2,3,2,105,2,12,1,－,－,－,2,3,26,71,－,1,－,12,43,38,23,13,－,2,49,32,14
小岩,818,－,－,－,－,－,3,2,5,208,9,3,－,2,－,－,22,2,2,73,－,－,－,47,32,108,96,－,－,4,159,1,40
受託地区,7663,－,1,4,7,－,169,84,53,1644,52,48,32,30,6,－,54,50,69,756,15,14,1,247,497,662,667,92,－,32,2254,7,116
立川,539,－,－,－,－,－,9,8,3,74,2,4,1,－,－,－,2,7,6,58,－,6,－,37,57,50,20,7,－,－,173,－,15
国分寺,436,－,－,－,3,－,37,4,2,129,－,2,－,－,3,－,4,2,5,6,－,－,－,4,17,64,52,5,－,－,94,－,3
小平,274,－,－,－,－,－,7,1,－,77,－,2,－,－,－,－,1,－,－,13,－,－,－,2,16,35,39,2,－,－,59,－,20
武蔵野,391,－,－,4,－,－,18,1,－,141,－,－,－,1,－,－,1,8,2,5,－,1,－,2,13,55,43,－,－,－,95,－,1
保谷,310,－,－,－,－,－,4,3,－,81,－,1,－,－,－,－,11,3,4,9,－,－,－,4,27,30,42,1,－,－,86,1,3
三鷹,407,－,－,－,－,－,－,2,－,161,2,－,－,4,－,－,5,－,－,30,－,－,1,6,25,29,80,－,－,2,56,－,4
調布,320,－,1,－,－,－,5,2,1,45,－,－,1,2,－,－,1,3,1,30,8,1,－,15,27,17,18,3,－,1,129,－,9
府中,472,－,－,－,－,－,9,3,1,52,1,1,4,－,2,－,4,4,3,45,7,－,－,22,46,29,82,3,－,5,143,－,6
日野,395,－,－,－,－,－,3,2,2,158,4,5,2,4,－,－,1,－,3,12,－,－,－,3,11,28,37,5,－,3,112,－,－
町田,462,－,－,－,－,－,20,7,2,44,9,7,1,7,－,－,3,2,4,31,－,－,－,20,21,64,21,3,－,－,188,－,8
八王子,1106,－,－,－,－,－,7,15,2,199,4,4,1,4,－,－,3,5,12,157,－,5,－,40,62,78,64,14,－,8,406,－,16
青海,625,－,－,－,－,－,14,10,7,46,6,3,－,－,1,－,1,3,7,138,－,－,－,34,36,33,14,21,－,－,239,1,11
東村山,442,－,－,－,－,－,6,6,2,84,4,10,4,1,－,－,－,5,1,51,－,－,－,13,29,53,47,3,－,2,116,2,3
福生,499,－,－,－,2,－,12,17,7,183,5,－,1,－,－,－,1,5,15,84,－,－,－,8,31,19,47,10,－,3,49,－,－
狛江,203,－,－,－,－,－,5,－,1,63,1,－,－,－,－,－,4,－,2,16,－,－,－,1,8,25,22,－,－,6,43,－,6
北多摩西部,252,－,－,－,－,－,2,－,－,19,4,1,13,－,－,－,9,1,1,40,－,1,－,29,17,3,2,1,－,1,98,2,8
清瀬,271,－,－,－,2,－,6,1,1,54,10,6,4,－,－,－,3,1,2,12,－,－,－,5,31,31,32,－,－,－,67,1,2
秋川,116,－,－,－,－,－,－,2,13,5,－,1,－,1,－,－,－,－,1,17,－,－,－,1,14,5,2,7,－,－,47,－,－
奥多摩,86,－,－,－,－,－,4,－,9,5,－,－,－,6,－,－,－,1,－,2,－,－,－,－,5,12,－,6,－,－,35,－,1
多摩,57,－,－,－,－,－,1,－,－,24,－,1,－,－,－,－,－,－,－,－,－,－,－,1,4,2,3,1,－,1,19,－,－
