業態,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
計,6678,3893,321,255,329,2988,716,4,－,22,2043,63904,14942200,347168,118,1055
業態別計,2155,1313,122,64,93,1034,184,2,－,5,651,30205,7292435,152910,22,279
農業,26,11,5,1,2,3,5,－,－,－,10,241,10813,10476,－,2
農業／農業,26,11,5,1,2,3,5,－,－,－,10,241,10813,10476,－,2
林業,1,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－
林業／林業,1,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－
建設業,309,136,18,5,11,102,49,2,－,－,122,3412,963406,39053,2,17
建設業／総合工事業,189,77,10,4,7,56,22,2,－,－,88,2627,855598,22708,2,8
建設業／職別工事業(設備工事を除く),90,44,4,－,3,37,18,－,－,－,28,584,79361,4881,－,6
建設業／設備工事業,30,15,4,1,1,9,9,－,－,－,6,201,28447,11464,－,3
製造業,306,261,27,20,22,192,10,－,－,－,35,10267,2273824,26048,9,88
製造業／食料品製造業,20,15,1,1,4,9,2,－,－,－,3,798,168758,539,－,4
製造業／飲料・飼料・たばこ製造業,1,1,－,－,－,1,－,－,－,－,－,－,100,－,－,－
製造業／繊維工業(衣服、繊維製品除く),7,6,－,－,－,6,－,－,－,－,1,－,2485,－,－,1
製造業／衣服・その他の繊維製品製造業,8,6,2,1,1,2,－,－,－,－,2,399,113782,2408,－,3
製造業／木材・木製品製造業(家具を除く),18,17,2,1,1,13,－,－,－,－,1,381,40016,404,－,1
製造業／家具・装備品製造業,13,8,1,－,1,6,－,－,－,－,5,1645,124380,1983,－,－
製造業／パルプ・紙・紙加工品製造業,11,9,2,2,－,5,－,－,－,－,2,752,167205,－,－,10
製造業／出版・印刷一同関連産業,36,35,1,3,4,27,－,－,－,－,1,572,163013,602,－,12
製造業／化学工業,9,5,1,1,1,2,1,－,－,－,3,932,164053,14320,8,21
製造業／石油製品・石炭製品製造業,2,－,－,－,－,－,1,－,－,－,1,－,－,1857,－,－
製造業／プラスチック製品製造業,16,15,3,3,1,8,－,－,－,－,1,2531,426966,8,1,10
製造業／ゴム製品製造業,7,6,2,－,－,4,－,－,－,－,1,282,74573,684,－,2
製造業／なめし革・同製品・毛皮製造業,15,15,2,1,－,12,－,－,－,－,－,450,95644,－,－,2
製造業／窯業・土石製品製造業,6,4,－,－,－,4,1,－,－,－,1,－,1868,36,－,－
製造業／鉄鋼業,8,7,1,－,－,6,－,－,－,－,1,100,78386,－,－,－
製造業／非鉄金属製造業,7,5,－,－,－,5,－,－,－,－,2,3,3343,35,－,1
製造業／金属製品製造業,38,33,2,2,2,27,2,－,－,－,3,297,80002,1560,－,3
製造業／一般機械器具製造業,32,28,5,1,2,20,1,－,－,－,3,632,215782,1416,－,6
製造業／電気機械器具製造業,16,15,1,1,－,13,－,－,－,－,1,75,92071,55,－,2
製造業／輸送用機械器具製造業,7,6,－,－,2,4,1,－,－,－,－,41,42597,90,－,2
製造業／精密機械器具製造業,9,8,－,1,1,6,1,－,－,－,－,99,64120,25,－,4
製造業／その他の製造業,20,17,1,2,2,12,－,－,－,－,3,278,154680,26,－,4
電気・ガス・熱供給・水道業,50,2,－,－,－,2,2,－,－,－,46,－,10,3189,－,3
電気・ガス・熱供給・水道業／電気業,45,－,－,－,－,－,1,－,－,－,44,－,－,3129,－,3
電気・ガス・熱供給・水道業／水道業,5,2,－,－,－,2,1,－,－,－,2,－,10,60,－,－
運輸・通信業,183,47,6,1,2,38,48,－,－,－,88,759,242003,37771,－,11
運輸・通信業／鉄道業,78,18,－,－,1,17,10,－,－,－,50,11,8567,3646,－,3
