消防署,消防活動上必要な設備／排煙設備／対象物数,消防活動上必要な設備／排煙設備／設　備　数,消防活動上必要な設備／連結散水設備／対象物数,消防活動上必要な設備／連結散水設備／設　備　数,消防活動上必要な設備／連結送水管／対象物数,消防活動上必要な設備／連結送水管／設　備　数,消防活動上必要な設備／非常コンセント設備／対象物数,消防活動上必要な設備／非常コンセント設備／設　備　数,消防活動上必要な設備／誘導灯／対象物数,消防活動上必要な設備／無線通信補助設備／対象物数
計,578,573,940,973,24635,25091,3666,6721,89450,10
特別区,468,464,766,799,22981,23398,3378,6390,73025,9
丸の内,23,21,3,2,169,120,76,53,228,－
麹町,14,14,52,52,848,854,63,337,1387,－
神田,－,－,23,23,1501,1505,44,44,2627,－
京橋,14,14,30,30,1429,1429,68,68,2112,－
日本橋,11,11,27,27,1474,1491,83,161,2758,1
臨港,1,1,－,－,154,154,43,43,308,－
芝,139,134,59,62,1392,1410,156,162,2987,1
麻布,1,1,23,23,616,616,54,54,1450,－
赤坂,18,18,27,27,636,685,67,275,1502,－
高輪,－,－,20,20,284,284,53,110,514,－
品川,6,6,25,25,603,603,123,123,1406,－
大井,4,4,2,6,246,274,64,384,887,－
荏原,1,1,7,7,127,127,28,28,950,－
大森,14,14,3,3,385,393,55,56,1555,－
東調布,1,1,12,12,135,164,14,27,771,－
蒲田,4,4,11,11,202,202,42,42,1022,－
矢口,4,4,9,32,133,148,14,26,1052,－
目黒,5,5,25,25,405,405,69,69,1892,－
世田谷,10,10,15,15,338,338,54,54,2179,－
玉川,4,5,10,10,117,119,8,8,1014,－
成城,－,－,9,9,84,84,5,5,911,－
渋谷,17,17,75,75,1363,1363,124,124,3903,1
四谷,4,4,14,14,680,687,9,9,1521,－
牛込,2,2,23,23,343,343,47,47,1175,－
新宿,39,42,38,41,1066,1117,184,1659,2577,4
中野,2,2,7,7,241,244,32,63,826,－
野方,－,－,2,2,78,79,5,5,671,－
杉並,3,3,9,9,276,276,39,39,1327,－
荻窪,7,7,7,7,158,158,16,16,905,－
小石川,4,4,19,20,344,345,70,115,1002,－
本郷,－,－,23,23,536,550,69,71,1270,－
豊島,9,9,27,27,811,811,123,123,1950,1
池袋,15,15,10,10,350,354,35,36,1508,1
王子,4,4,4,4,143,143,41,121,677,－
赤羽,5,5,5,5,131,131,20,20,638,－
滝野川,－,－,4,4,121,121,26,26,623,－
板橋,7,6,18,18,256,268,51,51,1175,－
志村,8,8,14,14,353,435,106,133,1539,－
練馬,5,5,2,2,201,201,32,32,1023,－
光が丘,2,2,3,3,110,130,66,235,480,－
石神井,4,4,6,6,47,47,－,－,887,－
上野,8,8,15,15,744,744,59,59,2095,－
浅草,－,－,6,6,608,612,44,61,1013,－
日本堤,1,1,6,6,211,211,17,17,1245,－
荒川,2,2,－,－,274,274,39,39,1108,－
尾久,－,－,2,2,66,70,11,37,472,－
千住,2,2,4,4,95,95,27,66,792,－
足立,12,12,2,2,246,254,45,68,1172,－
西新井,－,－,－,－,65,100,12,16,945,－
本所,6,6,5,5,71,65,414,414,1198,－
向島,3,3,1,1,105,111,34,141,574,－
深川,7,7,9,9,512,527,106,124,1484,－
城東,6,6,8,8,393,395,125,125,1457,－
本田,1,1,1,1,150,149,12,12,1441,－
金町,2,2,1,1,79,103,14,16,717,－
江戸川,4,4,2,2,382,386,132,132,1433,－
小岩,3,3,2,2,94,94,9,9,690,－
受託地区,110,109,174,174,1654,1693,288,331,16425,1
立川,17,17,18,18,170,170,38,38,2231,－
国分寺,3,3,10,10,57,70,5,5,740,－
小平,4,4,2,2,25,24,6,6,932,－
武蔵野,18,17,10,10,193,192,21,21,1044,1
保谷,2,2,6,6,84,86,8,8,520,－
三鷹,－,－,15,15,91,91,5,5,630,－
調布,4,4,12,12,103,129,17,34,655,－
府中,－,－,6,6,142,132,6,6,831,－
東村山,2,2,2,2,39,39,5,5,509,－
狛江,－,－,4,4,28,33,7,18,137,－
北多摩西部,1,1,4,4,21,21,4,4,648,－
清瀬,1,1,2,2,18,18,－,－,279,－
八王子,12,12,26,26,279,282,62,75,2640,－
日野,6,6,7,7,54,54,9,9,725,－
町田,23,23,15,15,113,113,19,19,1216,－
青梅,1,1,1,1,43,45,6,8,734,－
福生,6,6,5,5,38,38,4,4,927,－
秋川,1,1,1,1,2,2,－,－,350,－
奥多摩,－,－,－,－,－,－,－,－,95,－
多摩,9,9,28,28,154,154,66,66,582,－
