消防署,幼年消防クラブ／クラブ数,幼年消防クラブ／クラブ員数,幼年消防クラブ／指導者数,消防少年団員数／計,消防少年団員数／学年別／小学校／小計,消防少年団員数／学年別／小学校／4年,消防少年団員数／学年別／小学校／5年,消防少年団員数／学年別／小学校／6年,消防少年団員数／学年別／中学校／小計,消防少年団員数／学年別／中学校／1年,消防少年団員数／学年別／中学校／2年,消防少年団員数／学年別／中学校／3年,消防少年団員数／性別／男／小計,消防少年団員数／性別／男／小学生,消防少年団員数／性別／男／中学生,消防少年団員数／性別／女／小計,消防少年団員数／性別／女／小学生,消防少年団員数／性別／女／中学生,消防少年団／指導者数／指導員,消防少年団／指導者数／準指導員,防火婦人組織／組織数,防火婦人組織／人員
計,880,107176,12280,2682,2030,829,663,538,652,326,190,136,1090,810,280,1592,1220,372,672,865,70,29349
特別区,552,65777,7382,1967,1470,609,491,370,497,245,148,104,788,583,205,1179,887,292,516,748,55,27336
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,4,311,26,14,14,6,4,4,－,－,－,－,3,3,－,11,11,－,5,－,1,60
神田,7,335,68,26,16,13,－,3,10,6,2,2,14,8,6,12,8,4,9,3,1,318
京橋,11,448,94,36,30,18,6,6,6,1,2,3,20,18,2,16,12,4,13,11,1,42
日本橋,4,124,17,30,14,8,2,4,16,5,9,2,13,5,8,17,9,8,15,7,－,－
臨港,8,307,25,37,32,17,9,6,5,3,1,1,10,8,2,27,24,3,8,9,1,232
芝,－,－,－,44,35,22,9,4,9,6,3,－,27,22,5,17,13,4,9,37,1,107
麻布,5,593,60,31,21,7,9,5,10,7,3,－,13,9,4,18,12,6,9,25,1,41
赤坂,－,－,－,28,21,6,5,10,7,2,3,2,19,15,4,9,6,3,9,3,1,326
高輪,3,250,37,29,9,－,5,4,20,10,4,6,13,6,7,16,3,13,4,32,1,67
品川,16,1210,197,30,26,11,10,5,4,2,－,2,11,9,2,19,17,2,5,6,1,803
大井,18,1975,327,29,19,4,12,3,10,6,3,1,6,4,2,23,15,8,17,13,1,71
荏原,6,531,78,36,23,4,12,7,13,6,6,1,10,7,3,26,16,10,10,8,1,130
大森,15,1787,346,41,14,3,3,8,27,14,8,5,14,6,8,27,8,19,8,2,1,90
東調布,37,4568,755,34,26,10,9,7,8,3,3,2,11,7,4,23,19,4,7,42,1,222
蒲田,10,1187,156,44,21,3,11,7,23,11,4,8,16,8,8,28,13,15,12,9,1,447
矢口,6,982,58,40,26,12,11,3,14,7,3,4,8,6,2,32,20,12,8,64,1,132
目黒,11,1399,91,25,19,8,5,6,6,2,2,2,13,11,2,12,8,4,6,15,1,1311
世田谷,17,1381,309,41,24,6,7,11,17,6,5,6,20,10,10,21,14,7,9,9,1,292
