消防署,事業所,貯蔵取扱所,品名別貯蔵取扱所／綿花類,品名別貯蔵取扱所／木毛及びかんなくず,品名別貯蔵取扱所／ぼろ及び紙くず,品名別貯蔵取扱所／糸類,品名別貯蔵取扱所／わら類,品名別貯蔵取扱所／可燃性固体類,品名別貯蔵取扱所／石炭・木炭類,品名別貯蔵取扱所／可燃性液体類,品名別貯蔵取扱所／木材加工品及び木くず,品名別貯蔵取扱所／合成樹脂類／発泡させたもの,品名別貯蔵取扱所／合成樹脂類／その他のもの,品名別貯蔵取扱所／紙類,品名別貯蔵取扱所／穀物類,品名別貯蔵取扱所／布類
計,8179,10378,277,58,461,122,84,418,188,96,4125,178,1085,2962,168,458
特別区,7219,9085,233,56,439,107,78,392,158,89,3445,117,916,2765,145,434
丸の内,7,8,－,－,2,－,2,－,－,－,1,－,－,3,－,－
麹町,48,55,－,1,－,－,－,－,－,－,3,－,－,49,－,2
神田,58,61,－,－,－,1,－,－,－,－,4,1,4,35,－,16
京橋,68,79,1,－,－,1,－,1,－,－,15,－,4,53,2,2
日本橋,45,47,1,－,2,10,－,－,－,－,3,－,2,12,1,16
臨港,61,173,1,－,4,2,4,－,－,－,100,－,38,74,10,8
芝,62,89,1,－,1,－,2,－,1,－,8,1,5,43,18,9
麻布,9,9,－,－,1,－,－,－,－,－,5,－,2,1,－,－
赤坂,11,18,－,－,1,－,－,－,1,－,5,－,－,11,－,－
高輪,50,74,－,－,－,－,2,1,－,－,30,－,2,34,2,3
品川,107,174,1,－,－,3,5,2,12,－,30,2,37,61,5,16
大井,2,138,2,1,4,－,1,2,3,1,45,5,32,58,2,15
荏原,60,63,1,－,－,1,－,－,1,－,43,3,7,9,－,1
大森,210,274,3,1,1,4,4,7,12,－,93,2,58,70,5,21
東調布,65,80,－,－,1,－,1,－,－,－,55,1,3,17,－,2
蒲田,99,113,8,－,1,1,1,－,－,－,63,1,13,25,－,－
矢口,70,82,2,－,1,－,－,18,－,1,43,－,6,8,1,2
目黒,71,83,4,2,2,－,2,－,1,－,54,1,7,8,1,1
世田谷,111,123,9,－,6,－,2,－,18,－,74,－,1,12,－,1
玉川,79,80,3,1,3,－,1,－,3,－,51,－,5,11,－,2
成城,103,114,－,－,9,－,2,－,15,－,77,－,2,8,－,1
渋谷,46,46,3,－,3,－,－,2,－,－,20,－,1,11,－,6
四谷,15,15,－,－,－,－,－,－,－,－,3,－,1,10,－,1
牛込,249,272,－,－,6,－,－,4,3,－,26,－,2,225,－,6
新宿,65,74,5,1,－,3,－,2,4,－,22,－,3,34,－,－
中野,72,73,3,－,－,1,1,－,2,－,52,－,3,10,1,－
野方,74,83,4,4,7,1,－,－,4,－,40,1,2,17,－,3
杉並,95,99,4,－,2,－,1,2,－,－,71,3,3,6,5,2
荻窪,93,94,－,1,3,－,2,－,－,－,69,－,4,13,1,12
小石川,136,157,－,－,7,－,1,－,2,－,19,－,7,120,－,1
本郷,36,38,－,－,1,1,－,3,－,13,－,－,1,17,－,2
豊島,88,93,11,－,8,1,1,3,2,－,42,－,1,22,1,3
池袋,89,98,－,－,6,3,－,－,6,－,61,－,3,17,1,1
王子,54,236,1,－,3,－,－,120,3,－,32,－,31,42,1,3
赤羽,111,141,3,－,4,1,2,－,4,－,24,1,15,83,1,3
滝野川,82,109,5,1,10,1,5,3,－,－,35,2,15,40,1,－
