年次,計,消防吏員／小計,消防吏員／消防総監,消防吏員／消防司監・消防正監,消防吏員／消防監・消防司令長,消防吏員／消防司令,消防吏員／消防司令補,消防吏員／消防士長,消防吏員／消防副士長・消防士,消防吏員以外の職員
昭和62年,17923,17447,1,13,355,1174,3743,4147,8014,476
昭和63年,17923,17447,1,13,359,1237,3907,4310,7620,476
平成元年,17923,17447,1,13,359,1329,3907,4278,7560,476
平成2年,17923,17447,1,13,364,1343,3907,4270,7549,476
平成3年,17923,17447,1,13,364,1346,3907,4269,7547,476
