消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十七),危険物製造所等／製造所,危険物製造所等／取扱所
計,19025,－,－,－,－,－,－,－,－,3836,－,－,－,1156,83,－,9,211,145,864,60,32,4,219,2603,－,1848,76,6690,1189
特別区,15092,－,－,－,－,－,－,－,－,3016,－,－,－,869,65,－,8,207,117,573,59,27,4,195,2208,－,1670,56,5138,880
丸の内,192,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,17,－,－,－,3,－,1,80,－,－,1,69,21
麹町,254,－,－,－,－,－,－,－,－,25,－,－,－,30,1,－,－,8,1,3,－,－,－,－,85,－,30,－,58,13
神田,195,－,－,－,－,－,－,－,－,－,－,－,－,17,－,－,－,8,2,1,－,－,－,－,84,－,16,－,53,14
京橋,133,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,10,6,－,－,1,－,2,16,－,5,－,74,19
日本橋,276,－,－,－,－,－,－,－,－,8,－,－,－,－,－,－,－,14,－,1,－,3,－,－,126,－,36,－,80,8
臨港,140,－,－,－,－,－,－,－,－,21,－,－,－,－,2,－,－,－,－,5,－,－,－,14,16,－,28,－,40,14
芝,262,－,－,－,－,－,－,－,－,28,－,－,－,1,－,－,－,15,5,5,2,2,－,1,77,－,52,2,54,18
麻布,202,－,－,－,－,－,－,－,－,17,－,－,－,－,－,－,－,－,－,1,2,－,－,－,28,－,25,－,102,27
赤坂,193,－,－,－,－,－,－,－,－,7,－,－,－,5,2,－,－,19,2,－,2,1,－,－,86,－,19,2,40,8
高輪,286,－,－,－,－,－,－,－,－,39,－,－,－,18,5,－,－,－,1,6,－,－,－,9,81,－,38,6,70,13
品川,435,－,－,－,－,－,－,－,－,27,－,－,－,19,－,－,－,3,4,25,－,－,－,9,137,－,63,－,116,32
大井,179,－,－,－,－,－,－,－,－,39,－,－,－,2,1,－,－,－,1,3,－,－,－,11,28,－,12,－,75,7
