月別,計,1日,2日,3日,4日,5日,6日,7日,8日,9日,10日,11日,12日,13日,14日,15日,16日,17日,18日,19日,20日,21日,22日,23日,24日,25日,26日,27日,28日,29日,30日,31日
計,6541,204,239,196,205,211,227,227,216,178,227,198,201,201,233,223,191,214,227,214,220,230,204,202,216,229,204,227,199,237,210,131
1,696,22,21,18,25,29,35,30,23,16,16,22,14,13,30,19,25,25,24,23,9,18,22,21,18,26,18,18,26,34,28,28
2,598,23,17,21,31,38,24,33,35,11,16,22,20,14,33,23,21,20,18,16,13,16,13,20,18,19,20,28,15,－,－,－
3,698,11,21,23,20,20,14,18,16,30,32,30,32,23,21,12,22,28,27,19,31,40,16,24,29,18,20,24,10,19,25,23
4,584,23,34,15,9,12,18,26,19,11,15,14,16,22,25,23,13,23,26,23,18,21,21,13,10,14,22,20,25,31,22,－
5,470,15,9,15,15,13,20,6,10,17,16,11,18,11,11,30,12,16,12,16,20,12,15,23,11,15,12,24,18,11,19,17
6,448,21,29,14,16,19,18,23,19,6,16,12,9,11,17,27,15,6,13,14,14,14,14,9,18,18,11,13,9,7,16,－
7,421,10,20,5,10,9,9,18,23,14,13,16,16,15,12,9,11,10,15,18,12,13,18,15,15,17,13,19,10,19,9,8
9,427,18,14,17,7,9,11,10,13,20,24,12,10,16,14,14,17,9,13,13,9,20,13,6,24,22,16,8,9,9,12,18
9,437,15,22,17,10,9,12,18,12,9,15,11,13,10,15,14,16,25,15,14,21,12,10,10,14,13,11,15,17,22,20,－
10,490,16,13,13,14,14,15,10,15,15,22,13,12,19,14,11,12,15,21,12,16,21,12,16,12,26,21,21,19,21,16,13
11,532,9,18,18,18,22,27,17,10,10,19,15,14,14,22,20,11,9,16,11,18,19,16,17,25,25,25,20,20,29,18,－
12,740,21,21,20,30,17,24,18,21,19,23,20,27,33,19,21,16,28,27,35,39,24,34,28,22,16,15,17,21,35,25,24
