消防署,署所数,管内面積(km2),人口,世帯,構造別建物棟数／計,構造別建物棟数／木造,構造別建物棟数／防火造,構造別建物棟数／簡易耐火造,構造別建物棟数／耐火造
計,288,1732.45,11479772,4816042,2382690,509985,1465098,92297,315310
特別区,216,601.74,8045577,3508572,1606639,253087,1033471,64782,255299
丸の内,2,3.73,258,215,412,66,58,1,287
麹町,3,4.39,23053,10426,3834,226,1014,72,2522
神田,3,3.4,23291,9812,8487,585,2265,44,5593
京橋,3,3.19,22580,10560,7494,844,2156,179,4315
日本橋,4,3.21,21732,9502,8202,605,2486,103,5008
臨港,2,6.2,31653,14097,3852,1298,1454,231,869
芝,3,6.24,45402,21576,10092,948,4002,399,4743
麻布,2,3.78,40018,19614,8123,807,3547,187,3582
赤坂,2,4.04,31341,15439,6059,513,2265,82,3199
高輪,4,5.44,44310,20904,6886,963,3662,257,2004
品川,4,7.08,96642,45684,16048,1788,9479,697,4084
大井,3,8.46,100110,43090,14194,1842,9292,547,2513
荏原,5,5.13,136583,63140,28617,2147,22266,665,3539
大森,5,17.35,202363,88918,37258,7108,23035,2027,5088
東調布,3,11.85,177425,76843,35238,6302,24181,1004,3751
蒲田,4,16.21,161002,67256,30986,6778,17780,2236,4192
矢口,4,6.95,107335,47064,22413,3262,15052,1125,2974
目黒,5,14.41,244136,116889,47065,6856,30814,1639,7756
世田谷,6,22.38,379699,185916,74104,12197,50879,1949,9079
玉川,4,15.97,187036,82082,35629,8484,20864,1639,4642
成城,3,20.47,207387,90737,38070,8877,24067,1135,3991
渋谷,6,15.11,200564,101387,39220,3747,23183,692,11598
四谷,2,3.12,34343,17687,7594,413,4264,145,2772
牛込,2,5.07,89548,42880,17522,1113,11072,381,4956
新宿,5,9.85,163729,82785,30221,3113,18980,610,7518
中野,4,6.62,143246,71814,26762,3067,18497,676,4522
野方,4,9.11,163887,78210,34841,5892,24561,932,3456
杉並,7,18.72,302767,147908,62981,10605,44239,1770,6367
荻窪,5,14.82,210738,97368,45671,10082,29379,1221,4989
小石川,3,6.57,96734,43824,18922,1887,12159,574,4302
本郷,3,4.87,79910,36682,18297,1910,11170,430,4787
豊島,3,6.7,122914,61034,24556,1945,16234,592,5785
池袋,3,6.31,126516,62693,27748,3700,19073,932,4043
王子,3,6.23,122803,51788,21268,2035,15756,694,2783
赤羽,5,9.28,132048,55122,22515,2828,15668,1053,2966
滝野川,3,5.04,93725,41514,21267,2289,14984,883,3111
板橋,3,9.84,195908,89051,39342,5067,27407,1321,5547
志村,6,22.06,308786,127218,49397,7806,32508,2635,6448
練馬,3,13.53,206149,90813,42014,7333,29211,1121,4349
光が丘,2,11.02,142303,52700,24701,6037,15739,965,1960
石神井,5,22.45,264523,104087,61038,15320,41307,986,3425
上野,3,5.72,67997,29436,16218,1911,8037,482,5788
浅草,2,2.1,40246,16365,9751,1008,4425,163,4155
日本堤,3,2.18,55862,25405,12445,659,7500,453,3833
荒川,6,6.24,96949,41455,22319,2512,14617,1015,4175
尾久,3,4.1,80652,31404,18975,1609,14250,882,2234
千住,3,9.39,94345,37681,20816,3353,13634,1080,2749
足立,5,24.56,333141,127207,58659,10040,38616,3477,6526
西新井,4,19.31,201827,74019,51873,14209,30596,3205,3863
本所,4,6.49,101959,43667,21873,1126,12110,1268,7369
向島,3,7.33,121044,46658,28260,3626,20032,1277,3325
深川,5,18.35,164353,69715,22719,1233,12222,2198,7066
城東,5,17.02,215005,84781,30044,2464,19603,2711,5266
本田,5,19.23,275151,107078,64413,12202,41854,3932,6425
金町,4,14.67,148401,57661,32197,7121,21080,1224,2772
江戸川,6,33.6,385528,150346,69675,11924,46777,4525,6449
小岩,4,15.25,178620,69365,47401,9387,32094,2051,3869
受託地区,72,1130.71,3434195,1307470,776051,256898,431627,27515,60011
立川,8,49.49,322962,124457,71966,24087,37386,3080,7413
国分寺,5,22.75,202024,84755,46689,13557,28694,1072,3366
小平,3,20.85,159182,62651,36522,12463,20479,977,2603
武蔵野,3,11.03,135594,60882,25668,5377,16050,721,3520
保谷,4,15.66,168016,65538,37120,10741,22656,1132,2591
三鷹,4,16.83,161370,70564,33061,7984,21169,972,2936
調布,4,21.79,192018,81279,35822,9059,21908,1212,3643
府中,5,29.86,205306,82472,45685,16023,23620,2039,4003
東村山,3,16.58,133104,49449,28808,9328,16411,995,2074
狛江,2,6.15,72838,30475,14063,4287,8639,236,901
北多摩西部,3,28.75,140612,47013,33142,10512,18472,1706,2452
清瀬,2,10.19,66812,24303,12899,3998,6988,769,1144
八王子,7,187.79,456600,166591,112320,38105,63732,2824,7659
日野,3,27.11,162020,62673,35154,9105,21866,1149,3034
町田,5,71.54,347434,120334,76607,26062,43872,2105,4568
青梅,3,104.01,124191,42032,37663,16232,17518,1776,2137
福生,3,37.02,140577,49852,39269,14532,19549,3014,2174
秋川,3,206.19,92824,29060,36832,21540,13203,1011,1078
奥多摩,1,226.44,8865,2937,1267,1026,178,28,35
多摩,1,20.68,141846,50153,15466,2870,9236,689,2671
