出火階,火災件数計,地下1階,地下2階,地下3階,地下4階,地下5階,"地下6階以上","地上階なし",1階建,2階建,3階建,4階建,5階建,6階建,7階建,8階建,9階建,10階建,11階建,12階建,13階建,14階建,15階以上,火災件数・焼損程度・全焼,火災件数・焼損程度・半焼,部分焼,ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成27年,799,531,111,71,59,15,12,2,13,49,55,77,66,53,55,51,64,35,36,26,20,32,165,5,4,97,693,825,299,625,"1,854","545,261,182",7,165
平成28年,824,527,136,64,68,24,5,2,11,45,55,60,83,52,56,65,64,39,33,25,21,27,186,1,2,83,738,829,247,465,1669,"546,142,630",5,147
平成29年,800,480,158,69,61,21,11,1,10,42,54,52,66,53,52,58,50,31,26,28,14,45,218,0,2,78,720,805,342,612,995,"664,391,490",7,136
平成30年,755,440,143,59,67,36,10,1,5,33,59,49,55,47,45,58,53,33,40,18,20,32,207,0,3,69,683,762,257,483,"1,455","2,960,909,311",13,190
令和元年,898,487,197,88,74,38,14,4,9,34,67,50,59,61,56,66,63,45,32,24,22,36,270,3,3,83,809,915,286,547,"1,517","805,188,338",9,121
53階,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,900,-,-
52階,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,150,-,-
51階,2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,-,-,-,300,-,-
47階,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,34500,-,-
41階,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,100,-,-
40階,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-
38階,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,-,-,-,"2,700",-,-
37階,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,500,-,-
35階,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,"7,000",-,-
34階,3,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,1,4,-,2372,-,-
30階,2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,1,3,-,"1,700",-,-
29階,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,2,7,-,2171,-,-
28階,4,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,4,1,1,-,6100,-,-
27階,3,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,-,-,-,"2,700",-,-
26階,6,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6,6,4,6,-,"126,323",-,-
25階,4,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,4,-,-,-,153500,-,-
24階,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,1,3,-,12900,-,-
23階,7,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,7,7,1,5,-,"4,155,100",-,-
22階,4,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,4,4,5,-,"8,486,075",-,-
21階,3,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,2,4,-,"2,150",-,-
20階,3,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,1,2,-,2300,-,-
19階,4,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,4,1,2,-,"1,550",-,1
18階,4,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,4,1,4,-,91033,-,1
17階,8,3,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,8,3,6,-,"97,734",-,-
