年,救急搬送人員（人）,前年比（％）,,,
28,16300 ,,,,
29,16268 ,99.8,,,
30,16076 ,98.8,,,
元,16786 ,104.4,,,
2,14253 ,84.9,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
