時間帯,火災件数／計,火災件数／建物／小計,火災件数／建物／焼損床面積なし,火災件数／建物／50m2未満,火災件数／建物／50m2以上～100m2未満,火災件数／建物／100～200,火災件数／建物／200～300,火災件数／建物／300～400,火災件数／建物／400～500,火災件数／建物／500～600,火災件数／建物／600～700,火災件数／建物／700～800,火災件数／建物／800～900,火災件数／建物／900～1000,火災件数／建物／1000m2以上,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,り災世帯数,り災人員,焼損棟数,焼損床面積(m2),損害額(千円),死者,傷者
計,6678,3893,2935,596,187,120,27,10,10,1,－,1,1,1,4,716,4,－,22,2043,4463,11249,5144,63904,15289368,118,1055
昼間,3173,1973,1493,324,93,47,9,2,3,－,－,－,－,1,1,272,3,－,20,905,2168,5738,2514,25465,6122736,49,528
6時台,166,101,71,21,4,5,－,－,－,－,－,－,－,－,－,25,－,－,－,40,108,260,131,1426,354046,3,27
7時台,160,119,88,17,10,3,－,1,－,－,－,－,－,－,－,11,－,－,－,30,134,324,153,1816,428316,2,33
8時台,177,113,87,18,6,1,－,－,1,－,－,－,－,－,－,19,1,－,1,43,120,334,140,1376,433398,2,42
9時台,254,186,143,27,12,1,2,－,－,－,－,－,－,－,1,17,－,－,－,51,241,549,242,3453,684466,4,50
10時台,246,165,128,26,5,3,2,－,－,－,－,－,－,1,－,20,－,－,－,61,198,590,224,2745,635747,11,70
11時台,277,179,143,26,8,2,－,－,－,－,－,－,－,－,－,31,－,－,2,65,171,502,216,1377,346333,2,43
12時台,266,172,127,32,12,1,－,－,－,－,－,－,－,－,－,25,－,－,1,68,186,526,213,1395,433640,2,45
13時台,310,192,144,31,8,8,1,－,－,－,－,－,－,－,－,24,－,－,4,90,187,530,249,2471,600389,6,37
14時台,323,178,124,36,10,6,1,－,1,－,－,－,－,－,－,29,－,－,5,111,198,501,233,2980,614166,3,43
15時台,307,175,125,34,10,3,2,－,1,－,－,－,－,－,－,17,－,－,3,112,205,533,225,2508,583117,6,51
16時台,370,209,167,26,5,10,1,－,－,－,－,－,－,－,－,29,2,－,4,126,219,591,262,2214,639247,5,52
17時台,317,184,146,30,3,4,－,1,－,－,－,－,－,－,－,25,－,－,－,108,201,498,226,1704,369871,3,35
夜間,3338,1849,1373,270,94,73,18,8,7,1,－,1,1,－,3,438,1,－,2,1048,2280,5464,2559,38426,9159283,68,527
18時台,331,219,177,30,5,5,－,1,－,－,－,1,－,－,－,24,－,－,－,88,216,610,266,2713,581332,7,59
19時台,337,209,175,24,3,6,1,－,－,－,－,－,－,－,－,24,－,－,－,104,202,586,248,1819,459079,3,56
20時台,317,175,131,24,9,6,4,－,1,－,－,－,－,－,－,35,1,－,－,106,199,503,227,3209,672037,4,57
21時台,256,138,103,24,6,3,1,1,－,－,－,－,－,－,－,23,－,－,1,94,134,352,168,1585,385698,3,43
22時台,241,137,106,19,5,5,2,－,－,－,－,－,－,－,－,24,－,－,－,80,180,378,173,1779,387365,－,36
23時台,257,144,116,15,9,2,1,－,－,－,－,－,－,－,1,33,－,－,－,80,148,380,189,2756,891508,5,34
0時代,283,141,104,23,8,3,1,－,1,1,－,－,－,－,－,51,－,－,－,91,184,417,214,2819,911159,9,40
1時代,296,138,96,26,6,7,1,1,－,－,－,－,1,－,－,47,－,－,－,111,153,363,186,3255,993223,9,38
2時代,288,150,108,24,6,7,4,1,－,－,－,－,－,－,－,44,－,－,1,93,190,391,213,3213,670429,6,38
3時代,288,138,86,20,13,15,－,2,1,－,－,－,－,－,1,55,－,－,－,95,263,588,262,6104,939635,8,42
4時代,256,148,99,22,12,7,2,2,3,－,－,－,－,－,1,49,－,－,－,59,255,540,255,6206,1451188,8,43
5時代,188,112,72,19,12,7,1,－,1,－,－,－,－,－,－,29,－,－,－,47,156,356,158,2968,816630,6,41
不明,167,71,69,2,－,－,－,－,－,－,－,－,－,－,－,6,－,－,－,90,15,47,71,13,7349,1,－
