月別,計,1日,2日,3日,4日,5日,6日,7日,8日,9日,10日,11日,12日,13日,14日,15日,16日,17日,18日,19日,20日,21日,22日,23日,24日,25日,26日,27日,28日,29日,30日,31日
計,6678,213,205,215,192,212,211,225,216,195,216,223,260,210,220,175,195,226,220,247,209,198,217,216,236,245,243,235,240,198,234,131
1,728,26,16,20,28,31,23,23,49,18,17,30,28,26,24,26,15,24,18,12,16,23,24,18,29,26,18,24,23,20,28,25
2,521,14,20,12,12,24,14,21,15,18,26,10,32,18,20,14,13,21,25,21,18,21,23,14,21,20,19,13,22,－,－,－
3,723,20,16,14,18,20,25,17,14,21,25,34,16,27,35,16,26,24,28,23,30,33,28,27,16,34,34,21,34,17,15,15
4,556,15,14,21,12,20,14,29,20,23,30,27,25,19,12,9,17,18,20,19,11,12,11,18,15,23,19,20,13,13,37,－
5,550,22,16,24,11,7,25,18,10,12,17,21,15,18,17,16,18,27,12,11,12,11,14,14,16,15,19,23,31,23,33,22
6,450,17,10,22,18,14,14,16,14,18,9,15,15,8,19,10,13,19,17,14,15,10,20,11,21,16,15,12,16,14,18,－
7,546,23,19,13,17,11,21,16,14,12,15,18,15,11,15,10,15,11,22,21,32,13,12,22,23,12,30,25,18,20,21,19
9,533,18,23,17,15,10,12,26,20,12,12,7,14,10,16,17,25,16,16,31,12,23,16,22,19,20,20,17,18,15,18,16
9,426,16,20,17,18,16,13,12,9,15,14,15,13,11,7,12,10,14,11,20,12,12,23,19,20,19,11,12,13,11,11,－
10,414,15,15,11,18,16,16,8,10,6,14,19,15,15,11,10,13,15,17,19,12,17,13,10,8,10,15,14,13,17,11,11
11,550,14,13,19,12,19,12,15,21,17,16,14,61,18,28,14,14,11,19,17,15,7,21,25,17,29,17,16,15,18,16,－
12,681,13,23,25,13,24,22,24,20,23,21,13,11,29,16,21,16,26,15,39,24,16,12,16,31,21,26,38,24,30,26,23
