月別,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,火災件数・管外からの延焼火災,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損棟数・焼損床面積（㎡）,焼損棟数・損害額（円）,死   者,負 傷 者
平成27年,"4,433","2,922",84,93,515,"2,230",3,296,2,3,1204,3,-,"2,413",201,194,"2,018","4,802","3,390",114,111,643,"2,522","20,750","3,925,668,879",95,827
平成28年,"3,982","2,766",75,89,421,"2,181",1,275,3,1,934,2,-,"2,133",137,146,"1,850","4,123","3,107",100,102,521,"2,384","17,529","4,924,408,207",83,853
平成29年,"4,205","2,837",84,77,474,"2,202",3,216,0,0,"1,148",1,0,"2,486",208,219,"2,059","4,884","3,266",115,94,614,"2,443","20,719","5,147,049,552",79,758
平成30年,"3,973","2,696",64,87,447,"2,098",2,225,3,-,1046,1,-,"2,200",174,169,"1,857","4,239","2,999",84,102,540,"2,273","18,604","6,070,982,850",86,798
令和元年,"4,089","2,904",81,83,455,"2,285",5,206,1,-,969,3,1,"2,335",203,171,"1,961","4,395","3,284",107,100,583,"2,494","18,295","7,688,941,420",108,705
１月,446,298,16,13,51,218,2,18,-,-,128,-,-,329,32,29,268,627,360,17,16,72,255,"3,169","984,940,506",23,115
２月,381,272,11,10,46,205,-,14,-,-,95,-,-,258,33,19,206,464,322,16,10,69,227,"2,891","2,210,010,298",15,67
３月,379,262,11,9,51,191,2,15,1,-,99,-,-,244,29,12,203,503,330,16,11,74,229,"2,243","807,522,962",13,69
４月,383,268,15,9,48,196,-,25,-,-,89,1,-,215,19,16,180,420,310,22,10,63,215,"2,576","618,758,539",11,62
５月,380,236,5,6,42,183,1,24,-,-,118,1,-,191,13,15,163,344,262,8,8,48,198,786,"320,887,482",5,54
６月,274,193,6,3,31,153,-,10,-,-,71,-,-,165,11,16,138,284,222,7,4,40,171,968,"166,965,922",5,47
７月,265,205,2,7,20,176,-,16,-,-,43,-,1,124,8,10,106,229,224,2,8,24,190,740,"905,468,758",1,28
８月,312,221,2,6,32,181,-,20,-,-,71,-,-,143,12,12,119,287,228,2,6,37,183,814,"281,719,367",3,52
９月,290,209,2,1,26,180,-,19,-,-,62,-,-,114,1,4,109,227,215,4,1,28,182,247,"123,759,853",3,47
10月,267,207,1,3,35,168,-,14,-,-,46,-,-,142,12,9,121,267,221,1,5,38,177,672,"342,871,810",6,38
11月,326,244,7,4,32,201,-,10,-,-,72,-,-,161,9,10,142,303,266,9,6,39,212,"1,658","465,074,212",6,57
12月,386,289,3,12,41,233,-,21,-,-,75,1,-,249,24,19,206,440,324,3,15,51,255,"1,531","460,961,711",17,69
