事故種別,内容,救急搬送人員（人）,,,,
ころぶ,段差,2625,,,,
ころぶ,階段,1638,,,,
ころぶ,自転車,848,,,,
ころぶ,椅子,637,,,,
ころぶ,エスカレーター,544,,,,
落ちる,階段,2849,,,,
落ちる,ベッド,1111,,,,
落ちる,椅子,484,,,,
落ちる,脚立・踏み台・足場,353,,,,
落ちる,エスカレーター,200,,,,
ぶつかる,その他の家具,115,,,,
ぶつかる,人,106,,,,
ぶつかる,柱,90,,,,
ぶつかる,壁・天井,79,,,,
ぶつかる,手動ドア,77,,,,
ものがつまる等,食物,393,,,,
ものがつまる等,おかゆ類,109,,,,
ものがつまる等,包み・袋,95,,,,
ものがつまる等,ご飯,87,,,,
ものがつまる等,入れ歯によるもの,83,,,,
切る・刺さる,ナイフ,165,,,,
切る・刺さる,電気のこぎり,75,,,,
切る・刺さる,はさみ・爪切り,35,,,,
切る・刺さる,食器類,28,,,,
切る・刺さる,スライサー,21,,,,
おぼれる,浴槽,428,,,,
おぼれる,河川,22,,,,
おぼれる,プール,1,,,,
おぼれる,海,1,,,,
はさむ・はさまれる,手動ドア,29,,,,
はさむ・はさまれる,ベッド,27,,,,
はさむ・はさまれる,プレス機,18,,,,
はさむ・はさまれる,その他の機械,12,,,,
はさむ・はさまれる,フォークリフト,10,,,,
やけど,ヤカン,31,,,,
やけど,熱湯,29,,,,
やけど,鍋,27,,,,
やけど,天ぷら油,17,,,,
やけど,ポット・魔法瓶,16,,,,
かまれる・刺される,動物等,101,,,,
かまれる・刺される,虫,78,,,,
