区分,許可・設置,許可・変更,完成検査・設置,完成検査・変更,"仮使用承認","譲渡引渡届",種類数量変更届,廃止届,資料提出
計,618,2496,560,2158,1212,173,453,1198,4574
製造所,3,71,3,62,39,0,6,8,84
貯蔵所,457,789,416,728,90,131,260,841,861
屋内貯蔵所,59,43,59,38,13,16,161,159,91
屋外タンク貯蔵所,18,106,16,101,55,2,15,82,277
屋内タンク貯蔵所,25,40,23,41,18,17,4,104,72
地下タンク貯蔵所,110,204,86,185,3,37,29,305,277
簡易タンク貯蔵所,2,1,0,1,0,0,0,4,1
移動タンク貯蔵所,221,389,208,357,1,55,45,155,136
屋外貯蔵所,22,6,14,5,0,4,6,32,7
取扱所,158,1636,141,1368,1083,42,187,349,3629
給油取扱所,77,1097,66,887,744,25,41,169,3024
営業用,42,1017,35,815,715,18,37,114,2920
自家用,35,80,31,72,29,7,4,55,104
販売取扱所,13,3,12,2,0,0,13,36,12
第１種,8,1,7,2,0,0,9,30,9
第２種,5,2,5,0,0,0,4,6,3
移送取扱所,0,3,0,3,0,0,1,1,2
一般取扱所,137,533,63,476,339,17,132,143,591
