事故種別,内容,救急搬送人員（人）,,,,
ころぶ,階段,1215,,,,
ころぶ,段差,524,,,,
ころぶ,自転車,452,,,,
ころぶ,エスカレーター,188,,,,
ころぶ,椅子,174,,,,
落ちる,階段,2357,,,,
落ちる,脚立・踏み台,344,,,,
落ちる,椅子,166,,,,
落ちる,軌道敷,133,,,,
落ちる,自動車,129,,,,
ぶつかる,人,313,,,,
ぶつかる,壁・天井,164,,,,
ぶつかる,ボール,137,,,,
ぶつかる,手動ドア,133,,,,
ぶつかる,その他の家具,129,,,,
切る・刺さる,ナイフ,818,,,,
切る・刺さる,食器類,220,,,,
切る・刺さる,スライサー,118,,,,
切る・刺さる,電気のこぎり,72,,,,
切る・刺さる,はさみ・爪切り,51,,,,
はさむ・はさまれる,自転車,71,,,,
はさむ・はさまれる,手動ドア,66,,,,
はさむ・はさまれる,その他の機械,50,,,,
はさむ・はさまれる,フォークリフト,37,,,,
はさむ・はさまれる,建材,34,,,,
やけど,天ぷら油,75,,,,
やけど,熱湯,63,,,,
やけど,鍋,55,,,,
やけど,ポット・魔法瓶,46,,,,
やけど,味噌汁・スープ,38,,,,
ものがつまる等,肉,45,,,,
ものがつまる等,食物,44,,,,
ものがつまる等,洗剤等,40,,,,
ものがつまる等,入れ歯によるもの,28,,,,
ものがつまる等,包み・袋,27,,,,
かまれる・刺される,動物等,207,,,,
かまれる・刺される,虫,97,,,,
かまれる・刺される,魚貝類,1,,,,
おぼれる,浴槽,27,,,,
おぼれる,河川,23,,,,
おぼれる,プール,1,,,,
おぼれる,池,1,,,,
