消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
平成27年度,"8,358","12,741",78,"1,789",384,"1,133","2,910",8,"1,633",172,"1,071",64,655,-,245,93,13,"2,493","7,383","29,173","26,330","5,863"
平成28年度,"8,282","12,631",75,"1,762",371,"1,147","2,911",8,"1,585",169,"1,037",65,649,-,231,94,13,"2,514","7,243","26,412","26,620","5,903"
平成29年度,"8,278","12,626",70,"1,748",366,"1,168","2,928",8,"1,552",171,1000,66,649,-,225,92,13,"2,570","7,080","25,777","27,090","5,910"
平成30年度,"8,220","12,599",68,"1,724",352,"1,165","2,958",7,"1,546",162,969,67,654,-,216,91,12,"2,608","6,887","26,123","27,334","5,965"
令和元年度,8034,12516,65,1695,345,1146,2971,7,1497,158,945,66,650,-,207,89,11,2664,6806,25603,27388,6004
特別区,5379,8374,46,1031,143,1013,1927,3,949,62,607,36,410,-,184,74,1,1888,4143,16670,18377,4690
丸の内,213,392,-,-,-,105,103,-,-,-,-,-,4,-,-,-,-,180,64,889,204,5
麹町,138,248,-,5,-,52,101,-,1,-,4,-,4,-,-,-,-,81,54,363,555,18
神田,104,139,-,12,-,27,42,-,-,-,9,-,2,-,10,-,-,37,46,167,199,19
京橋,120,198,-,1,2,72,49,-,-,-,6,-,1,-,1,-,-,66,28,579,348,20
日本橋,127,214,-,-,-,94,46,-,-,-,9,-,1,-,8,-,-,56,27,239,437,13
臨港,71,120,1,11,11,14,29,2,3,2,4,1,12,-,-,-,-,30,167,181,195,40
芝,194,341,-,7,-,74,113,-,-,1,10,1,5,-,1,-,-,129,61,216,652,80
麻布,78,96,-,-,-,21,34,-,2,-,9,-,3,-,-,-,-,27,32,98,135,6
赤坂,72,134,-,-,-,25,51,-,-,-,5,-,3,-,-,-,-,50,36,365,242,15
