許可数量,計,製造所,貯蔵所／小計,貯蔵所／屋内,貯蔵所／屋外タンク,貯蔵所／屋内タンク,貯蔵所／地下タンク,貯蔵所／簡易タンク,貯蔵所／移動タンク,貯蔵所／屋外,取扱所／小計,取扱所／給油,取扱所／第1種販売,取扱所／第2種販売,取扱所／移送,取扱所／一般
計,27145,189,18291,3307,1115,2771,7682,25,2935,456,8665,4129,612,140,12,3772
5倍以下,13268,56,11041,2113,212,2051,4912,20,1557,176,2171,93,407,－,－,1671
5倍をこえ10倍以下,5097,45,3210,575,186,623,1414,5,214,193,1842,336,89,3,－,1414
10倍をこえ50倍以下,4059,51,2451,477,310,97,1087,－,407,73,1557,730,116,137,2,572
50倍をこえ100倍以下,1938,18,1031,66,99,－,178,－,678,10,889,830,－,－,－,59
100倍をこえ150倍以下,1159,7,150,30,35,－,39,－,45,1,1002,986,－,－,－,16
150倍をこえ200倍以下,735,5,69,8,25,－,19,－,14,3,661,653,－,－,－,8
200倍をこえ1000倍以下,763,7,237,35,152,－,30,－,20,－,519,498,－,－,4,17
1000倍をこえ5000倍以下,93,－,81,3,75,－,3,－,－,－,12,1,－,－,2,9
5000倍をこえ10000倍以下,19,－,14,－,14,－,－,－,－,－,5,1,－,－,－,4
10000倍をこえるもの,14,－,7,－,7,－,－,－,－,－,7,1,－,－,4,2
