年次,計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
昭和61年／講習回数,166,6,12,22,5,11,25,17,7,21,17,15,8
昭和61年／修了証交付者数,20290,1004,1300,2247,955,1618,2716,2161,959,2487,2116,30,997
昭和62年／講習回数,190,5,12,19,－,3,38,26,9,20,27,19,12
昭和62年／修了証交付者数,20822,653,1450,2608,－,735,3026,2993,1179,2060,2577,2136,1405
昭和63年／講習回数,232,4,11,24,9,17,38,25,7,30,32,22,13
昭和63年／修了証交付者数,20982,540,1251,2425,809,1752,3128,2186,868,2600,2520,1793,1110
平成元年／講習回数,271,16,20,43,7,19,44,23,14,25,20,29,11
平成元年／修了証交付者数,21980,1016,1728,3451,546,1832,3525,1889,1123,2168,1652,1959,1091
平成2年／講習回数,241,5,19,31,6,20,35,21,9,22,30,29,14
平成2年／修了証交付者数,21027,528,1539,2574,315,2222,3126,1948,993,1962,2656,1953,1211
