消防署,警報設備・自動火災報知設備・対象物数,警報設備・自動火災報知設備・設備数,警報設備・ガス漏れ火災警報設備・対象物数,警報設備・ガス漏れ火災警報設備・設備数,警報設備・漏電火災警報器・対象物数,警報設備・漏電火災警報器・設備数,警報設備・消防機関へ通報する火災通報装置・対象物数,警報設備・消防機関へ通報する火災通報装置・設備数,警報設備・非常ベル・自動式サイレン対象物数,警報設備・非常ベル・自動式サイレン設備数,警報設備・放送設備・対象物数,警報設備・放送設備・設備数,避難設備・救助袋・対象物数,避難設備・救助袋・設備数,避難設備・緩降機・対象物数,避難設備・緩降機・設備数,避難設備・避難はしご・対象物数,避難設備・避難はしご・設備数,避難設備・誘導灯・対象物数
世田谷,"6,667","5,295",140,107,892,862,200,151,1906,"2,711",572,480,127,190,651,789,"6,090","8,671","5,122"
玉川,"3,548","3,896",81,87,365,371,153,138,980,"1,250",289,218,85,91,389,328,"3,190","3,781","2,618"
成城,"3,480","2,788",43,39,216,202,246,211,937,1056,305,273,96,150,279,287,"2,354","3,171","2,119"
渋谷,"7,813","7,177",317,290,144,145,206,141,1900,3206,1130,995,160,314,1808,2807,"6,289",10960,"8,113"
四谷,"1,911","1,813",86,68,39,37,54,50,472,355,318,283,39,34,459,324,"1,580",886,"2,042"
牛込,"2,370","2,088",76,53,62,61,91,75,715,884,307,239,42,58,483,503,"2,371","2,637","2,451"
新宿,"5,128","4,806",174,178,254,242,268,236,1219,1988,882,828,100,221,952,1769,"4,063","7,360","4,622"
中野,"2,745","2,263",74,73,282,279,89,75,936,946,234,199,49,57,556,272,"3,473","1,601","2,452"
野方,"2,300","1,773",26,18,616,579,122,100,694,718,102,79,43,51,246,171,"2,551","1,768","1,561"
杉並,"4,520","3,805",83,79,1200,1183,194,156,1417,"2,031",332,278,87,166,494,597,"4,698","6,180","3,572"
荻窪,"3,439","2,644",43,39,916,840,174,143,1068,1797,249,181,63,96,367,401,"2,845","2,627","2,478"
小石川,"2,355","2,123",84,83,63,63,78,60,584,1028,355,316,49,78,481,454,"2,392","2,287","2,116"
本郷,"2,415","2,182",83,77,92,95,95,69,706,924,379,305,54,110,442,507,"2,159","1,755","2,265"
豊島,"3,267","2,893",91,85,112,103,153,92,871,939,521,420,77,147,760,949,"3,057","2,615","3,108"
池袋,"2,791","2,481",68,85,283,286,182,104,752,1135,318,277,47,65,521,660,"3,113","4,608","2,377"
王子,"1,565","1,364",32,27,141,151,81,54,444,721,203,181,53,88,237,256,"1,541","1,824","1,321"
赤羽,"1,937","1,559",42,36,100,96,80,64,587,841,246,262,46,74,220,279,"1,699","2,650","1,425"
滝野川,"1,410","1,270",22,20,160,165,49,39,453,728,149,125,40,63,253,236,"1,724","2,261","1,244"
板橋,"2,938","2,341",31,24,281,246,118,92,"1,157",900,267,210,83,71,442,217,"3,350","1,104","2,480"
志村,"5,161","4,152",76,65,669,637,271,211,1708,2101,554,383,108,209,422,518,"3,814","3,923","3,744"
練馬,"3,557","2,794",24,24,317,321,149,116,1188,1502,239,188,79,121,335,294,"2,997","2,415","2,354"
光が丘,"1,912","1,541",22,18,246,236,80,62,642,814,210,133,57,104,149,164,"1,374","1,854","1,204"
石神井,"3,374","2,525",33,29,561,550,249,179,1349,"1,559",300,247,87,158,213,251,"2,684","4,097","2,248"
上野,"3,035","2,674",69,57,84,83,133,88,840,1355,528,418,53,112,703,924,"2,561",3180,"3,185"
浅草,"1,991","1,866",16,8,23,18,57,49,537,582,206,159,21,13,545,336,"1,735","1,186","2,155"
日本堤,1722,"1,634",26,26,103,104,144,127,338,557,172,163,20,36,308,245,1423,"1,356",1662
荒川,"2,054",1836,50,50,149,175,109,89,633,757,234,162,58,93,285,316,"1,806",2042,1889
尾久,"1,005",838,18,11,114,110,63,54,309,315,81,56,35,35,114,48,"1,076",295,958
千住,"1,427","1,765",16,12,102,111,63,53,360,594,171,131,34,53,158,198,"1,295","3,743","1,195"
足立,"5,390","4,109",44,37,318,315,286,205,1850,"1,874",445,362,152,270,312,321,"3,991","5,903","3,230"
西新井,"3,065","2,622",41,37,301,311,181,156,835,1157,293,262,84,125,129,133,"1,968","2,886","2,208"
本所,"3,799","3,276",49,47,70,66,151,121,965,1110,445,283,57,119,604,589,"3,535","3,160","3,094"
向島,"1,560","1,494",28,24,84,87,88,77,391,714,175,135,51,80,119,100,"1,272","1,217","1,288"
深川,"3,951","5,052",142,193,43,49,162,140,912,"1,961",528,746,84,137,482,820,"2,778","7,730","3,304"
城東,"3,275","2,875",52,37,85,82,136,107,644,1065,529,310,70,142,308,283,"1,984",1902,"2,577"
本田,"3,542","3,406",38,22,432,437,164,146,1206,1436,270,235,96,117,276,362,"3,151","4,319","2,832"
金町,"2,228","2,088",19,18,273,284,129,102,773,1066,187,155,58,92,186,266,"1,720","2,790","1,453"
江戸川,"2,904","2,576",24,17,180,126,123,101,623,549,239,175,69,107,238,206,"1,987","1,661","1,858"
葛西,"3,760","3,412",35,28,268,276,146,94,854,1233,344,275,57,113,272,283,"2,622","3,424","1,903"
小岩,"2,694","2,471",12,11,330,333,136,113,577,769,214,198,72,130,221,287,"2,128","2,736","1,699"
受託地区,"58,970","48,129",1043,1035,7283,6990,3441,2783,16649,19700,6669,5300,1216,1935,3320,4255,"33,207","42,311","39,270"
立川,"4,284","3,751",86,86,227,228,252,205,1329,1827,556,519,84,107,431,619,"2,793","4,566","3,116"
武蔵野,"2,603","2,240",64,65,346,330,106,89,734,807,327,275,55,78,315,450,"1,972","2,231","2,054"
三鷹,"2,626","2,301",54,60,800,770,139,118,708,1113,238,217,64,110,99,123,1804,"2,055","1,644"
府中,"3,816","3,008",112,98,319,312,214,133,890,990,369,268,91,142,240,287,2311,"3,083","2,212"
昭島,"1,551","1,276",28,37,128,127,106,62,455,612,195,165,17,22,74,91,869,"1,421",1148
調布,"3,279","2,681",63,70,495,499,142,117,962,1029,300,233,68,99,174,179,2167,"2,207",2129
小金井,"1,640","1,337",21,22,336,314,80,63,444,624,145,131,44,85,88,135,944,"1,918",958
小平,"2,555","1,881",46,36,439,433,152,120,888,1101,333,263,82,154,129,152,"1,529","1,967",1736
東村山,1882,1429,49,52,219,210,140,102,655,813,246,190,18,25,90,139,1104,1732,1342
国分寺,"1,615",1162,25,13,267,221,92,70,423,267,122,87,45,37,143,73,1108,322,1087
狛江,"1,014",792,17,18,406,398,53,45,259,368,79,64,20,43,37,37,651,603,582
北多摩西部,"2,067",1784,29,24,223,224,99,86,693,696,259,246,27,40,50,50,949,744,1532
清瀬,"1,078",636,28,21,159,153,101,66,304,385,114,80,21,38,48,48,510,606,585
東久留米,"1,417","1,151",27,22,254,250,110,102,360,459,155,153,26,31,52,37,793,431,870
西東京,"2,434","2,296",45,84,410,382,135,111,756,810,220,152,66,84,122,127,1795,"1,304","1,588"
八王子,"8,493","7,389",139,132,566,575,548,430,2248,3151,1161,815,150,276,488,664,4538,"6,961","5,788"
青梅,"2,243","1,782",19,20,324,302,131,119,570,424,222,173,47,92,80,99,841,"1,232","1,604"
町田,"5,213","4,241",70,85,437,439,346,320,1536,1293,633,542,124,178,303,467,"2,342","3,783","3,544"
日野,"2,546","1,919",27,18,460,377,165,137,654,811,240,154,38,62,123,142,"1,426","1,499","1,484"
福生,"2,634","2,165",19,14,148,144,105,100,787,1108,211,188,50,89,80,110,1137,1781,1941
多摩,2420,1530,62,49,171,155,80,60,729,746,361,238,57,111,131,193,1280,1213,1191
秋川,1260,1107,11,9,121,120,128,114,240,244,170,140,20,30,21,32,333,647,994
奥多摩,300,271,2,0,28,27,17,14,25,22,13,7,2,2,2,1,11,5,141
