"応援を受けた消防署",応援消防本部,件数・計,件数・普通応援,件数・特別応援,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,"従事・放水時間（分）
",出場人員・計,出場人員・従事,出場人員・不従事
平成27年,合計,342,341,1,657,381,137,89,50,147,399,3,13,79,"2,357",1402,955
平成28年,合計,418,418,0,649,446,107,58,38,124,272,7,52,187,"2,400",998,"1,402"
平成29年,合計,388,387,1,626,426,104,38,58,151,296,1,14,33,"2,327",1118,"1,209"
平成30年,合計,414,409,5,676,481,75,64,56,85,204,5,15,75,"2,538",749,"1,789"
令和元年,合計,491,487,4,883,573,163,75,72,130,327,108,107,464,"2,727","1,459",1916
田園調布,川崎市,11,11,0,12,12,0,0,0,11,12,0,0,0,48,48,0
蒲田,川崎市,29,29,0,50,35,3,9,3,3,12,0,0,0,192,75,117
矢口,川崎市,15,15,0,16,16,0,0,0,7,8,0,0,0,64,32,32
玉川,川崎市,20,20,0,28,25,1,1,1,0,0,0,0,0,114,0,114
成城,川崎市,1,1,0,7,2,1,2,2,1,7,0,0,0,27,27,0
赤羽,川口市,10,10,0,36,16,3,12,5,4,23,0,0,0,119,76,43
志村,戸田市,17,17,0,19,18,0,0,1,2,2,2,26,116,57,6,51
志村,埼玉県南西部,13,13,0,13,13,0,0,0,0,0,0,0,0,55,0,55
光が丘,埼玉県南西部,9,9,0,11,9,2,0,0,1,2,0,0,0,42,7,35
石神井,埼玉県南西部,57,57,0,111,58,48,3,2,35,86,2,9,70,422,314,108
石神井,埼玉西部,31,30,1,31,31,0,0,0,0,0,0,0,0,110,0,110
足立,草加八潮,2,2,0,2,2,0,0,0,0,0,0,0,0,8,0,8
西新井,草加八潮,11,11,0,16,14,2,0,0,4,8,2,18,103,62,32,30
西新井,川口市,3,3,0,3,3,0,0,0,0,0,0,0,0,11,0,11
金町,三郷市,15,15,0,55,25,6,12,12,0,0,0,0,0,188,0,188
金町,松戸市,2,2,0,2,2,0,0,0,0,0,0,0,0,6,0,6
金町,草加八潮,9,9,0,12,9,1,0,2,1,0,0,0,0,50,7,43
江戸川,市川市,18,18,0,24,18,6,0,0,4,0,0,0,0,90,28,62
葛西,浦安市,28,28,0,45,24,6,0,15,4,0,0,0,0,171,38,133
小岩,市川市,9,7,2,20,12,2,2,4,1,5,0,0,0,66,22,44
府中,稲城市,6,5,1,11,8,1,1,1,1,6,2,23,60,38,19,19
調布,稲城市,6,6,0,6,6,0,0,0,0,0,0,0,0,26,0,26
東村山,埼玉西部,4,4,0,4,4,0,0,0,0,0,0,0,0,15,0,15
狛江,川崎市,10,10,0,11,11,0,0,0,10,11,0,0,0,44,44,0
清瀬,埼玉県南西部,20,20,0,23,20,1,1,1,2,5,0,0,0,99,20,79
清瀬,埼玉県西部,2,2,0,2,2,0,0,0,0,0,0,0,0,8,0,8
西東京,埼玉県南西部,7,7,0,7,7,0,0,0,0,0,0,0,0,32,0,32
東久留米,埼玉県南西部,9,9,0,19,12,1,1,5,1,11,9,25,70,117,82,35
八王子,相模原市,12,12,0,92,51,19,15,7,10,12,51,0,0,0,165,169
青梅,埼玉西部,5,5,0,13,7,2,0,4,1,0,0,0,0,46,10,36
町田,川崎市,2,2,0,3,3,0,0,0,2,3,1,3,30,12,12,0
町田,横浜市,45,45,0,88,45,20,16,7,24,62,1,3,15,328,234,94
町田,相模原市,38,38,0,76,38,38,0,0,0,38,38,0,0,0,157,157
町田,大和市,13,13,0,13,13,0,0,0,0,13,0,0,0,52,0,52
多摩,稲城市,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4
多摩,川崎市,1,1,0,1,1,0,0,0,1,1,0,0,0,4,4,0
