高速道路,出場件数・計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,程度別人員・死亡,程度別人員・重篤,程度別人員・重症,程度別人員・中等症,程度別人員・軽症
平成27年,"1,597","1,391",206,1,205,"1,881","1,880",1,4,19,56,299,"1,502"
平成28年,"1,554","1,345",209,1,208,"1,752","1,751",1,7,19,34,292,"1,399"
平成29年,"1,445","1,239",206,1,205,"1,564","1,563",1,5,19,52,285,"1,202"
平成30年,"1,418","1,230",188,3,185,"1,527","1,523",4,5,25,73,316,"1,104"
令和元年,"1,312","1,117",195,3,192,"1,399","1,396",3,2,13,66,282,"1,033"
東名高速道路,19,16,3,0,3,19,19,0,0,0,1,6,12
中央自動車道,131,116,15,0,15,140,140,0,0,1,7,28,104
関越自動車道,20,18,2,0,2,26,26,0,0,0,0,5,21
東京外環自動車道,4,3,1,0,1,4,4,0,0,0,0,1,3
首都圏中央連絡自動車道路,51,44,7,0,7,50,50,0,0,0,6,8,36
第三京浜道路,8,7,1,0,1,7,7,0,0,0,1,5,1
京葉道路,6,4,2,0,2,5,5,0,0,0,0,0,5
国道１６号線八王子バイパス,14,14,0,0,0,15,15,0,0,0,1,5,9
首都高速湾岸線,174,147,27,1,26,209,207,2,0,1,7,31,168
首都高速都心環状線,167,140,27,1,26,164,164,0,1,2,12,27,122
首都高速１号線,70,60,10,0,10,72,72,0,0,1,8,10,53
首都高速２号線,15,12,3,0,3,15,15,0,0,0,0,3,12
首都高速３号線,54,42,12,0,12,60,60,0,0,0,2,14,44
首都高速４号線,99,75,24,0,24,91,91,0,0,0,1,17,73
首都高速５号線,127,111,16,0,16,129,129,0,1,1,3,34,90
首都高速６号線,64,55,9,0,9,63,63,0,0,0,5,15,43
首都高速７号線,38,32,6,0,6,40,40,0,0,2,0,8,30
首都高速９号線,12,11,1,0,1,11,11,0,0,1,1,3,6
首都高速中央環状線,174,153,21,1,20,208,207,1,0,3,8,43,153
首都高速川口線,10,10,0,0,0,12,12,0,0,1,1,2,8
首都高速１１号台場線,15,13,2,0,2,20,20,0,0,0,0,6,14
首都高速１０号晴海線,1,1,0,0,0,2,2,0,0,0,0,0,2
首都高速八重洲線,9,8,1,0,1,6,6,0,0,0,0,2,4
東京高速道路,7,5,2,0,2,6,6,0,0,0,0,2,4
その他高速道路,23,20,3,0,3,25,25,0,0,0,2,7,16
首都高速中央�0333,35.64745,JGD2011,042-663-4017,135
社福法人,敬愛クレヨン保育園,193-0832,八王子市散田町５－８－２０,139.29926,35.6479,JGD2011,042-669-0161,80
社福法人,敬愛たかお保育園,193-0834,八王子市東浅川町５５０－３２,139.28918,35.64354,JGD2011,042-667-1077,99
営利法人,保育園コスモ・アレー,193-0834,八王子市東浅川町７０９－１　新都市はざま１階,139.2924,35.64117,JGD2011,042-664-6677,30
社福法人,浅川保育園,193-0834,八王子市東浅川町９６８,139.28653,35.64412,JGD2011,042-661-0516,136
営利法人,ピノキオ幼児舎西八王子保育園,193-0835,八王子市千人町２－１８－７　西八ＴＫビル２階,139.31194,35.658,JGD2011,042-668-7381,46
区市町村,千人保育園,193-0835,八王子市千人町３－５－１７,139.30998,35.65845,JGD2011,042-661-3360,64
その他,多摩文化保育園,193-0835,八王子市千人町４－１－６,139.30881,35.6551,JGD2011,042-661-6045,111
区市町村,高尾保育園,193-0844,八王子市高尾町１７３７,139.27432,35.64274,JGD2011,042-661-2431,39
他の法人,みころん保育園,193-0845,八王子市初沢町１３０３　オルタシア１Ｆ・２Ｆ,139.27516,35.62948,JGD2011,042-668-0006,70
社福法人,わらべふじ森保育園,193-0931,八王子市台町１－２５－５,139.3244,35.64985,JGD2011,042-621-1151,100
その他,八王子ふたば保育園,193-0931,八王子市台町４－４－１４,139.32326,35.65762,JGD2011,042-622-3403,60
社福法人,光明第五保育園,193-0933,八王子市山田町１６８８－２,139.31592,35.64081,JGD2011,042-664-0854,100
社福法人,めじろ保育園,193-0933,八王子市山田町１８８８－６,139.31396,35.64185,JGD2011,042-664-2594,100
社福法人,白百合椚田保育園,193-0942,八王子市椚田町５２９－５,139.3111,35.63684,JGD2011,042-666-7535,100
社福法人,白百合寺田保育園,193-0943,八王子市寺田町４３２－１２６,139.30093,35.62074,JGD2011,042-664-5992,120
社福法人,館ヶ丘保育園,193-0944,八王子市館町１０９７,139.28412,35.62996,JGD2011,042-664-1073,77
社福法人,八王子ひまわり保育園,193-0944,八王子市館町１６２９,139.29794,35.63352,JGD2011,042-661-3046,110
社福法人,けやき台さくら保育園,190-0001,立川市若葉町１－１３－２,139.4351,35.71737,JGD2011,042-536-1659,132
社福法人,れんげ砂川保育園,190-0001,立川市若葉町４－２４－３１,139.44301,35.72241,JGD2011,042-536-5281,138
社福法人,あおば保育園,190-0002,立川市幸町４－５２－１,139.42732,35.72704,JGD2011,042-536-3912,140
社福法人,たかのみち保育園,190-0002,立川市幸町６－３２－１,139.42619,35.7284,JGD2011,042-537-0016,190
社福法人,栄保育園,190-0003,立川市栄町３－３３－３,139.42926,35.70792,JGD2011,042-525-0815,110
社福法人,江の島保育園,190-0003,立川市栄町５－２０－３,139.42644,35.71488,JGD2011,042-536-1443,110
区市町村,中砂保育園,190-0003,立川市栄町５－３８－１,139.4245,35.71812,JGD2011,042-536-1391,150
区市町村,柏保育園,190-0004,立川市柏町３－５２－９,139.41101,35.72481,JGD2011,042-536-2565,120
区市町村,高松保育園,190-0011,立川市高松町１－１８－７,139.41676,35.70834,JGD2011,042-525-0201,80
他の法人,ぽけっとランド立川保育園,190-0012,立川市曙町２－１８－１５,139.41621,35.70065,JGD2011,042-540-1871,36
社福法人,愛光あけぼの保育園,190-0012,立川市曙町３－１７－２２,139.4248,35.69987,JGD2011,042-548-8721,105
社福法人,愛光保育園,190-0012,立川市曙町３－２４－２２,139.42107,35.70215,JGD2011,042-522-4947,150
区市町村,西立川保育園,190-0013,立川市富士見町１－１８－１６,139.39642,35.699,JGD2011,042-524-7831,100
社福法人,冨士見保育園,190-0013,立川市富士見町２－２６－１,139.40152,35.69892,JGD2011,042-522-2834,200
社福法人,立川たんぽぽ保育園,190-0013,立川市富士見町６－５９－１,139.39049,35.69212,JGD2011,042-526-0280,65
社福法人,玉川保育園,190-0013,立川市富士見町６－７２－１,139.39085,35.69491,JGD2011,042-522-6308,110
社福法人,愛光第五保育園,190-0013,立川市富士見町７－２３－５,139.39629,35.69228,JGD2011,042-524-4115,149
社福法人,愛光みどり保育園,190-0014,立川市緑町７－１,139.41185,35.70945,JGD2011,042-512-5571,40
社福法人,西国立保育園,190-0021,立川市羽衣町２－４３－４,139.42458,35.69297,JGD2011,042-522-6249,80
区市町村,羽衣保育園,190-0021,立川市羽衣町２－５１－７,139.42915,35.69323,JGD2011,042-522-2161,100
社福法人,ほほえみの森保育園,190-0022,立川市錦町３－１－２０,139.41803,35.69376,JGD2011,042-595-6930,40
社福法人,至誠保育園,190-0022,立川市錦町６－２６－１３,139.4174,35.68461,JGD2011,042-524-1500,120
社福法人,小百合保育園,190-0022,立川市錦町６－６－３－１０１,139.42015,35.68724,JGD2011,042-527-7924,100
社福法人,柴崎保育園,190-0023,立川市柴崎町１－１６－２３,139.40709,35.69247,JGD2011,042-525-0066,105
社福法人,諏訪の森保育園,190-0023,立川市柴崎町１－４－４,139.40482,35.69508,JGD2011,042-522-2589,101
社福法人,見影橋保育園,190-0031,立川市砂川町３－２３－２,139.39879,35.72734,JGD2011,042-536-1644,150
区市町村,上砂保育園,190-0032,立川市上砂町１－１３－１,139.38809,35.72075,JGD2011,042-536-2670,113
社福法人,あおば第二保育園,190-0032,立川市上砂町２－４０－５,139.39407,35.72527,JGD2011,042-537-3325,111
社福法人,きらめきの森保育園,190-0032,立川市上砂町５－８５－１,139.38721,35.73059,JGD2011,042-537-7736,80
社福法人,立川ひかり保育園,190-0033,立川市一番町２－２２－１,139.37961,35.72679,JGD2011,042-531-1273,91
社福法人,松中保育園,190-0033,立川市一番町５－８－２５,139.37299,35.73203,JGD2011,042-531-9438,120
社福法人,西武立川きらり保育園,190-0034,立川市西砂町１－２－１２７,139.37288,35.72544,JGD2011,042-560-0200,30
社福法人,西砂保育園,190-0034,立川市西砂町２－６３－２,139.36478,35.72993,JGD2011,042-531-0514,150
営利法人,わんわん保育園,190-0034,立川市西砂町６－１２－４,139.37215,35.72957,JGD2011,042-520-0041,69
他の法人,なすび保育園,190-0034,立川市西砂町６－７５－９,139.36801,35.73447,JGD2011,042-531-7888,120
公益法人,北町保育園,180-0001,武蔵野市吉祥寺北町１－２３－１７,139.57713,35.71138,JGD2011,0422-21-6681,128
区市町村,吉祥寺保育園,180-0001,武蔵野市吉祥寺北町５－１１－５１,139.56822,35.71741,JGD2011,0422-51-5206,102
営利法人,吉祥寺東町すみれ保育園,180-0002,武蔵野市吉祥寺東町２－６－２,139.58121,35.71033,JGD2011,0422-20-6640,60
営利法人,マミー吉祥寺保育園,180-0002,武蔵野市吉祥寺東町３－１－２,139.58682,35.70466,JGD2011,0422-27-5541,60
公益法人,東保育園,180-0002,武蔵野市吉祥寺東町３－２８－３,139.59119,35.70659,JGD2011,0422-21-2495,75
区市町村,南保育園,180-0003,武蔵野市吉祥寺南町３－６－１５,139.58578,35.69912,JGD2011,0422-48-1501,96
公益法人,吉祥寺きらめき保育園,180-0003,武蔵野市吉祥寺南町３－８－１５,139.5856,35.69807,JGD2011,0422-26-7723,72
営利法人,キッズいながき保育園吉祥寺,180-0003,武蔵野市吉祥寺南町５丁目３番９号,139.59075,35.70345,JGD2011,0422-70-7838,60
営利法人,うぃず吉祥寺第二保育園,180-0004,武蔵野市吉祥寺本町２－２３－４,139.57454,35.70338,JGD2011,0422-27-5468,60
営利法人,うぃず吉祥寺第一保育園,180-0004,武蔵野市吉祥寺本町２－３５－１２,139.57388,35.70346,JGD2011,0422-27-1565,60
営利法人,まちの保育園　吉祥寺,180-0004,武蔵野市吉祥寺本町３－２７－１３,139.56815,35.70387,JGD2011,0422-38-8260,60
営利法人,ピノキオ幼児舎吉祥寺保育園,180-0004,武蔵野市吉祥寺本町４－１０－１０,139.57426,35.7087,JGD2011,0422-27-6085,78
営利法人,中町すみれ保育園,180-0006,武蔵野市中町２－２－５クロフトコテージ１階,139.56111,35.70667,JGD2011,0422-38-6220,60
社福法人,精華第一保育園,180-0006,武蔵野市中町２－３１－８,139.5676,35.70523,JGD2011,0422-54-3854,72
営利法人,むくむくみらい保育園,180-0006,武蔵野市中町２－５－９,139.56205,35.70833,JGD2011,0244-90-6484,73
赤十字,武蔵野赤十字保育園,180-0006,武蔵野市中町３－２５－７,139.56815,35.70804,JGD2011,0422-52-3298,178
営利法人,ニチイキッズ武蔵野やはた保育園,180-0011,武蔵野市八幡町１－２－２５,139.55724,35.71559,JGD2011,0422-60-2015,80
公益法人,千川保育園,180-0011,武蔵野市八幡町１－４－１３,139.55684,35.71726,JGD2011,0422-51-8478,96
社福法人,ふじの実保育園,180-0012,武蔵野市緑町３－４－３,139.56549,35.72097,JGD2011,0422-55-2525,103
