消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者
計,1851,863,80,33,48,702,281,－,－,－,707,14701,3416621,51,133
特別区,1398,666,52,29,39,546,203,－,－,－,529,10691,2717526,34,100
丸の内,4,1,－,－,－,1,－,－,－,－,3,－,5,－,－
麹町,4,3,－,－,－,3,1,－,－,－,－,－,11923,－,－
神田,5,－,－,－,－,－,1,－,－,－,4,－,86,－,－
京橋,7,4,－,－,1,3,－,－,－,－,3,58,31307,－,－
日本橋,3,3,－,－,－,3,－,－,－,－,－,－,211,－,－
臨港,1,－,－,－,－,－,－,－,－,－,1,－,18,－,1
芝,6,5,－,－,－,5,1,－,－,－,－,－,874,－,－
麻布,10,4,－,－,－,4,4,－,－,－,2,－,130,－,－
赤坂,6,1,－,－,－,1,1,－,－,－,4,－,11,－,3
高輪,7,3,－,－,－,3,1,－,－,－,3,－,61,－,－
品川,27,14,－,－,－,14,5,－,－,－,8,－,10370,－,1
大井,24,11,－,1,－,10,2,－,－,－,11,62,9063,－,－
荏原,35,15,1,－,1,13,5,－,－,－,15,49,13474,－,－
大森,26,10,－,－,－,10,7,－,－,－,9,－,10318,－,－
東調布,6,2,－,－,1,1,2,－,－,－,2,15,15797,－,2
蒲田,14,4,－,－,－,4,4,－,－,－,6,－,423,－,－
矢口,13,9,－,1,－,8,2,－,－,－,2,27,15217,－,－
目黒,48,19,－,2,1,16,7,－,－,－,22,142,19488,1,3
世田谷,77,31,1,2,2,26,15,－,－,－,31,407,59266,2,6
玉川,6,－,－,－,－,－,1,－,－,－,5,－,3716,1,1
成城,18,5,1,－,1,3,5,－,－,－,8,49,10455,1,3
渋谷,48,23,2,－,1,20,5,－,－,－,20,601,158066,1,－
四谷,5,2,－,－,2,－,1,－,－,－,2,183,560446,1,－
牛込,15,5,－,－,－,5,2,－,－,－,8,－,76,－,－
新宿,29,19,－,1,3,15,6,－,－,－,4,106,27884,1,2
中野,34,10,1,－,－,9,5,－,－,－,19,30,7536,－,1
野方,27,9,－,－,－,9,－,－,－,－,18,－,105,1,－
杉並,64,19,2,1,－,16,18,－,－,－,27,260,23677,－,－
荻窪,50,13,－,3,2,8,3,－,－,－,34,161,40551,2,2
小石川,9,3,－,－,－,3,4,－,－,－,2,－,154,－,1
本郷,9,8,4,－,1,3,－,－,－,－,1,498,90696,1,7
豊島,31,20,－,1,－,19,2,－,－,－,9,41,5436,－,1
池袋,29,14,1,1,1,11,2,－,－,－,13,487,67076,1,3
王子,21,12,1,－,－,11,1,－,－,－,8,250,46267,－,－
赤羽,25,16,－,－,1,15,2,－,－,－,7,20,6342,1,－
滝野川,12,6,－,－,1,5,1,－,－,－,5,7,2724,1,2
板橋,20,6,1,－,1,4,2,－,－,－,12,291,24150,－,－
志村,61,24,1,－,－,23,18,－,－,－,19,98,12929,－,4
練馬,40,26,7,3,－,16,3,－,－,－,11,1208,172473,－,5
光が丘,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－
石神井,26,10,－,1,－,9,5,－,－,－,11,30,7745,1,2
上野,25,15,3,1,1,10,3,－,－,－,7,1150,404642,－,2
浅草,2,－,－,－,－,－,1,－,－,－,1,－,209,－,－
日本堤,29,19,－,－,－,19,1,－,－,－,9,－,13356,－,3
荒川,30,17,3,2,－,12,2,－,－,－,11,547,135552,1,10
尾久,18,9,1,－,2,6,－,－,－,－,9,93,9713,3,1
千住,22,12,－,1,1,10,4,－,－,－,6,69,12309,－,2
足立,66,34,2,3,2,27,7,－,－,－,25,583,32994,1,4
西新井,64,45,9,1,3,32,7,－,－,－,12,1350,168552,4,11
本所,9,7,－,1,1,5,1,－,－,－,1,64,30079,1,1
向島,12,7,－,－,2,5,3,－,－,－,2,46,18750,－,2
深川,12,9,－,－,－,9,2,－,－,－,1,－,1438,－,1
