消防署,消火設備／屋内消火栓設備／対象物数,消火設備／屋内消火栓設備／設備数,消火設備／スプリンクラー設備／対象物数,消火設備／スプリンクラー設備／設備数,消火設備／水噴霧消火設備／対象物数,消火設備／水噴霧消火設備／設備数,消火設備／泡消火設備／対象物数,消火設備／泡消火設備／設備数,消火設備／二酸化炭素消火設備／対象物数,消火設備／二酸化炭素消火設備／設備数,消火設備／ハロゲン化物消火設備／対象物数,消火設備／ハロゲン化物消火設備／設備数,消火設備／粉末消火設備／対象物数,消火設備／粉末消火設備／設備数,消火設備／屋外消火栓設備／対象物数,消火設備／屋外消火栓設備／設備数,消火設備／動力消防ポンプ設備／対象物数,消火設備／動力消防ポンプ設備／設備数
計,24663,24260,2559,2546,129,124,1355,1321,2677,2920,3430,3930,1075,1165,639,581,582,581
特別区,19475,19453,2070,2070,92,90,1217,1185,2520,2762,2991,3486,838,908,419,397,379,388
丸の内,195,142,123,121,5,3,78,59,60,63,84,75,6,8,－,－,－,－
麹町,639,639,102,104,2,2,65,65,208,208,211,211,27,27,6,6,－,－
神田,801,801,75,80,1,1,27,29,161,161,126,131,16,16,－,－,－,－
京橋,823,823,165,165,－,－,63,63,156,156,91,91,19,19,－,－,2,2
日本橋,549,550,64,64,10,10,53,53,257,259,172,172,21,21,1,1,－,－
臨港,169,169,18,18,－,－,9,9,42,42,20,20,5,5,31,31,7,7
芝,904,906,128,118,3,3,64,75,245,329,210,371,49,52,3,3,1,1
麻布,332,332,49,49,－,－,54,54,71,71,76,76,16,16,－,－,－,－
赤坂,408,411,86,87,6,6,53,54,82,82,96,96,20,20,2,2,－,－
高輪,332,340,40,40,－,－,25,33,43,53,47,53,14,16,7,7,6,6
品川,489,504,50,50,－,－,38,38,58,58,99,98,28,28,15,15,4,4
大井,246,255,14,15,1,1,16,16,12,12,88,88,21,21,35,17,1,1
荏原,131,135,6,6,－,－,3,3,8,8,17,17,10,10,1,1,3,3
大森,499,499,21,21,8,8,18,18,34,34,48,48,34,34,35,35,5,5
東調布,235,235,14,14,－,－,12,12,7,7,30,30,15,15,1,1,11,11
蒲田,323,323,9,9,－,－,29,29,34,34,26,26,28,28,23,23,7,7
矢口,239,240,13,13,－,－,13,13,22,22,16,16,5,5,10,10,2,2
目黒,506,506,31,31,1,1,20,20,32,32,37,37,10,10,－,－,3,3
世田谷,551,551,40,40,－,－,15,15,29,36,54,55,11,11,2,2,3,3
玉川,295,299,11,11,－,－,8,8,7,12,28,28,10,10,－,－,2,2
成城,253,253,17,17,－,－,9,9,12,12,30,30,7,7,4,4,－,－
渋谷,1007,1007,139,139,14,14,61,61,154,154,161,161,37,37,1,1,2,2
四谷,337,337,70,70,－,－,19,19,56,56,77,77,12,12,2,2,－,－
牛込,353,353,40,40,－,－,22,22,24,24,51,51,8,8,－,－,－,－
新宿,756,779,145,151,－,－,69,77,102,204,167,489,38,46,2,2,1,1
中野,189,188,11,11,－,－,10,10,15,15,24,24,14,14,3,1,1,1
野方,97,97,7,7,－,－,4,4,3,3,10,10,1,2,1,1,－,－
杉並,325,325,21,21,1,1,12,12,15,15,23,23,10,10,2,2,1,1
荻窪,193,184,13,13,－,－,8,12,11,18,21,22,4,7,2,2,5,5
小石川,393,391,28,28,5,5,18,19,60,62,69,74,12,12,4,4,2,2
