区分,計・件数,計・時間,ちどり・件数,ちどり・時間,ひばり・件数,ひばり・時間,かもめ・件数,かもめ・時間,ゆりかもめ・件数,ゆりかもめ・時間,つばめ・件数,つばめ・時間,はくちょう・件数,はくちょう・時間,こうのとり・件数,こうのとり・時間,おおたか・件数,おおたか・時間,,
平成27年,"1,391",1875:21,258,275:43,168,282:21,240,324:04,171,246:36,181,232:12,90,144:15,101,149:38,182,220:32,,
平成28年,"1,515",1992:40,219,281:55,194,300:31,236,270:09,103,150:13,253,290:28,143,207:11,105,164:59,262,327:14,,
平成29年,"1,767",2170:27,218,260:24,147,196:44,273,302:04,190,263:57,278,289:06,240,323:39,185,257:27,236,277:06,,
平成30年,"1,755",2163:26,131,168:02,130,175:51,225,266:03,205,256:59,307,306:12,241,352:53,231,325:21,285,312:05,,
令和元年,1607,2023:43,256,294:17,213,306:09,257,289:10,180,253:56,92,85:29,136,195:41,225,302:02,248,296:59,,
火災,50,90:46,8,12:47,0,10:05,14,27:03,0,10:15,13,11:10,0,0:00,0,3:30,15,15:56,,
救急,418,418:10,50,27:06,55,84:40,66,28:03,56,84:44,22,7:45,38,56:39,85,112:36,46,16:37,,
救難,33,24:16,9,4:35,3,3:00,7,4:07,4,6:46,1,0:30,1,0:22,4,2:04,4,2:52,,
非常時災害,13,22:27,2,3:09,1,0:18,2,3:56,0,0:00,0,0:00,3,4:49,1,2:41,4,7:34,,
演習,22,27:23,5,4:08,0,0:00,10,10:40,0,0:00,2,1:25,1,3:10,2,4:25,2,3:35,,
調査,32,32:45,0,0:00,5,4:10,2,2:20,8,6:40,0,0:00,7,10:55,8,5:55,2,2:45,,
警戒,26,39:49,4,3:37,2,5:00,4,6:05,0,0:00,0,0:00,0,0:00,6,10:07,10,15:00,,
広報,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,,
航空写真,17,19:52,6,7:00,0,0:00,3,3:21,0,0:00,1,0:46,0,0:00,0,0:00,7,8:45,,
輸送,177,114:40,27,15:05,22,16:30,29,14:50,22,11:29,11,9:15,15,10:31,30,19:05,21,17:55,,
検査,12,20:33,3,5:38,2,2:35,1,1:40,2,4:00,0,0:00,1,1:55,2,3:40,1,1:05,,
試験,65,56:38,9,6:05,9,9:05,13,10:58,7,7:20,4,1:05,6,6:05,8,5:20,9,10:40,,
実験,2,2:45,2,2:45,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,0,0:00,,
特救隊訓練,24,31:53,5,6:30,6,7:23,0,0:00,3,3:40,0,0:00,4,6:00,5,7:50,1,0:30,,
自隊訓練,563,822:04,89,132:49,101,148:08,71,100:16,68,102:22,18,23:56,54,79:10,70,107:09,92,128:14,,
養成訓練,129,213:23,37,59:10,3,4:25,33,65:56,7,8:15,20,28:12,2,4:10,0,0:00,27,43:15,,
行事教養,21,75:49,0,3:53,4,10:50,2,7:00,3,8:25,0,1:25,2,7:15,4,17:40,6,19:21,,
行政,3,10:30,0,0:00,0,0:00,0,2:55,0,0:00,0,0:00,2,4:40,0,0:00,1,2:55,,
