区分,事故件数／計,事故件数／漏洩及び流出等／小計,事故件数／漏洩及び流出等／アルコール類,事故件数／漏洩及び流出等／第一石油類,事故件数／漏洩及び流出等／第二石油類,事故件数／漏洩及び流出等／第三石油類,事故件数／漏洩及び流出等／第四石油類,事故件数／施設破損等,死傷者／死者,死傷者／傷者
計,31,24,－,11,8,3,2,7,－,2
屋内タンク貯蔵所,2,2,－,－,1,1,－,－,－,－
地下タンク貯蔵所,1,1,－,－,1,－,－,－,－,－
移動タンク貯蔵所,2,2,－,1,－,1,－,－,－,－
給油取扱所／営業用,22,16,－,10,4,－,2,6,－,2
給油取扱所／自家用,2,1,－,－,1,－,－,1,－,－
一般取扱所／ローリー充填,1,1,－,－,－,1,－,－,－,－
危険物運搬,1,1,－,－,1,－,－,－,－,－
