消防署,出場件数・計,出場件数・危険排除・小計,出場件数・危険排除・電気,出場件数・危険排除・ガス,出場件数・危険排除・危険物,出場件数・危険排除・毒物劇物,出場件数・危険排除・ＲＩ,出場件数・危険排除・火気取扱,出場件数・危険排除・異臭等,出場件数・応急措置・小計,出場件数・応急措置・洗浄,出場件数・応急措置・救援,出場件数・応急措置・排水,出場件数・応急措置・照明,出場件数・応急措置・除去,出場件数・警戒,出場件数・その他・小計,出場件数・その他・哺乳類,出場件数・その他・昆虫類,出場件数・その他・その他の動物,出場件数・その他・左記以外,出場車両・計,出場車両・ポンプ車,出場車両・化学車,出場車両・救助車,出場車両・はしご車,出場車両・空中作業車,出場車両・救急車,出場車両・救援車,出場車両・照明車,出場車両・消防艇,出場車両・ヘリコプター,出場車両・指揮隊車,出場車両・査察広報車,出場車両・その他,出場人員・計,出場人員・従事・当番,出場人員・従事・非番,出場人員・不従事・当番,出場人員・不従事・非番
平成27年,"5,844","3,611",210,790,"2,139",109,0,191,172,142,1,1,41,0,99,139,"1,952",569,457,15,911,"14,855","6,920",900,506,158,4,"1,469",0,5,19,0,"4,254",46,574,"65,951","43,795",507,"21,464",185
平成28年,"5,773","3,549",259,691,"2,134",147,1,172,145,194,0,1,40,0,153,203,"1,827",482,429,23,893,"14,562","6,882",894,431,157,5,"1,374",0,2,3,3,"4,247",55,509,"64,425","43,041",537,"20,643",204
平成29年,"5,658","3,501",243,713,"2,102",119,1,223,100,186,0,2,60,0,124,241,"1,730",469,405,87,769,"13,921","6,548",900,362,145,3,"1,299",0,2,8,1,"4,238",40,375,"61,663","41,255",498,"19,690",220
平成30年,"5,665","3,336",288,726,"1,885",132,0,183,122,297,0,2,47,0,248,228,"1,804",403,389,91,921,"14,321","6,718",896,373,179,6,"1,268",0,0,13,2,"4,358",36,472,"63,084","42,334",515,"20,047",188
令和元年,"5,767","3,521",279,787,"2,009",146,0,183,117,348,2,0,57,1,288,183,"1,715",375,319,98,923,"14,723","6,756",913,406,164,6,"1,343",0,0,17,3,"4,571",68,476,"64,570","43,623",616,"20,103",228
特別区,"4,174","2,539",235,619,"1,364",123,0,108,90,289,1,0,44,1,243,141,1205,290,108,58,749,"10,871","4,921",655,294,149,6,932,0,0,17,1,"3,463",55,378,"47,932","32,121",471,"15,162",178
丸の内,18,17,0,1,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,61,26,1,3,2,0,11,0,0,0,0,18,0,0,270,179,1,89,1
麹町,31,21,3,4,14,0,0,0,0,2,0,0,1,0,1,0,8,0,0,0,8,105,50,1,3,3,2,8,0,0,0,0,32,1,5,459,269,13,177,0
神田,43,30,0,4,23,2,0,1,0,3,0,0,0,0,3,0,10,2,1,0,7,118,59,0,4,6,0,10,0,0,0,0,37,0,2,548,415,2,131,0
京橋,41,26,4,11,9,1,0,0,1,1,0,0,1,0,0,1,13,0,2,1,10,149,52,17,3,5,0,21,0,0,0,0,38,3,10,648,449,18,178,3
