消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十八),(十九),(二十),その他,少危
計,14423,－,1,－,－,5,472,340,307,3033,49,51,17,13,8,－,－,105,204,790,－,35,－,208,543,2239,5571,－,9,－,65,358
特別区,13258,－,－,－,－,5,425,338,54,2929,35,22,13,11,3,－,－,78,188,710,－,35,－,178,433,2161,5388,－,9,－,61,182
丸の内,27,－,－,－,－,－,4,4,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,3,12,1,－,－,－,－,1,－
麹町,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－
神田,293,－,－,－,－,－,19,15,－,－,－,－,－,－,－,－,－,－,－,24,－,－,－,6,75,98,56,－,－,－,－,－
京橋,24,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,1,6,6,6,－,－,－,－,－
日本橋,59,－,－,－,－,－,8,11,－,3,－,－,－,－,－,－,－,－,－,－,－,1,－,3,15,17,－,－,－,－,1,－
臨港,51,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,34,10,3,－,－,－,2,－
芝,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,1,－
麻布,13,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,1,－,－,－,4,5
赤坂,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,2
高輪,56,－,－,－,－,－,4,－,－,8,－,1,1,2,－,－,－,－,1,4,－,－,－,3,3,9,18,－,－,－,2,－
品川,97,－,－,－,－,－,1,4,－,31,1,－,－,1,－,－,－,4,22,6,－,－,－,－,3,3,21,－,－,－,－,－
大井,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,7,－,－,－,－,－,－,1,2,－,－,－,－,－
荏原,464,－,－,－,－,－,21,83,－,40,－,－,－,－,－,－,－,15,19,7,－,－,－,1,2,145,122,－,9,－,－,－
大森,60,－,－,－,－,－,11,5,3,16,1,－,－,－,－,－,－,3,2,2,－,－,－,2,10,－,5,－,－,－,－,－
東調布,93,－,－,－,－,－,－,－,31,4,－,－,－,－,－,－,－,2,－,6,－,－,－,1,3,1,4,－,－,－,－,41
蒲田,198,－,－,－,－,－,1,1,－,28,3,－,－,－,－,－,－,7,－,36,－,2,－,1,1,37,80,－,－,－,1,－
矢口,45,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,－,4,－,2,－,－,－,3,1,6,26,－,－,－,－,－
目黒,99,－,－,－,－,－,10,8,－,21,－,6,－,1,－,－,－,3,4,3,－,2,－,10,6,12,13,－,－,－,－,－
世田谷,1379,－,－,－,－,－,6,2,－,617,2,－,－,－,－,－,－,14,5,16,－,－,－,3,30,139,544,－,－,－,－,1
玉川,139,－,－,－,－,－,－,2,－,39,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,6,78,－,－,－,4,10
成城,37,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,－,5,10,4,－,－,－,2,3,1,7,－,－,－,3,－
渋谷,18,－,－,－,－,1,2,－,－,2,－,－,－,－,－,－,－,5,－,－,－,－,－,－,－,1,3,－,－,－,1,3
四谷,32,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,21,7,－,－,－,－,4
牛込,8,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,2,－,－,1,－,1,1,1,－,－,－,－,－,－
新宿,97,－,－,－,－,－,59,21,－,8,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,3,－,－,－,1,4
中野,71,－,－,－,－,－,60,－,－,4,－,－,－,－,－,－,－,－,－,1,－,－,－,－,1,－,2,－,－,－,－,3
野方,209,－,－,－,－,－,－,－,－,201,－,1,1,－,－,－,－,－,3,－,－,－,－,－,－,2,1,－,－,－,－,－
杉並,1459,－,－,－,－,－,－,－,－,252,－,－,－,－,－,－,－,1,－,－,－,－,－,－,1,2,1201,－,－,－,－,2
荻窪,19,－,－,－,－,－,－,1,－,1,－,－,－,5,－,－,－,1,1,－,－,－,－,－,3,1,6,－,－,－,－,－
小石川,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2
本郷,91,－,－,－,－,－,－,－,－,14,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,30,24,－,－,－,－,21
豊島,171,－,－,－,－,－,－,－,－,116,－,－,－,－,－,－,－,－,5,－,－,－,－,－,－,50,－,－,－,－,－,－
池袋,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,1,2,－,－,－,－,1
王子,10,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－,4,－,－,－,1,2,－,1,－,－,－,－,－
赤羽,465,－,－,－,－,－,3,1,2,145,－,－,－,－,－,－,－,－,1,15,－,3,－,8,18,87,180,－,－,－,－,2
滝野川,73,－,－,－,－,－,－,－,－,18,－,4,－,－,－,－,－,－,1,3,－,－,－,－,4,3,40,－,－,－,－,－
板橋,15,－,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,1,5,－,－,1,－,1,－,2,2,－,－,－,1,－
志村,238,－,－,－,－,－,1,4,－,119,－,－,－,－,－,－,－,－,12,29,－,－,－,22,28,－,23,－,－,－,－,－
練馬,10,－,－,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－,3,2,2,－,－,－,1,－
光が丘,43,－,－,－,－,－,－,－,－,18,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,25,－,－,－,－,－
石神井,626,－,－,－,－,－,－,1,－,205,2,6,4,－,1,－,－,－,14,5,－,1,－,6,8,12,314,－,－,－,－,47
上野,377,－,－,－,－,－,8,12,－,295,－,－,－,－,1,－,－,－,3,12,－,5,－,3,－,16,22,－,－,－,－,－
浅草,155,－,－,－,－,－,16,42,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,2,94,－,－,－,－,－,－
日本堤,1999,－,－,－,－,3,82,5,13,2,6,－,－,－,－,－,－,－,－,54,－,－,－,38,41,297,1458,－,－,－,－,－
