消防署,"計・水防件数",計・出場人員,"計・延べ時間（時間：分）",水防工法・水防件数,水防工法・出場人員,"水防工法・延べ時間
（時間：分）","救助・誘導・水防件数",救助・誘導・出場人員,"救助・誘導・延べ時間（時間：分）","排水・水防件数",排水・出場人員,"排水・延べ時間（時間：分）","警戒・水防件数",警戒・出場人員,"警戒・延べ時間（時間：分）","その他・水防件数",その他・出場人員,"その他・延べ時間（時間：分）",使用車両等・計,使用車両等・車両,"使用車両等・ヘリコプター","使用車両等・救命ボート",使用資器材・土のう,使用資器材・その他,救助人員,誘導人員
本郷,3,16,2:31,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,3,16,2:31,3,7,0,0,24,0,0,0
豊島,14,96,14:15,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,14,96,14:15,17,19,0,0,0,0,0,0
池袋,11,66,14:50,0,0,0:00,0,0,0:00,1,5,0:10,0,0,0:00,10,61,14:40,11,14,0,0,0,0,0,0
王子,7,50,6:04,0,0,0:00,0,0,0:00,1,4,0:18,1,13,1:46,5,33,4:00,13,11,0,0,0,0,0,0
赤羽,5,45,5:04,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,5,45,5:04,19,9,0,0,0,0,0,0
滝野川,3,22,1:25,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,3,22,1:25,13,5,0,0,0,0,0,0
板橋,15,71,9:06,2,0,0:40,0,0,0:00,0,0,0:00,2,12,1:35,11,59,6:51,31,17,0,0,0,0,0,0
志村,15,125,9:07,0,0,0:35,1,52,0:57,2,8,1:21,0,0,0:00,12,65,6:14,43,34,0,0,0,0,1,0
練馬,6,29,5:06,1,6,0:00,0,0,0:00,1,6,0:35,1,2,0:40,3,15,3:51,28,5,0,0,12,0,0,0
光が丘,9,41,5:51,0,0,0:00,0,0,0:00,1,5,1:21,2,8,0:53,6,28,3:37,11,8,0,0,0,0,0,0
石神井,7,52,3:29,1,13,0:54,0,0,0:00,0,0,0:00,0,0,0:00,6,39,2:35,41,13,0,0,0,0,0,0
上野,13,116,17:02,0,0,0:00,0,0,0:00,0,0,0:00,1,18,2:00,12,98,15:02,15,18,0,0,0,0,0,0
浅草,18,200,7:01,0,0,0:00,0,0,0:00,0,0,0:00,4,51,1:37,14,149,5:24,11,24,0,0,0,0,0,0
日本堤,16,141,14:26,0,0,0:00,0,0,0:00,0,0,0:00,3,29,3:26,13,112,11:00,13,22,0,0,0,0,0,0
荒川,15,73,13:51,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,15,73,13:51,29,17,0,0,0,0,0,0
尾久,24,204,18:30,0,0,0:00,0,0,0:00,0,0,0:00,5,50,3:39,19,154,14:51,18,32,0,0,0,0,0,0
千住,15,84,10:28,0,0,0:00,0,0,0:00,0,0,0:00,1,4,0:20,14,80,10:08,16,21,0,0,0,0,0,0
足立,28,157,20:09,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,28,157,20:09,37,31,0,0,0,0,0,0
西新井,22,143,18:56,0,0,0:00,0,0,0:00,0,0,0:00,2,14,1:14,20,129,17:42,19,25,0,0,0,0,0,0
本所,21,141,14:46,0,0,0:00,0,0,0:00,0,0,0:00,1,7,1:18,20,134,13:28,7,30,0,0,0,0,0,0
向島,25,146,14:37,0,0,0:00,0,0,0:00,0,0,0:00,2,4,1:15,23,142,13:22,16,31,0,0,0,0,0,0
深川,29,199,21:18,0,0,0:00,0,0,0:00,0,0,0:00,3,28,4:07,26,171,17:11,9,31,0,0,0,0,0,0
城東,26,165,17:20,1,8,0:40,0,0,0:00,1,8,0:40,0,0,0:00,24,149,16:00,14,28,0,0,15,0,0,0
本田,29,220,19:59,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,29,220,19:59,32,44,0,0,0,0,0,0
金町,25,174,19:20,0,0,0:00,2,51,1:16,0,0,0:00,2,16,2:05,21,107,15:59,39,35,0,0,0,0,0,0
江戸川,45,226,29:53,0,0,0:00,0,0,0:00,1,,0:50,5,21,3:33,39,205,25:30,15,44,0,0,0,0,0,0
葛西,32,147,193:11,0,0,0:00,1,9,1:16,1,8,1:39,6,13,3:58,24,117,186:18,8,31,0,0,0,0,0,14
小岩,29,193,23:09,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,29,193,23:09,13,34,0,0,0,0,0,0
受託地区,300,1411,255:58,70,168,51:13,14,193,23:46,54,239,49:04,18,65,17:47,144,746,114:08,465,316,1,1,561,56,12,103
立川,6,50,15:26,0,0,0:00,0,0,0:00,1,7,2:02,2,18,6:24,3,25,7:00,19,5,0,0,0,0,0,0
武蔵野,7,43,5:46,0,0,0:00,0,0,0:00,1,9,1:32,0,0,0:00,6,34,4:14,21,9,0,0,0,0,0,0
三鷹,15,84,12:01,1,10,0:04,0,0,0:00,3,25,5:51,0,0,0:00,11,49,6:06,40,16,0,0,0,0,0,0
府中,8,41,9:26,2,12,0:38,0,0,0:00,1,9,0:28,1,2,1:13,4,18,7:07,40,9,0,0,0,16,0,0
昭島,3,22,5:50,1,6,1:53,0,0,0:00,0,0,0:00,0,0,0:00,2,16,3:57,13,4,0,0,40,0,0,0
調布,8,50,7:31,0,0,0:00,1,13,2:34,0,0,0:00,0,0,0:00,7,37,4:57,31,12,0,1,0,0,4,0
小金井,9,50,6:48,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,9,50,6:48,18,9,0,0,0,0,0,0
小平,3,17,1:59,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,3,17,1:59,10,5,0,0,0,0,0,0
東村山,7,40,7:46,1,5,0:53,0,0,0:00,2,10,3:06,3,17,2:47,1,8,1:00,43,5,0,0,40,0,0,0
国分寺,4,21,1:41,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,4,21,1:41,25,7,0,0,0,0,0,0
狛江,10,63,7:51,0,0,0:00,3,13,2:27,1,5,1:13,0,0,0:00,6,45,4:11,11,15,0,0,0,0,3,1
北多摩西部,7,29,6:11,0,0,0:00,0,0,0:00,4,10,1:21,1,5,0:32,2,14,4:18,15,6,0,0,0,0,0,0
清瀬,1,7,1:45,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,1,7,1:45,8,7,0,0,0,0,0,0
東久留米,4,24,3:00,0,0,0:00,0,0,0:00,1,0,1:05,0,0,0:00,3,24,1:55,16,7,0,0,0,0,0,0
西東京,5,41,4:42,0,0,0:00,0,0,0:00,2,13,1:47,0,0,0:00,3,28,2:55,21,8,0,0,20,0,0,0
八王子,55,238,40:21,21,55,17:01,2,30,1:58,16,61,13:26,1,7,0:02,15,85,7:54,45,51,0,0,100,0,3,4
青梅,33,139,22:28,16,35,8:47,4,53,3:43,10,45,8:26,1,,0:15,2,6,1:17,6,29,0,0,102,0,0,94
町田,50,188,32:48,6,14,5:15,0,0,0:00,2,0,0:28,9,16,6:34,33,158,20:31,36,33,0,0,20,0,0,0
日野,11,156,20:02,1,10,0:10,1,84,11:41,0,0,0:00,0,0,0:00,9,62,8:11,17,37,1,0,20,0,2,0
福生,1,13,1:13,0,0,0:00,0,0,0:00,0,0,0:00,0,0,0:00,1,13,1:13,8,3,0,0,0,0,0,0
多摩,8,37,5:03,1,0,0:32,0,0,0:00,2,20,1:49,0,0,0:00,5,17,2:42,13,11,0,0,0,0,0,0
秋川,37,49,28:55,15,12,10:10,1,0,0:18,7,25,6:00,0,0,0:00,14,12,12:27,3,26,0,0,120,40,0,1
奥多摩,8,9,7:25,5,9,5:50,2,0,1:05,1,0,0:30,0,0,0:00,0,0,0:00,6,2,0,0,99,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,
　,,,,,,,,,,,,,,,,,,,,,,,,,,
