区分,事故件数／計,事故件数／漏洩及び流出等／小計,事故件数／漏洩及び流出等／アルコール類,事故件数／漏洩及び流出等／第一石油類,事故件数／漏洩及び流出等／第二石油類,事故件数／漏洩及び流出等／第三石油類,事故件数／漏洩及び流出等／第四石油類,事故件数／施設破損等,死傷者／死者,死傷者／傷者
計,43,29,－,11,14,4,－,14,1,14
屋外タンク貯蔵所,1,1,－,－,－,1,－,－,－,－
地下タンク貯蔵所,5,5,－,－,3,2,－,－,－,－
移動タンク貯蔵所,1,1,－,－,－,1,－,－,－,－
給油取扱所／営業用,21,9,－,8,1,－,－,12,－,9
給油取扱所／自家用,2,2,－,2,－,－,－,－,－,－
一般取扱所／小口詰替専用,1,1,－,－,1,－,－,－,－,－
一般取扱所／その他,2,－,－,－,－,－,－,2,1,3
危険物運搬,10,10,－,1,9,－,－,－,－,2
