消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積（㎡）",損害額（円）,死者,負傷者
平成27年,1027,382,8,8,58,308,1,54,-,-,590,"2,036","556,067,386",2,48
平成28年,881,384,14,14,47,309,-,39,2,-,456,"3,501","328,667,947",24,73
平成29年,896,351,7,7,49,288,3,31,-,-,511,"1,608","275,259,075",14,57
平成30年,705,276,7,3,46,220,-,17,-,-,412,"1,178","171,864,302",14,60
令和元年,641,255,14,6,39,196,1,12,0,0,373,1937,"525,966,877",26,67
特別区,432,179,7,4,29,139,0,9,0,0,244,980,"389,680,294",16,48
丸の内,2,1,0,0,0,1,0,0,0,0,1,0,10,0,0
麹町,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
神田,6,1,0,0,0,1,0,0,0,0,5,0,4200,0,1
京橋,4,1,0,0,0,1,0,0,0,0,3,0,"4,400",0,0
日本橋,3,2,0,0,0,2,0,0,0,0,1,0,470385,0,0
臨港,5,1,0,1,0,0,0,0,0,0,4,15,"9,091,100",0,0
芝,2,2,0,0,1,1,0,0,0,0,0,0,"1,835,000",0,0
麻布,2,1,0,0,0,1,0,0,0,0,1,0,"2,220",0,0
赤坂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高輪,4,3,0,0,0,3,0,0,0,0,1,0,5950,0,0
品川,2,2,0,0,1,1,0,0,0,0,0,1,262500,1,0
大井,3,2,0,0,1,1,0,0,0,0,1,0,47815,0,0
荏原,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
大森,5,3,0,0,0,3,0,0,0,0,2,0,"90,840",0,0
田園調布,3,2,0,0,0,2,0,0,0,0,1,0,"33,200",0,0
蒲田,9,6,0,0,1,5,0,0,0,0,3,4,"431,124",0,2
矢口,4,0,0,0,0,0,0,0,0,0,4,0,"263,200",0,0
目黒,9,3,0,0,0,3,0,1,0,0,5,0,"42,275",0,1
世田谷,7,5,0,0,2,3,0,0,0,0,2,9,"1,532,110",0,1
玉川,13,9,1,0,2,6,0,0,0,0,4,16,15953200,0,0
成城,10,7,0,0,0,7,0,0,0,0,3,0,"49,880",1,0
渋谷,11,6,0,0,0,6,0,0,0,0,5,0,"1,081,800",0,2
四谷,4,2,0,0,1,1,0,0,0,0,2,0,"8,001,700",0,1
牛込,1,1,0,0,0,1,0,0,0,0,0,0,"16,000",0,0
新宿,21,7,0,0,3,4,0,0,0,0,14,13,"34,176,400",0,5
中野,6,3,0,1,0,2,0,0,0,0,3,20,"6,752,510",0,0
野方,8,3,0,0,0,3,0,0,0,0,5,0,"7,200",0,0
杉並,11,5,0,1,0,4,0,2,0,0,4,132,"31,879,500",2,2
荻窪,2,1,0,0,1,0,0,0,0,0,1,40,"11,268,100",1,2
小石川,10,3,0,0,0,3,0,0,0,0,7,0,"75,550",0,0
本郷,2,1,0,0,1,0,0,0,0,0,1,15,"10,830,900",1,0
豊島,5,2,0,0,0,2,0,0,0,0,3,0,"83,700",0,0
池袋,2,2,1,0,0,1,0,0,0,0,0,128,"124,277,900",0,1
王子,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
赤羽,4,0,0,0,0,0,0,0,0,0,4,0,"1,665",0,1
滝野川,6,3,0,0,0,3,0,0,0,0,3,0,800,0,0
板橋,10,2,0,0,1,1,0,0,0,0,8,27,"2,163,800",0,1
志村,27,9,1,0,2,6,0,3,0,0,15,161,"32,160,793",2,3
練馬,4,2,1,0,1,0,0,0,0,0,2,52,"12,444,016",2,4
光が丘,7,2,0,0,0,2,0,0,0,0,5,0,"94,700",0,0
石神井,14,7,1,0,3,3,0,1,0,0,6,131,"19,250,900",4,5
上野,4,1,0,0,0,1,0,0,0,0,3,0,"3,000",0,0
浅草,3,2,0,0,1,1,0,0,0,0,1,0,"1,412,480",0,0
日本堤,2,2,0,0,0,2,0,0,0,0,0,0,1000,0,0
荒川,5,1,0,0,1,0,0,1,0,0,3,33,"15,312,329",0,0
尾久,3,2,0,0,1,1,0,0,0,0,1,42,"10,777,200",0,2
千住,9,2,0,0,0,2,0,0,0,0,7,0,5300,0,2
足立,23,7,0,0,0,7,0,0,0,0,16,0,"25,120",0,2
西新井,17,5,0,0,0,5,0,1,0,0,11,0,"49,850",0,1
本所,5,1,0,0,0,1,0,0,0,0,4,0,"6,000",0,0
向島,7,2,0,0,0,2,0,0,0,0,5,0,"34,800",0,0
深川,15,7,0,0,0,7,0,0,0,0,8,0,"189,400",0,1
城東,19,5,0,0,1,4,0,0,0,0,14,0,"105,040",0,1
本田,13,3,0,0,3,0,0,0,0,0,10,5,"101,280",1,2
金町,16,5,1,0,1,3,0,0,0,0,11,30,"5,975,300",0,3
江戸川,12,4,0,0,0,4,0,0,0,0,8,0,"6,300",1,0
葛西,18,9,1,1,0,7,0,0,0,0,9,106,"30,949,747",0,1
小岩,9,7,0,0,0,7,0,0,0,0,2,0,"38,805",0,1
受託地区,209,76,7,2,10,57,1,3,0,0,129,957,"136,286,583",10,19
立川,12,7,0,0,1,6,0,0,0,0,5,0,"82,000",0,0
武蔵野,11,5,0,0,1,4,0,0,0,0,6,0,"18,900",0,2
三鷹,5,2,0,0,1,1,0,0,0,0,3,0,"33,430",0,2
府中,11,4,1,0,0,3,0,0,0,0,7,56,"1,611,800",1,1
昭島,10,3,0,0,0,3,0,1,0,0,6,0,"225,100",0,0
調布,10,6,0,0,0,6,0,0,0,0,4,0,"4,460",0,0
小金井,3,3,0,1,0,2,0,0,0,0,0,27,"1,138,532",0,1
小平,5,1,0,0,0,1,0,0,0,0,4,0,"300,878",0,0
東村山,2,2,0,0,0,2,0,0,0,0,0,0,"47,300",0,1
国分寺,5,1,0,0,0,1,0,0,0,0,4,0,"6,585",0,0
狛江,3,2,1,0,0,1,0,0,0,0,1,54,1846756,0,0
北多摩西部,7,3,0,0,1,2,0,0,0,0,4,0,"4,924",0,0
清瀬,6,2,0,0,1,1,0,0,0,0,4,0,"266,500",0,0
東久留米,4,2,1,0,1,0,0,0,0,0,2,82,6379458,1,0
西東京,5,3,0,0,0,3,0,0,0,0,2,0,"1,810",0,3
八王子,37,10,1,0,1,8,1,2,0,0,24,255,"26,233,700",2,4
青梅,1,1,0,0,0,1,0,0,0,0,0,0,50,0,0
町田,37,10,2,1,3,4,0,0,0,0,27,373,"78,088,100",2,3
日野,12,2,1,0,0,1,0,0,0,0,10,110,"19,467,000",4,2
福生,7,2,0,0,0,2,0,0,0,0,5,0,36000,0,0
多摩,7,2,0,0,0,2,0,0,0,0,5,0,"492,400",0,0
秋川,9,3,0,0,0,3,0,0,0,0,6,0,900,0,0
奥多摩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
