消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十六の三),高層建築物
計,28328,5,2,15,8,1,353,90,23,978,12,3,－,2,－,14,－,－,－,－,－,－,－,9,26,709,22,21399,4645,10,2,3415
特別区,24792,5,2,14,8,－,334,85,23,934,10,2,－,2,－,14,－,－,－,－,－,－,－,9,26,689,13,18254,4357,9,2,3279
丸の内,107,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,41,－,60,1,1,1,69
麹町,475,1,1,－,－,－,1,－,4,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,39,－,291,124,－,－,97
神田,1450,－,－,－,－,－,1,10,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,80,－,1129,224,1,－,96
京橋,1368,－,－,12,－,－,15,2,1,34,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,80,－,1051,171,1,1,177
日本橋,627,－,－,－,1,－,3,18,－,8,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,77,－,422,98,－,－,130
臨港,87,－,－,－,－,－,1,－,1,29,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,6,－,33,17,－,－,36
芝,974,－,－,－,1,－,80,4,3,6,6,－,－,－,－,－,－,－,－,－,－,－,－,－,5,72,－,655,141,1,－,291
麻布,791,－,－,－,－,－,23,－,－,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,16,－,655,92,－,－,61
赤坂,755,－,－,1,－,－,16,－,－,6,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,24,－,603,104,－,－,67
高輪,121,－,－,－,－,－,－,－,－,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,18,－,67,26,－,－,42
品川,448,－,－,－,－,－,1,－,1,24,－,－,－,－,－,－,－,－,－,－,－,－,－,2,2,19,1,280,118,－,－,105
大井,242,1,－,－,－,－,－,－,－,67,1,－,－,－,－,－,－,－,－,－,－,－,－,5,－,4,2,133,29,－,－,55
荏原,270,－,－,－,－,－,2,－,－,17,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,206,42,－,－,22
大森,338,－,－,－,－,－,－,－,－,16,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,1,－,242,78,－,－,33
東調布,222,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,192,29,－,－,17
蒲田,260,－,－,－,－,－,4,－,－,17,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7,－,182,50,－,－,43
矢口,229,－,－,－,2,－,5,－,－,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,187,26,－,－,11
目黒,521,－,－,－,－,－,5,2,－,22,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,396,96,－,－,49
世田谷,666,－,－,－,－,－,8,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,569,87,－,－,57
玉川,304,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,257,47,－,－,10
成城,256,－,－,－,－,－,－,－,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,235,14,－,－,7
渋谷,1405,1,－,－,－,－,26,7,2,7,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,16,4,1099,241,1,－,86
四谷,673,－,－,－,－,－,17,4,－,16,－,－,－,1,－,－,－,－,－,－,－,－,－,－,1,40,1,440,153,－,－,82
牛込,391,－,－,－,－,－,1,－,－,14,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,18,－,258,100,－,－,51
新宿,1380,－,－,－,1,－,17,5,4,15,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,41,－,1023,270,2,－,188
中野,411,－,－,－,－,－,2,1,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,11,8,－,297,88,－,－,18
野方,195,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,158,36,－,－,5
杉並,551,－,－,－,－,－,2,－,－,25,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,430,94,－,－,55
荻窪,384,－,－,－,－,－,2,－,－,7,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,306,67,－,－,13
小石川,260,－,－,－,－,－,－,－,－,23,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,8,－,136,92,－,－,65
本郷,445,－,－,－,－,－,49,－,－,19,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,15,－,238,124,－,－,68
豊島,1114,－,－,－,－,－,10,－,1,33,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,13,－,792,263,1,－,117
池袋,520,1,－,－,－,－,6,2,－,12,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,17,1,424,57,－,－,47
王子,283,－,－,－,1,－,3,3,－,13,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,198,65,－,－,34
赤羽,237,－,－,－,－,－,3,－,－,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,190,33,－,－,21
滝野川,170,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,120,50,－,－,16
板橋,368,－,－,－,－,－,1,－,－,16,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,271,80,－,－,30
志村,468,－,－,－,－,－,－,－,－,49,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,350,68,－,－,75
練馬,377,－,－,1,－,－,1,－,－,52,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,273,48,－,－,26
光が丘,127,－,－,－,－,－,－,－,－,42,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,77,8,－,－,64
石神井,231,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,2,－,208,21,－,－,1
上野,423,－,－,－,－,－,6,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,316,92,－,－,69
浅草,351,－,－,－,1,－,－,6,2,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7,－,219,107,－,－,50
日本堤,250,－,－,－,－,－,4,2,－,6,－,－,－,－,－,12,－,－,－,－,－,－,－,－,－,－,－,184,41,1,－,9
荒川,255,－,－,－,－,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,4,－,195,54,－,－,37
尾久,94,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,69,21,－,－,4
千住,146,－,－,－,－,－,3,3,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,121,18,－,－,30
足立,352,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,308,44,－,－,38
西新井,169,－,－,－,－,－,1,1,－,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,152,10,－,－,9
本所,527,－,1,－,－,－,5,1,－,5,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,383,131,－,－,63
向島,86,－,－,－,－,－,1,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,74,9,－,－,27
深川,344,1,－,－,1,－,－,－,－,62,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,4,－,173,102,－,－,96
城東,270,－,－,－,－,－,－,－,－,75,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3,－,168,24,－,－,135
