区分,計／件数,計／時間,ちどり／件数,ちどり／時間,ひばり／件数,ひばり／時間,かもめ／件数,かもめ／時間,ゆりかもめ／件数,ゆりかもめ／時間,みずたま／件数,みずたま／時間
計,1101,1562:15:00,197,295:50:00,305,355:55:00,253,359:00:00,206,292:00:00,140,259:30:00
火災,135,62:04:00,5,3:08,85,34:07:00,45,22:11,－,0:23,－,2:15
救急,151,227:58:00,44,73:55:00,16,25:25:00,41,59:30:00,50,69:08:00,－,－
救難,16,11:53,－,－,11,7:48,5,4:05,－,－,－,－
非常時災害,3,10:59,－,－,1,2:09,2,8:50,－,－,－,－
演習,40,63:42:00,11,19:10,7,11:32,11,14:10,7,12:00,4,6:50
調査,80,87:52:00,17,21:00,6,6:25,21,26:40:00,35,33:17:00,1,0:30
警戒,137,182:35:00,7,7:39,108,146:25:00,22,28:31:00,－,－,－,－
広報,11,13:05,3,2:45,3,2:35,3,4:40,1,0:50,1,2:15
航空写真,21,22:42,3,3:25,11,10:37,7,8:40,－,－,－,－
輸送,13,25:05:00,4,7:15,2,3:15,1,1:40,6,12:55,－,－
検査,13,35:10:00,2,3:30,5,15:20,3,9:45,2,4:45,1,1:50
試験,104,86:30:00,27,22:10,24,19:47,21,16:33,21,18:30,11,9:30
実験,3,4:05,－,－,1,0:35,1,1:05,1,2:25,－,－
特救訓練,16,38:30:00,5,12:00,－,－,10,20:45,1,2:10,－,3:35
自隊訓練,64,104:03:00,25,31:18:00,4,13:55,22,38:00:00,13,20:50,－,－
養成教育,227,421:30:00,30,47:15:00,15,35:50:00,29,73:10:00,31,46:40:00,122,218:35:00
行事教養,13,74:10:00,－,18:05,4,16:55,4,11:15,5,13:45,－,14:10
行政,54,90:22:00,14,23:15,2,3:15,5,9:30,33,54:22:00,－,－
