消防署,木造・防火造・準耐火造／計画件数,木造・防火造・準耐火造／棟数,木造・防火造・準耐火造／建築面積(m2),木造・防火造・準耐火造／延面積(m2),耐火造／計画件数,耐火造／棟数,耐火造／建築面積(m2),耐火造／延面積(m2),危険物等関係施設／計画件数,危険物等関係施設／棟数,放射性物質関係施設／計画件数,放射性物質関係施設／棟数,その他の対象物／計画件数
計,121,454,444641,599690,1617,2193,5034391,29039201,72,185,135,254,64
特別区,79,381,256478,357964,1198,1438,3636880,24439873,55,160,115,219,42
丸の内,－,－,－,－,41,49,185868,1898863,－,－,2,2,4
麹町,4,4,1734,2127,35,39,253632,2732646,－,－,－,－,2
神田,－,－,－,－,20,18,28797,354849,－,－,1,1,1
京橋,2,2,2452,3951,53,55,97998,899299,－,－,1,1,2
日本橋,－,－,－,－,23,23,60637,673153,－,－,－,－,2
臨港,－,－,－,－,32,35,87245,458500,－,－,－,－,2
芝,－,－,－,－,36,47,137547,1208483,－,－,－,－,－
麻布,－,－,－,－,16,25,26391,181844,－,－,2,3,－
赤坂,1,1,168,399,27,28,97417,1022327,－,－,1,3,1
高輪,－,－,－,－,25,25,101563,570419,－,－,2,2,－
品川,－,－,－,－,20,28,98424,734409,8,13,2,6,2
大井,4,5,1699,3653,16,19,42354,204200,2,2,－,－,－
荏原,3,9,1884,3587,11,13,15017,132347,1,2,－,－,－
大森,－,－,－,－,39,39,163387,699806,－,－,－,－,－
東調布,－,－,－,－,12,13,17767,88361,1,1,－,－,－
蒲田,1,1,798,1198,9,11,15259,54836,3,27,－,－,4
矢口,－,－,－,－,14,18,36894,230035,2,5,－,－,5
目黒,1,1,437,873,21,29,42316,190676,－,－,10,30,－
世田谷,1,1,309,320,19,19,47074,204106,－,－,1,1,2
玉川,1,10,2032,2616,10,18,38481,192398,－,－,1,4,2
成城,1,1,466,670,15,40,25926,67953,－,－,－,－,－
渋谷,1,1,2404,2404,58,67,179072,1232339,－,－,8,8,1
四谷,－,－,－,－,37,38,68728,465829,－,－,－,－,－
牛込,－,－,－,－,26,30,105791,553694,－,－,4,4,1
新宿,1,2,1000,1984,107,107,390978,3271771,－,－,11,15,－
中野,1,7,880,1714,17,18,39295,234968,－,－,1,1,－
野方,－,－,－,－,10,14,16319,70253,－,－,－,－,1
杉並,1,2,868,965,28,30,66852,248177,2,2,3,3,2
荻窪,－,－,－,－,15,16,27885,157634,－,－,－,－,－
小石川,2,7,2022,2419,24,48,121015,510957,－,－,3,3,－
本郷,10,10,6241,14113,18,21,58808,389953,－,－,43,107,－
豊島,1,1,380,380,29,25,106336,809852,2,2,3,6,－
池袋,1,1,2094,4394,23,25,65929,401847,－,－,1,1,－
王子,1,12,5275,6139,13,31,54395,115482,1,1,1,1,－
赤羽,－,－,－,－,21,24,41289,175698,1,1,3,3,－
滝野川,－,－,－,－,2,2,2246,8252,2,7,－,－,1
板橋,1,1,732,852,18,25,66317,276624,2,2,4,7,－
志村,－,－,－,－,18,19,50303,157108,5,5,1,1,－
練馬,1,1,395,916,8,8,8724,59494,－,－,－,－,－
光が丘,1,1,307,307,7,8,32999,164703,－,－,－,－,－
石神井,6,7,5405,8720,18,28,36046,119900,－,－,1,1,－
上野,5,5,1624,2806,18,21,34170,351376,－,－,－,－,1
浅草,－,－,－,－,8,8,3593,48723,－,－,1,1,－
日本堤,3,4,2710,3210,16,19,25937,180068,－,－,－,－,－
荒川,6,6,4884,7010,12,12,14033,65485,1,1,－,－,－
尾久,－,－,－,－,8,8,9298,39975,－,－,－,－,－
千住,3,105,41183,62155,13,13,23474,106338,7,49,2,2,－
足立,2,3,1517,3026,13,26,39460,136221,－,－,－,－,－
西新井,3,4,4976,7864,11,11,18469,64536,1,5,1,1,2
本所,－,－,－,－,21,26,102338,459454,－,－,－,－,－
向島,1,1,3284,16632,3,3,7774,19931,－,－,－,－,－
深川,－,－,－,－,29,33,70243,265853,11,31,1,1,2
城東,1,1,164,362,9,9,15892,104942,2,2,－,－,1
本田,－,－,－,－,13,17,17030,65834,1,2,－,－,－
金町,3,157,122662,149254,10,32,27715,63679,－,－,－,－,1
江戸川,4,4,1739,1855,17,18,46721,179380,－,－,－,－,－
小岩,1,3,31753,39089,6,7,21412,64033,－,－,－,－,－
受託地区,42,73,188163,241726,419,755,1397511,4599328,17,25,20,35,22
立川,4,5,3262,3816,28,28,56358,318104,－,－,－,－,1
国分寺,4,4,2850,3156,14,19,36461,180027,－,－,1,1,3
小平,3,3,12189,19277,23,51,165766,415173,－,－,3,10,1
武蔵野,－,－,－,－,20,27,70821,448805,－,－,－,－,－
保谷,－,－,－,－,4,4,8350,38115,5,5,1,8,－
三鷹,3,4,57758,64091,9,12,18478,102432,－,－,1,1,－
調布,2,4,10547,12436,13,13,37717,175545,1,2,2,2,－
府中,－,－,－,－,41,149,202930,493461,－,－,1,1,－
東村山,7,15,12781,19918,21,45,61458,163143,－,－,3,3,2
狛江,1,6,1725,3531,3,3,5981,31290,－,－,1,1,1
北多摩西部,5,8,74862,97492,9,13,18469,35280,1,1,－,－,－
清瀬,－,－,－,－,22,38,60255,158210,－,－,2,3,－
八王子,3,10,5819,9454,63,98,122206,470562,2,3,4,4,2
日野,2,2,1042,1882,22,41,147413,282566,－,－,－,－,－
町田,3,3,345,449,42,50,82950,412065,3,3,1,1,－
青梅,－,－,－,－,23,69,88057,165527,－,－,－,－,1
福生,－,－,－,－,14,29,43794,116174,4,10,－,－,1
秋川,2,2,1947,2392,20,26,49610,92973,－,－,－,－,5
奥多摩,2,4,2516,3199,3,3,4320,11170,1,1,－,－,5
多摩,1,3,520,633,25,37,116117,488706,－,－,－,－,－
