区分,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／その他,死傷者／死者,死傷者／傷者,焼損危険物等別火災件数／第一石油類,焼損危険物等別火災件数／第二石油類,焼損危険物等別火災件数／第三石油類,焼損危険物等別火災件数／第四石油類,焼損危険物等別火災件数／危険物以外
計,29,23,2,2,2,17,2,4,－,2,4,－,1,－,24
製造所,1,1,－,－,－,1,－,－,－,1,1,－,－,－,－
屋内貯蔵所,1,1,1,－,－,－,－,－,－,－,－,－,－,－,1
給油取扱所,8,2,－,－,－,2,2,4,－,－,2,－,－,－,6
一般取扱所,12,12,－,－,－,12,－,－,－,－,－,－,1,－,11
無許可施設,7,7,1,2,2,2,－,－,－,1,1,－,－,－,6
