消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五),(十六)／イ,(十六)／ロ,(十六の二),(十六の三),危険物製造所等／製造所,危険物製造所等／貯蔵所,危険物製造所等／取扱所
計,36763,473,170,25,222,137,1077,5502,2297,－,1386,916,572,－,－,286,－,－,－,－,－,－,－,－,－,15213,－,50,4,281,2606,5546
特別区,29989,429,108,22,186,122,822,4036,1965,－,976,503,453,－,－,278,－,－,－,－,－,－,－,－,－,13370,－,49,4,240,2056,4370
丸の内,169,－,－,－,4,－,10,－,4,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,138,－,－,4,－,3,4
麹町,614,4,2,－,1,2,8,－,47,－,11,－,－,－,－,－,－,－,－,－,－,－,－,－,－,536,－,－,－,－,2,1
神田,714,－,－,1,1,2,8,223,42,－,33,1,－,－,－,2,－,－,－,－,－,－,－,－,－,330,－,4,－,－,－,67
京橋,869,5,－,－,－,7,20,81,39,－,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,682,－,3,－,－,2,23
日本橋,529,－,－,－,－,8,11,185,15,－,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,261,－,1,－,－,－,45
臨港,144,－,－,－,1,－,3,12,8,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,65,－,－,－,－,46,7
芝,420,－,－,1,5,1,20,12,55,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,232,－,8,－,－,－,84
麻布,395,－,－,－,－,－,8,6,18,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,207,－,－,－,1,3,151
赤坂,516,4,－,2,－,－,25,18,45,－,6,2,4,－,－,－,－,－,－,－,－,－,－,－,－,348,－,－,－,－,3,59
高輪,347,－,－,－,1,3,14,－,60,－,6,4,10,－,－,－,－,－,－,－,－,－,－,－,－,192,－,－,－,－,21,36
品川,1054,5,－,2,3,7,14,3,67,－,29,4,15,－,－,2,－,－,－,－,－,－,－,－,－,554,－,－,－,10,177,162
大井,176,4,－,1,2,－,7,11,8,－,13,5,－,－,－,2,－,－,－,－,－,－,－,－,－,75,－,－,－,－,15,33
荏原,528,－,－,－,1,2,3,112,－,－,26,3,5,－,－,－,－,－,－,－,－,－,－,－,－,261,－,－,－,－,24,91
大森,571,6,－,－,4,－,13,75,16,－,39,10,7,－,－,－,－,－,－,－,－,－,－,－,－,312,－,－,－,2,16,71
東調布,385,－,－,－,1,2,23,40,11,－,14,10,12,－,－,－,－,－,－,－,－,－,－,－,－,134,－,－,－,－,12,126
蒲田,699,3,－,1,10,－,5,35,32,－,26,6,2,－,－,－,－,－,－,－,－,－,－,－,－,235,－,－,－,18,193,133
矢口,480,2,5,3,6,－,6,50,24,－,8,2,3,－,－,1,－,－,－,－,－,－,－,－,－,163,－,－,－,8,126,73
目黒,771,－,2,1,6,3,13,165,23,－,14,20,17,－,－,－,－,－,－,－,－,－,－,－,－,334,－,－,－,－,34,139
世田谷,701,4,12,－,3,1,10,76,6,－,28,25,26,－,－,－,－,－,－,－,－,－,－,－,－,356,－,－,－,2,31,121
玉川,298,12,2,－,1,－,6,44,6,－,9,11,14,－,－,－,－,－,－,－,－,－,－,－,－,112,－,－,－,18,21,42
成城,481,2,－,－,5,－,9,170,5,－,38,31,16,－,－,－,－,－,－,－,－,－,－,－,－,132,－,－,－,－,16,57
渋谷,930,41,13,－,1,－,23,69,106,－,30,5,－,－,－,－,－,－,－,－,－,－,－,－,－,561,－,3,－,－,5,73
四谷,922,121,－,－,4,2,16,140,60,－,9,2,－,－,－,1,－,－,－,－,－,－,－,－,－,541,－,－,－,－,10,16
牛込,303,－,－,－,1,1,11,20,19,－,17,7,4,－,－,－,－,－,－,－,－,－,－,－,－,173,－,－,－,－,9,41
新宿,995,4,2,－,16,6,52,30,187,－,17,10,－,－,－,9,－,－,－,－,－,－,－,－,－,633,－,6,－,－,6,17
中野,457,－,7,－,3,1,14,74,20,－,12,8,7,－,－,2,－,－,－,－,－,－,－,－,－,243,－,－,－,－,4,62
野方,186,－,－,－,－,1,3,18,6,－,11,14,20,－,－,－,－,－,－,－,－,－,－,－,－,70,－,－,－,－,4,39
杉並,599,1,2,－,6,－,6,131,22,－,18,－,13,－,－,－,－,－,－,－,－,－,－,－,－,283,－,－,－,－,10,107
