消防署,計,消火栓／小計,消火栓／公設／上水,消火栓／公設／工業水,消火栓／私設,防火水槽・貯水池等／小計,防火水槽・貯水池等／所管内／防火水槽／100m3以上,防火水槽・貯水池等／所管内／防火水槽／40m3以上,防火水槽・貯水池等／所管内／防火水槽／40m3未満,防火水槽・貯水池等／所管内／貯水池／100m3以上,防火水槽・貯水池等／所管内／貯水池／40m3以上,防火水槽・貯水池等／所管内／貯水池／40m3未満,防火水槽・貯水池等／所管内／受水槽／飲料用,防火水槽・貯水池等／所管内／受水槽／その他,防火水槽・貯水池等／所管外／防火水槽／100m3以上,防火水槽・貯水池等／所管外／防火水槽／40m3以上,防火水槽・貯水池等／所管外／防火水槽／40m3未満,防火水槽・貯水池等／所管外／貯水池／100m3以上,防火水槽・貯水池等／所管外／貯水池／40m3以上,防火水槽・貯水池等／所管外／貯水池／40m3未満,防火水槽・貯水池等／所管外／受水槽／飲料用,防火水槽・貯水池等／所管外／受水槽／その他,その他／小計,その他／プール,その他／河川みぞ,その他／池ほり,その他／海,その他／井戸,その他／その他
計,139644,112110,108150,1025,2935,22541,2263,9451,670,6,21,13,32,9,743,5434,426,177,257,105,2458,476,4993,2679,1730,329,129,31,95
特別区,99043,80662,78179,1025,1458,14969,2053,5227,84,1,13,－,2,3,600,4050,337,93,102,42,1954,408,3412,1728,1248,184,129,29,94
丸の内,488,366,197,－,169,105,7,15,1,－,－,－,－,1,6,12,－,1,1,－,25,36,17,－,6,11,－,－,－
麹町,670,500,438,－,62,129,16,45,1,－,－,－,－,－,11,19,3,－,4,2,14,14,41,12,13,16,－,－,－
神田,879,743,743,－,－,99,12,54,1,－,－,－,－,－,5,12,－,－,－,－,6,9,37,14,23,－,－,－,－
京橋,874,726,710,－,16,129,13,41,－,－,－,－,－,－,5,19,－,－,－,－,8,43,19,10,9,－,－,－,－
日本橋,874,747,691,－,56,86,8,58,－,－,－,－,－,－,8,8,1,－,－,－,2,1,41,6,28,－,－,－,7
臨港,455,304,301,－,3,91,4,15,－,－,－,－,－,－,5,28,3,－,1,－,30,5,60,8,30,1,21,－,－
芝,1058,811,799,－,12,186,12,65,－,－,－,－,－,－,8,54,3,1,－,－,15,28,61,15,36,5,5,－,－
麻布,725,573,571,－,2,128,13,55,－,－,－,－,－,－,4,29,－,1,－,－,13,13,24,13,9,2,－,－,－
赤坂,630,473,440,－,33,145,18,51,－,－,－,－,－,－,15,37,3,－,－,－,16,5,12,8,－,4,－,－,－
高輪,632,443,439,－,4,154,19,45,1,－,－,－,－,－,7,44,3,4,2,－,21,8,35,14,9,4,8,－,－
品川,1404,902,893,－,9,441,33,59,2,－,1,－,1,－,123,118,43,7,2,1,50,1,61,23,24,3,11,－,－
大井,998,677,677,－,－,290,22,48,－,－,1,－,－,－,43,73,35,－,2,1,53,12,31,17,1,2,11,－,－
荏原,1170,855,850,－,5,289,36,67,－,－,－,－,－,－,24,81,61,－,－,－,20,－,26,24,－,2,－,－,－
大森,2423,1909,1909,－,－,441,61,89,－,－,－,－,－,－,16,164,9,3,3,－,63,33,73,32,31,3,7,－,－
東調布,1975,1679,1666,－,13,217,45,72,－,－,－,－,－,－,6,69,4,－,－,－,17,4,79,31,36,12,－,－,－
蒲田,1586,1191,1168,－,23,320,43,65,－,－,－,－,－,－,12,114,6,5,1,－,64,10,75,34,39,2,－,－,－
矢口,1064,866,824,－,42,171,26,61,－,－,－,－,－,－,11,34,3,5,4,1,17,9,27,20,7,－,－,－,－
目黒,2812,2404,2347,－,57,341,62,112,－,－,2,－,－,－,9,121,3,3,5,－,19,5,67,46,4,7,－,10,－
世田谷,4160,3569,3539,－,30,518,73,147,2,－,1,－,－,－,7,226,14,1,6,－,31,10,73,69,－,4,－,－,－
玉川,2533,2129,2102,－,27,345,55,117,2,－,－,－,1,－,11,128,8,2,3,－,13,5,59,42,2,5,－,10,－
成城,2643,2174,2081,－,93,371,40,153,9,－,1,－,－,－,7,123,12,1,1,1,23,－,98,44,42,8,－,4,－
渋谷,2555,2195,2103,－,92,309,55,127,－,－,2,－,－,－,6,65,－,1,1,－,52,－,51,41,2,7,－,1,－
四谷,605,473,452,－,21,118,11,45,1,－,－,－,－,－,4,27,－,2,1,－,21,6,14,13,－,1,－,－,－
牛込,1043,804,758,－,46,210,12,92,1,1,－,－,－,－,5,56,2,2,1,－,38,－,29,19,5,5,－,－,－
新宿,1948,1578,1547,－,31,301,28,99,1,－,－,－,－,－,17,90,－,2,2,1,34,27,69,30,37,2,－,－,－
中野,1445,1161,1161,－,－,213,28,92,4,－,1,－,－,－,1,64,6,－,－,－,14,3,71,26,45,－,－,－,－
野方,1759,1522,1507,－,15,202,43,86,－,－,－,－,－,－,－,56,1,－,－,－,16,－,35,32,2,1,－,－,－
杉並,3121,2612,2592,－,20,384,91,200,1,－,－,－,－,－,12,52,1,－,－,－,27,－,125,57,60,8,－,－,－
荻窪,2576,2196,2195,1,－,309,54,200,6,－,－,－,－,－,4,27,5,－,－,－,13,－,71,34,32,2,－,3,－
小石川,1219,959,959,－,－,200,14,99,1,－,－,－,－,－,5,58,7,1,1,－,9,5,60,26,23,7,－,－,4
本郷,1067,862,832,－,30,190,17,87,－,－,－,－,－,－,6,50,2,－,1,－,18,9,15,13,－,2,－,－,－
豊島,1356,1133,1066,－,67,193,18,94,5,－,－,－,－,－,1,50,5,2,－,－,9,9,30,30,－,－,－,－,－
池袋,1239,1029,1024,－,5,183,24,78,－,－,－,－,－,－,4,59,1,1,－,－,15,1,27,27,－,－,－,－,－
王子,1195,898,786,38,74,245,21,60,3,－,－,－,－,－,4,71,7,2,6,3,68,－,52,32,18,2,－,－,－
赤羽,1416,1079,992,47,40,286,26,86,－,－,1,－,－,－,7,60,－,5,6,5,90,－,51,34,16,1,－,－,－
滝野川,1137,921,892,21,8,194,18,82,13,－,－,－,－,－,7,44,4,－,2,2,22,－,22,21,－,1,－,－,－
板橋,2049,1726,1716,10,－,240,44,67,1,－,2,－,－,－,4,90,3,－,4,3,21,1,83,41,41,1,－,－,－
志村,3414,2799,2658,129,12,541,53,173,－,－,－,－,－,－,19,173,24,1,6,11,80,1,74,62,6,6,－,－,－
練馬,2704,2289,2288,－,1,335,52,129,12,－,－,－,－,－,1,87,1,－,－,－,46,7,80,46,33,1,－,－,－
光が丘,1518,1215,1180,26,9,253,37,111,9,－,－,－,－,－,2,45,－,2,1,－,45,1,50,38,11,1,－,－,－
石神井,3204,2702,2677,－,25,391,68,208,3,－,－,－,－,－,4,77,3,1,－,1,26,－,111,59,47,5,－,－,－
