消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
計,82192,86,51,35,309,216,1661,2053,1429,21444,981,1290,935,3225,201,140,117,142,657,2040,15,94,7,694,1461,9437,1616,24113,7703,13,27
特別区,64218,66,32,31,207,189,1225,1286,1180,14379,666,672,617,2302,153,130,96,137,513,1375,13,82,5,624,1022,8767,1119,20309,6992,12,17
丸の内,229,－,1,－,1,1,11,2,2,－,－,－,－,－,1,－,－,－,－,1,－,5,－,－,25,102,2,70,4,1,－
麹町,1241,1,1,1,1,7,4,1,19,104,9,1,2,42,4,－,－,8,3,8,－,－,－,1,48,467,－,334,174,－,1
神田,2397,－,－,－,9,3,16,81,16,13,11,－,－,93,4,2,－,12,4,15,－,3,－,6,13,793,21,1046,234,1,1
京橋,2261,1,－,14,1,28,57,14,14,58,6,－,1,3,2,－,2,10,3,3,－,10,－,5,8,752,23,1041,204,1,－
日本橋,1743,－,－,－,2,9,24,115,13,26,1,2,1,5,－,－,－,9,－,3,－,7,－,8,8,842,10,518,139,－,1
臨港,278,－,－,－,－,－,5,9,2,88,1,－,2,5,－,－,－,－,2,6,－,1,－,25,5,20,10,54,43,－,－
芝,2541,－,－,－,8,4,45,4,23,200,14,－,1,30,2,－,－,14,5,41,2,7,－,34,31,1080,52,653,289,1,1
麻布,1458,－,－,－,1,1,58,6,17,256,7,7,7,14,4,－,1,2,20,13,1,1,－,－,17,169,27,689,140,－,－
赤坂,1251,2,－,1,1,20,31,10,17,134,6,1,3,15,3,－,－,6,6,3,1,2,－,1,9,240,13,605,120,－,1
高輪,503,－,－,－,1,1,4,－,21,161,3,3,6,14,3,－,1,2,5,10,－,－,－,11,18,73,22,84,59,－,1
品川,1222,1,－,1,2,2,9,1,22,235,12,8,7,33,4,1,1,2,12,53,1,－,－,20,12,227,41,296,219,－,－
大井,595,2,－,1,3,－,11,5,10,202,9,6,5,21,2,－,7,－,4,12,－,3,－,19,6,50,22,142,53,－,－
荏原,636,－,－,－,1,3,13,26,1,108,11,6,8,36,1,－,2,3,10,17,－,－,－,1,5,57,6,245,76,－,－
大森,1231,1,－,－,3,－,18,19,10,295,18,15,17,40,5,－,－,2,12,94,－,1,－,66,38,107,15,312,143,－,－
東調布,894,－,1,－,3,1,14,12,4,322,10,11,19,33,3,－,12,－,14,30,－,－,－,3,19,48,15,246,74,－,－
蒲田,914,1,－,1,3,1,10,15,24,272,19,14,11,30,－,－,2,－,8,46,－,2,2,3,26,68,11,236,109,－,－
矢口,613,1,1,1,6,1,10,18,16,114,8,9,8,23,2,1,2,－,5,33,－,－,－,3,9,41,9,218,74,－,－
目黒,1421,－,1,1,7,2,25,20,13,396,12,15,15,53,6,－,－,1,10,27,－,－,－,2,41,123,15,461,175,－,－
世田谷,1897,2,1,－,7,4,34,27,3,710,25,28,26,82,2,－,4,3,23,11,－,－,－,4,39,75,30,580,177,－,－
玉川,1105,3,－,－,5,1,35,19,4,428,7,20,16,44,1,1,4,1,15,11,－,1,－,5,12,46,37,299,90,－,－
成城,1223,1,－,－,5,－,14,25,3,651,9,33,23,45,4,－,1,－,7,10,6,1,－,4,16,55,14,268,28,－,－
渋谷,2865,12,1,－,4,1,60,33,87,399,22,21,7,99,9,－,6,4,30,14,－,2,－,1,19,402,67,1186,378,1,－
四谷,1067,3,－,－,3,2,14,21,30,71,4,2,－,21,2,1,－,3,13,－,－,－,－,－,6,233,15,444,179,－,－
牛込,902,1,－,－,5,2,8,5,8,168,7,8,3,47,2,1,2,4,8,19,1,－,－,3,15,163,7,271,144,－,－
新宿,2385,2,2,－,9,5,54,28,128,305,13,10,12,99,4,8,1,5,4,17,－,－,－,10,20,258,7,1059,321,4,－
中野,970,－,2,－,2,1,7,7,11,274,9,17,7,59,2,1,1,2,8,5,－,－,－,3,22,83,15,318,114,－,－
野方,681,－,－,－,－,1,3,13,2,258,9,23,12,34,4,－,－,－,6,6,－,2,－,3,15,26,19,182,63,－,－
杉並,1359,1,2,－,11,2,14,19,11,353,14,18,22,72,4,－,－,1,19,5,－,－,－,4,24,96,28,490,149,－,－
荻窪,926,1,2,－,6,1,17,12,2,276,10,10,18,41,2,－,－,2,12,5,－,－,－,3,23,48,5,333,97,－,－
小石川,694,1,1,－,－,2,3,－,10,157,6,8,13,50,2,－,－,2,14,14,－,－,－,6,12,82,7,164,139,－,1
本郷,911,－,－,1,－,5,37,3,60,105,3,5,5,49,2,1,－,1,11,5,－,2,－,1,13,171,9,258,163,－,1
豊島,2032,3,1,－,8,1,45,28,69,315,18,18,11,79,2,7,2,6,17,26,－,3,－,2,21,257,59,762,270,1,1
池袋,1109,1,－,1,3,5,13,15,59,205,14,21,11,36,3,11,－,3,6,5,－,3,－,3,26,72,25,469,98,1,－
王子,568,－,－,－,2,1,9,15,6,113,8,8,10,42,1,－,－,－,6,20,－,－,－,4,17,38,18,194,56,－,－
赤羽,941,2,1,2,5,－,13,16,8,404,15,15,12,29,－,1,3,1,8,63,－,1,－,7,16,26,15,215,63,－,－
滝野川,462,1,－,－,－,－,6,8,5,111,6,2,9,32,1,－,－,－,4,13,－,－,－,3,12,47,3,133,65,－,1
板橋,1108,－,1,－,12,1,13,21,3,291,22,23,15,45,5,－,2,1,4,10,－,2,－,6,11,87,14,361,158,－,－
志村,1884,1,1,－,2,－,39,30,5,642,30,19,21,97,4,1,3,4,18,141,－,－,－,21,37,57,39,435,237,－,－
練馬,1058,－,2,1,1,1,16,19,1,450,9,18,11,41,4,－,3,2,4,31,－,－,－,11,19,38,23,273,80,－,－
光が丘,533,－,－,－,－,－,13,21,－,246,7,6,9,34,1,－,3,1,4,9,－,－,－,6,8,23,8,106,28,－,－
石神井,900,－,－,－,－,2,26,25,3,318,16,15,25,55,5,1,1,－,11,11,1,－,－,－,19,47,10,266,43,－,－
上野,1290,4,1,3,2,6,72,62,83,79,8,6,3,34,15,3,4,2,23,5,－,6,－,6,15,225,16,443,157,－,7
浅草,702,－,－,1,－,4,7,70,28,30,3,2,1,8,1,1,－,－,3,1,－,－,－,15,10,146,2,244,125,－,－
日本堤,737,7,1,－,2,13,35,8,123,59,7,3,2,6,－,69,－,1,12,5,－,2,－,7,13,22,4,276,59,1,－
荒川,706,－,－,－,1,4,7,5,49,102,15,8,8,30,2,－,3,5,10,20,－,－,－,5,12,66,3,244,107,－,－
尾久,297,－,－,－,1,2,5,15,1,73,8,9,5,17,1,－,－,－,3,15,－,－,－,2,10,20,4,79,27,－,－
千住,450,－,1,－,2,－,9,15,4,89,13,7,5,22,1,3,1,2,1,28,－,－,－,9,17,48,6,125,42,－,－
足立,1803,－,1,－,10,－,43,51,21,874,28,36,30,64,2,4,1,－,11,40,－,－,－,9,15,51,38,379,95,－,－
西新井,982,－,－,－,7,－,24,39,11,442,22,18,26,45,－,1,－,－,5,24,－,－,－,9,8,34,23,199,45,－,－
本所,1160,3,2,1,6,17,28,13,29,135,12,10,4,25,1,3,6,3,12,44,－,－,－,20,24,126,42,387,207,－,－
向島,447,－,－,－,2,2,7,14,－,87,15,11,9,32,2,－,2,－,8,32,－,2,－,5,13,19,13,130,42,－,－
深川,1329,1,3,－,5,3,13,15,18,434,10,12,9,27,3,－,3,1,7,73,－,4,－,105,19,63,54,240,207,－,－
城東,1255,－,－,－,4,4,18,29,6,383,8,12,16,48,3,－,5,3,7,75,－,5,3,63,26,95,57,265,120,－,－
本田,1276,1,－,－,5,4,25,43,13,509,21,24,22,57,4,2,－,－,9,56,－,3,－,8,19,70,27,264,90,－,－
金町,664,1,－,－,3,3,16,24,4,262,19,24,14,32,1,1,2,－,6,16,－,－,－,4,5,24,10,151,42,－,－
