月,住宅等以外・令和元年救急搬送人員（人）,住宅等以外・令和2年救急搬送人員（人）
1,5346 ,5523 
2,4782 ,5005 
3,5688 ,4439 
4,5651 ,2900 
5,5667 ,3106 
6,5544 ,4159 
7,6124 ,4498 
8,7203 ,6359 
9,5883 ,4647 
10,5832 ,5049 
11,5901 ,4637 
12,6469 ,4793 
,,
,,
,,
,,
,,
,,
,,
