月別,計／回数,計／人員,火災／回数,火災／人員,水災／回数,水災／人員,その他の災害／回数,その他の災害／人員,予防警戒／回数,予防警戒／人員,教育訓練／回数,教育訓練／人員,機械整備／回数,機械整備／人員
計,31684,343645,2417,18778,30,465,313,1113,5446,69406,12122,231205,11356,22678
4,2087,17071,217,1726,－,－,27,131,104,704,804,12640,935,1870
5,2969,38348,183,1319,－,－,24,78,134,829,1693,34252,935,1870
6,2961,38430,167,1154,－,－,31,96,144,895,1684,34415,935,1870
7,3372,44497,157,1076,－,－,33,106,308,3011,1939,38434,935,1870
8,2339,18636,194,1247,27,443,21,65,413,4813,749,10198,935,1870
9,2510,23304,175,1294,3,22,31,98,321,2905,1028,17081,952,1904
10,2564,35571,169,1249,－,－,15,52,225,1743,1203,30623,952,1904
11,2586,19346,184,1447,－,－,26,105,778,7424,646,8466,952,1904
12,3195,33511,253,2189,－,－,36,139,1480,23442,474,5837,952,1904
1,2157,27695,237,2045,－,－,25,128,341,6619,587,16999,967,1904
2,2269,23005,224,1934,－,－,21,60,508,9928,564,9179,952,1904
3,2675,24231,257,2098,－,－,23,55,690,7093,751,13081,954,1904
