消防署,出場・従事件数／計／出場,出場・従事件数／計／従事,出場・従事件数／火災／出場,出場・従事件数／火災／従事,出場・従事件数／交通／出場,出場・従事件数／交通／従事,出場・従事件数／水難／出場,出場・従事件数／水難／従事,出場・従事件数／機械／出場,出場・従事件数／機械／従事,出場・従事件数／建物工作物／出場,出場・従事件数／建物工作物／従事,出場・従事件数／崩かい／出場,出場・従事件数／崩かい／従事,出場・従事件数／堕落／出場,出場・従事件数／堕落／従事,出場・従事件数／ガス／出場,出場・従事件数／ガス／従事,出場・従事件数／電気／出場,出場・従事件数／電気／従事,出場・従事件数／山岳／出場,出場・従事件数／山岳／従事,出場・従事件数／その他／出場,出場・従事件数／その他／従事,救助人員／計,救助人員／重症,救助人員／中等症,救助人員／軽症,救助人員／無症,救助人員／死亡,誘導人員,出場車両数／計,出場車両数／ポンプ車,出場車両数／救助車,出場車両数／化学車,出場車両数／はしご車,出場車両数／救急車,出場車両数／照明車,出場車両数／防災機動車,出場車両数／ヘリコプター,出場車両数／消防艇,出場車両数／救助先行車,出場車両数／その他,従事台数,出場人員,従事人員
計,4115,2544,74,74,2236,1460,107,62,225,95,779,457,36,17,148,95,67,16,2,1,29,21,412,246,3558,263,734,1878,516,167,95,15136,4136,2240,868,331,4141,30,18,27,104,2731,510,7767,69055,34788
特別区,3362,2068,66,66,1879,1236,82,49,190,80,610,337,19,9,124,80,60,13,1,1,－,－,331,197,2834,197,557,1648,314,118,92,12065,3223,1834,639,319,3349,24,13,21,104,2137,402,6146,55421,27720
丸の内,30,26,－,－,23,21,－,－,－,－,4,3,－,－,－,－,－,－,－,－,－,－,3,2,39,3,4,29,2,1,－,80,32,9,－,－,28,1,－,－,1,6,3,59,353,248
麹町,75,57,－,－,60,49,－,－,5,2,4,2,－,－,1,－,－,－,－,－,－,－,5,4,79,3,9,58,8,1,－,234,72,20,7,4,72,－,－,－,－,56,3,170,1080,779
神田,38,31,1,1,28,24,－,－,2,1,5,4,－,－,1,－,－,－,－,－,－,－,1,1,51,1,7,34,6,3,1,122,46,13,2,2,41,－,－,－,－,13,5,89,548,400
京橋,70,51,－,－,51,39,1,1,5,2,4,2,－,－,3,3,－,－,－,－,－,－,6,4,59,2,11,45,－,1,－,198,72,24,3,－,61,－,－,－,－,21,17,125,862,507
日本橋,123,94,－,－,97,75,1,1,2,－,7,5,－,－,－,－,－,－,－,－,－,－,16,13,128,7,16,103,1,1,－,291,129,18,－,3,117,1,－,－,5,18,－,206,1237,841
臨港,59,50,－,－,47,40,7,6,－,－,3,2,－,－,－,－,－,－,－,－,－,－,2,2,98,2,22,68,1,5,－,287,66,22,28,6,78,2,1,1,27,48,8,208,1297,943
芝,107,76,－,－,79,60,1,1,2,2,10,6,－,－,4,1,－,－,－,－,－,－,11,6,118,7,18,82,9,2,－,301,105,44,1,－,110,1,－,－,2,24,14,194,1294,835
麻布,74,52,－,－,47,35,－,－,1,－,18,10,－,－,2,2,－,－,－,－,－,－,6,5,76,－,11,53,11,1,－,196,76,23,－,2,70,－,－,－,－,25,－,121,818,464
