消防署,事業所,計,製造所,貯蔵所／屋内,貯蔵所／屋外タンク,貯蔵所／屋内タンク,貯蔵所／地下タンク,貯蔵所／簡易タンク,貯蔵所／移動タンク,貯蔵所／屋外,取扱所／給油／営業用／自動車,取扱所／給油／営業用／その他,取扱所／給油／自家用／自動車,取扱所／給油／自家用／その他,取扱所／販売／第1種,取扱所／販売／第2種,取扱所／移送,取扱所／一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所
計,16309,27145,189,3307,1115,2771,7682,25,2935,456,2885,16,1181,47,612,140,12,3772,17372,46025,49367
特別区,11852,19295,160,2285,707,2540,5177,19,2115,282,2022,12,823,22,544,123,4,2460,12103,34740,35994
丸の内,103,298,－,6,－,164,38,－,－,－,2,－,8,－,－,－,－,80,36,1199,340
麹町,246,394,－,8,－,129,179,－,－,－,17,－,1,－,－,－,－,60,113,1161,672
神田,253,327,－,13,－,138,91,－,－,－,28,－,3,－,20,－,－,34,99,599,560
京橋,279,370,－,7,1,201,74,1,1,－,22,－,1,－,5,－,－,57,84,892,701
日本橋,311,370,－,1,－,219,76,－,－,－,25,－,1,－,21,－,－,27,57,756,610
臨港,74,118,－,18,5,12,34,3,6,4,10,－,11,－,1,－,－,14,78,202,261
芝,351,492,－,47,－,157,155,1,4,10,34,－,14,－,6,－,－,64,182,888,641
麻布,164,214,1,9,1,40,104,－,1,2,20,－,2,－,2,－,－,32,93,324,397
赤坂,203,263,－,4,1,87,113,－,－,－,15,－,8,－,－,－,－,35,59,598,437
高輪,152,284,－,36,6,36,104,－,34,－,14,－,12,8,2,1,－,31,120,446,400
品川,293,553,5,117,23,54,179,－,34,3,32,－,15,1,11,7,2,70,358,1816,708
大井,128,309,－,32,－,18,60,－,132,1,16,－,20,－,4,1,－,25,132,437,404
荏原,87,124,－,20,－,7,39,－,3,－,22,－,5,－,12,2,－,14,114,319,459
大森,324,524,2,96,6,22,135,－,66,2,53,－,37,2,17,2,－,84,436,833,1023
東調布,165,199,－,19,－,14,73,－,19,－,37,－,8,－,10,2,－,17,114,332,641
蒲田,266,732,17,118,58,30,164,－,131,26,46,11,25,－,14,4,1,87,621,1278,712
矢口,147,295,2,65,23,24,75,－,13,10,25,－,7,1,11,1,－,38,266,525,425
目黒,256,346,－,43,3,41,118,1,17,－,59,－,13,－,13,4,－,34,231,623,1020
世田谷,276,379,2,37,－,32,138,－,5,4,74,－,21,－,5,2,－,59,291,661,1045
玉川,195,285,4,29,2,19,98,1,25,6,57,－,11,－,8,1,－,24,187,577,873
成城,186,301,－,20,3,10,102,1,67,1,35,－,16,－,7,－,－,39,177,392,850
渋谷,576,600,－,18,1,151,257,1,17,－,47,－,11,－,15,1,－,81,126,747,1195
四谷,113,142,－,5,2,58,48,－,－,－,8,－,3,－,1,－,－,17,42,229,227
牛込,135,211,－,15,－,39,95,－,1,－,19,－,15,－,2,－,－,25,143,287,697
新宿,202,409,－,22,－,129,150,－,10,－,37,－,7,－,6,－,－,48,126,710,938
中野,126,159,－,15,－,17,60,－,7,－,24,－,6,－,12,2,－,16,69,238,415
野方,82,99,－,7,－,1,28,－,2,－,22,－,7,－,19,1,－,12,56,185,374
杉並,197,248,－,16,1,24,99,－,5,－,53,－,13,－,8,3,－,26,155,138,723
荻窪,137,197,－,13,1,17,77,－,10,－,42,－,6,－,2,1,－,28,134,283,767
小石川,188,234,－,25,1,50,95,－,－,－,24,－,6,－,5,－,－,28,99,228,602
本郷,131,212,－,30,7,37,86,－,－,－,18,－,4,－,10,3,－,17,119,249,572
豊島,196,262,－,21,1,61,100,－,11,－,25,－,7,－,8,2,－,26,99,667,646
池袋,118,130,－,5,－,27,41,－,7,－,20,－,3,－,10,2,－,15,65,185,508
王子,124,227,4,46,34,11,55,－,7,1,21,－,9,－,9,－,－,30,241,380,501
赤羽,138,353,12,70,44,17,98,－,－,10,21,－,16,－,1,3,－,61,573,627,444
滝野川,101,159,3,35,2,14,51,－,1,1,17,－,7,1,5,4,－,18,121,274,331
板橋,243,243,1,26,－,19,79,－,14,－,49,－,8,－,12,6,－,29,134,641,535
志村,402,1000,43,196,85,43,231,3,109,51,67,－,31,2,7,3,－,129,938,1346,1352
練馬,172,221,－,19,－,13,78,－,17,1,41,－,9,－,2,－,－,41,132,311,672
光が丘,98,136,－,16,－,1,34,－,11,－,32,－,15,－,3,1,－,23,140,215,258
石神井,179,237,－,12,1,13,67,－,38,1,49,－,13,－,5,1,－,37,153,310,607
上野,140,180,－,7,－,55,54,－,－,－,23,－,5,－,17,7,－,12,94,360,524
浅草,84,99,－,8,－,13,26,－,－,－,25,－,1,1,20,3,－,2,119,249,340
日本堤,97,125,－,3,3,16,18,－,16,－,25,－,3,－,20,10,－,11,77,254,511
荒川,177,303,4,58,3,13,56,－,72,2,34,－,13,－,19,3,－,26,182,449,528
尾久,93,182,2,29,8,7,26,－,46,2,17,－,5,－,10,3,－,27,100,339,394
千住,148,381,11,70,67,10,53,－,64,7,20,－,16,－,9,3,－,51,232,969,844
足立,362,625,4,59,19,21,122,1,170,6,92,－,34,－,10,1,－,86,399,887,899
西新井,275,554,6,54,23,14,66,－,171,29,55,－,46,－,10,2,－,78,348,755,562
本所,187,278,2,47,2,24,82,－,10,－,48,－,9,－,15,10,－,29,212,643,521
向島,198,334,3,76,11,27,75,－,45,1,30,－,8,－,14,7,－,37,228,449,755
深川,485,715,－,120,88,35,133,3,76,17,60,－,73,2,17,6,1,84,660,968,778
城東,271,576,3,92,70,17,91,－,91,35,47,－,43,2,13,2,－,70,487,2006,757
本田,397,668,11,127,16,37,155,3,60,22,70,－,26,2,27,3,－,109,445,874,1375
