消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
計,5080,11,1,－,4,4,16,54,62,407,178,145,169,1802,14,1,1,2,85,753,6,5,1,92,162,250,149,292,408,－,6
特別区,3247,6,1,－,3,3,8,21,34,291,97,50,100,1084,11,1,1,2,61,424,5,4,1,82,108,208,97,213,328,－,3
丸の内,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,8,－,1,－,－,－,－
麹町,22,－,－,－,－,－,－,－,－,－,－,－,2,6,－,－,－,－,－,－,－,－,－,－,6,2,－,6,－,－,－
神田,17,－,－,－,－,－,－,－,－,－,－,－,－,13,－,－,－,－,－,－,－,－,－,－,－,－,－,3,1,－,－
京橋,17,－,－,－,－,－,－,－,－,2,1,－,1,3,－,－,－,－,－,－,－,－,－,－,－,2,8,－,－,－,－
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,33,－,－,－,－,－,1,－,－,－,－,－,－,4,－,－,－,－,－,3,－,1,－,14,1,2,－,4,3,－,－
芝,45,－,－,－,－,－,－,－,1,6,1,－,－,8,－,－,－,－,－,5,－,－,－,2,2,4,3,6,7,－,－
麻布,38,－,－,－,－,－,－,－,－,4,1,1,1,2,－,－,－,－,3,1,－,－,－,－,1,2,3,10,9,－,－
赤坂,27,－,－,－,－,－,1,－,2,5,1,－,1,4,－,－,－,－,－,1,1,－,－,－,2,3,2,1,3,－,－
高輪,40,－,－,－,－,－,1,－,2,6,3,－,1,10,－,－,－,－,2,4,－,－,－,－,1,1,3,2,3,－,1
品川,103,－,－,－,－,1,－,－,1,3,2,－,1,22,－,－,－,－,2,17,－,－,－,5,1,6,8,4,30,－,－
大井,69,－,－,－,1,－,－,1,－,20,2,3,1,7,－,－,－,－,1,4,－,1,－,1,2,11,2,3,9,－,－
荏原,48,－,－,－,1,－,－,1,－,4,－,2,3,21,－,－,－,－,－,4,－,－,－,－,1,6,－,5,－,－,－
大森,43,－,－,－,－,－,－,－,－,2,2,－,1,3,－,－,－,－,－,21,－,－,－,1,1,1,－,3,8,－,－
東調布,108,－,－,－,－,－,－,2,3,30,4,5,10,19,1,－,－,－,8,7,－,－,－,－,6,－,－,9,4,－,－
蒲田,76,1,－,－,－,－,－,－,1,2,－,1,1,14,－,－,－,－,－,24,－,－,1,－,2,7,4,－,18,－,－
矢口,63,－,－,－,－,－,1,－,－,7,－,－,－,13,－,－,－,－,2,11,－,－,－,－,－,11,1,1,16,－,－
目黒,107,－,－,－,－,－,－,1,－,12,3,－,2,31,－,－,－,－,1,6,－,－,－,1,2,13,1,16,18,－,－
世田谷,103,－,－,－,－,－,－,2,－,13,－,－,－,70,－,－,－,－,7,1,－,－,－,－,1,3,3,－,3,－,－
