年,救急搬送人員（人）,前年比（％）,,,,
28,73510 ,,,,,
29,77369 ,105.2,,,,
30,81338 ,105.1,,,,
元,81640 ,100.4,,,,
2,74004 ,90.6,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
