消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者
計,1937,859,89,42,58,670,321,－,－,3,754,16655,3536548,51,136
特別区,1485,679,63,29,48,539,246,－,－,－,560,12185,2850188,29,97
丸の内,9,5,－,－,－,5,1,－,－,－,3,－,146,－,－
麹町,9,5,－,－,－,5,1,－,－,－,3,－,600,－,1
神田,10,5,－,－,1,4,1,－,－,－,4,13,3556,－,－
京橋,7,7,－,－,1,6,－,－,－,－,－,4,866,－,－
日本橋,5,3,－,－,－,3,－,－,－,－,2,－,62,－,－
臨港,7,5,1,1,－,3,－,－,－,－,2,80,6473,－,－
芝,19,14,1,－,3,10,－,－,－,－,5,260,19247,－,－
麻布,7,2,－,－,－,2,2,－,－,－,3,－,511,－,－
赤坂,10,6,－,－,－,6,1,－,－,－,3,－,85249,1,2
高輪,10,2,－,－,－,2,－,－,－,－,8,－,674,－,－
品川,18,11,2,－,－,9,4,－,－,－,3,358,69683,－,1
大井,11,5,－,－,1,4,3,－,－,－,3,4,2190,－,－
荏原,32,21,2,3,1,15,1,－,－,－,10,482,127385,－,5
大森,28,14,1,－,1,12,4,－,－,－,10,87,41500,1,1
東調布,17,6,－,－,2,4,1,－,－,－,10,25,10972,－,2
蒲田,16,3,－,－,1,2,3,－,－,－,10,5,1671,1,1
矢口,11,5,1,1,－,3,－,－,－,－,6,24,15778,2,1
目黒,26,11,－,1,－,10,3,－,－,－,12,134,24945,1,－
世田谷,81,29,2,2,2,23,20,－,－,－,32,513,54773,2,4
玉川,28,7,2,－,1,4,11,－,－,－,10,18,37425,1,－
成城,27,10,3,1,1,5,10,－,－,－,7,153,31381,1,－
渋谷,76,21,1,－,1,19,9,－,－,－,46,57,5292,－,－
四谷,10,8,2,－,－,6,－,－,－,－,2,1547,311155,－,－
牛込,26,21,2,－,2,17,2,－,－,－,3,347,53325,－,1
新宿,46,21,2,－,1,18,7,－,－,－,18,230,34467,－,7
中野,20,8,1,1,－,6,5,－,－,－,7,77,9969,－,5
野方,31,9,1,－,1,7,6,－,－,－,16,124,38476,－,－
杉並,63,20,4,－,1,15,16,－,－,－,27,770,159695,1,3
荻窪,45,13,5,－,－,8,9,－,－,－,23,621,139563,－,1
小石川,7,3,－,－,2,1,1,－,－,－,3,43,13048,1,1
本郷,13,8,2,1,2,3,－,－,－,－,5,250,104735,1,4
豊島,18,10,1,－,1,8,3,－,－,－,5,111,50550,－,3
池袋,31,10,1,－,－,9,3,－,－,－,18,300,68519,－,2
王子,30,16,－,2,－,14,6,－,－,－,8,116,9021,2,6
赤羽,35,17,2,1,1,13,4,－,－,－,14,623,177484,1,3
滝野川,19,7,1,－,－,6,2,－,－,－,10,84,18166,－,－
板橋,40,15,2,－,1,12,6,－,－,－,19,143,96992,1,3
志村,50,34,5,2,3,24,7,－,－,－,9,582,62137,1,3
練馬,13,7,2,－,－,5,1,－,－,－,5,244,57222,－,1
光が丘,17,8,－,－,－,8,1,－,－,－,8,－,44,－,2
石神井,25,7,－,－,1,6,6,－,－,－,12,13,7050,－,1
上野,16,8,－,－,－,8,4,－,－,－,4,5,4166,－,－
浅草,13,2,－,－,－,2,2,－,－,－,9,－,84,－,－
日本堤,34,15,－,－,1,14,3,－,－,－,16,7,11007,－,4
荒川,22,13,－,2,1,10,3,－,－,－,6,63,12406,－,4
尾久,13,6,－,－,－,6,1,－,－,－,6,－,279,－,－
千住,12,10,－,－,－,10,－,－,－,－,2,－,2399,－,1
足立,49,28,2,1,2,23,7,－,－,－,14,524,42993,－,1
西新井,65,43,5,5,3,30,12,－,－,－,10,2365,667361,2,6
本所,17,7,1,1,1,4,3,－,－,－,7,33,12487,1,－
向島,17,5,1,1,－,3,3,－,－,－,9,158,31484,－,－
深川,14,7,－,－,－,7,2,－,－,－,5,3,7791,1,－
城東,44,20,－,－,2,18,8,－,－,－,16,59,9381,－,4
本田,59,22,1,2,1,18,14,－,－,－,23,208,42282,1,8
金町,28,14,1,－,－,13,8,－,－,－,6,154,19550,1,－
江戸川,53,26,1,1,2,22,13,－,－,－,14,36,10619,1,2
小岩,26,14,2,－,3,9,3,－,－,－,9,128,23902,4,3
受託地区,452,180,26,13,10,131,75,－,－,3,194,4470,686360,22,39
立川,63,25,8,3,1,13,14,－,－,1,23,1540,228292,4,10
国分寺,17,5,－,－,－,5,2,－,－,－,10,－,330,－,－
小平,25,10,1,1,－,8,4,－,－,－,11,134,24699,1,1
武蔵野,21,6,－,－,1,5,3,－,－,－,12,5,3238,2,1
保谷,15,6,1,1,－,4,4,－,－,－,5,106,45680,1,2
三鷹,16,10,－,－,－,10,3,－,－,－,3,－,1521,1,2
調布,27,14,1,2,－,11,10,－,－,－,3,454,65372,1,4
府中,21,12,－,－,1,11,2,－,－,－,7,23,6611,1,－
東村山,24,5,－,－,－,5,2,－,－,－,17,－,762,1,1
狛江,9,3,－,－,－,3,3,－,－,－,3,－,660,－,1
北多摩西部,35,10,1,1,1,7,6,－,－,1,18,101,16018,1,2
清瀬,6,2,－,－,－,2,－,－,－,－,4,－,15,－,－
