本部・署,合計／実施回数,合計／延べ台数,合計／延べ人員／計,合計／延べ人員／当番,合計／延べ人員／非番,合計／延べ人員／日勤,合計／延べ人員／毎日,合計／警戒時間,儀式・祭礼／実施回数,儀式・祭礼／延べ台数,儀式・祭礼／延べ人員／計,儀式・祭礼／延べ人員／当番,儀式・祭礼／延べ人員／非番,儀式・祭礼／延べ人員／日勤,儀式・祭礼／延べ人員／毎日,儀式・祭礼／警戒時間,集団行動・沿道警戒／実施回数,集団行動・沿道警戒／延べ台数,集団行動・沿道警戒／延べ人員／計,集団行動・沿道警戒／延べ人員／当番,集団行動・沿道警戒／延べ人員／非番,集団行動・沿道警戒／延べ人員／日勤,集団行動・沿道警戒／延べ人員／毎日,集団行動・沿道警戒／警戒時間,その他／実施回数,その他／延べ台数,その他／延べ人員／計,その他／延べ人員／当番,その他／延べ人員／非番,その他／延べ人員／日勤,その他／延べ人員／毎日,その他／警戒時間
計,1061,29829,271202,174766,613,18532,77291,99058,369,17051,176719,106989,527,15017,54186,60919,153,492,5211,3522,78,566,1045,3228,539,12286,89272,64255,8,2949,22060,34911
本部,2,21,8766,264,－,－,8502,2095,1,14,8716,261,－,－,8455,2088,－,－,－,－,－,－,－,－,1,7,50,3,－,－,47,7
一本部,3,64,774,425,111,90,148,186,1,62,750,413,111,84,142,174,－,－,－,－,－,－,－,－,2,2,24,12,－,6,6,12
丸の内,22,946,6691,3685,12,532,2462,1534,2,501,3827,1839,12,415,1561,751,5,4,40,40,－,－,－,7,15,441,2824,1806,－,117,901,776
麹町,24,561,5138,2753,130,1288,967,810,6,535,4376,2205,129,1220,822,424,2,－,13,9,－,－,4,8,16,26,749,539,1,68,141,378
神田,9,322,2024,1554,－,73,397,1811,5,220,1166,1050,－,51,65,1517,3,6,33,33,－,－,－,6,1,96,825,471,－,22,332,288
京橋,17,671,5964,3204,3,434,2323,1056,6,520,4687,2440,2,417,1828,538,9,9,137,88,1,17,31,50,2,142,1140,676,－,－,464,468
日本橋,18,980,7780,4448,－,510,2822,1046,6,668,5515,3043,－,416,2056,459,2,5,38,21,－,3,14,11,10,307,2227,1384,－,91,752,576
臨港,12,79,868,582,－,123,163,715,1,15,203,145,－,25,33,250,3,6,38,28,－,－,10,13,8,58,627,409,－,98,120,452
芝,22,79,7341,4427,－,531,2383,1030,4,40,4886,2653,－,409,1824,193,7,－,100,77,－,5,18,24,11,39,2355,1697,－,117,541,813
