消防署,損害額(千円)／計,損害額(千円)／建物,損害額(千円)／建物内収容物,損害額(千円)／車両,損害額(千円)／船舶,損害額(千円)／航空機,損害額(千円)／林野,損害額(千円)／その他,死者,傷者／計,傷者／重症,傷者／中等症,傷者／軽症
計,14175478,4917222,8903432,259016,－,25000,46,70762,116,1065,77,213,775
特別区,11061913,3742644,7051193,215548,－,－,－,52528,81,804,62,166,576
丸の内,2675,1645,1025,－,－,－,－,5,－,3,－,－,3
麹町,18520,76,15821,2572,－,－,－,51,－,6,1,1,4
神田,7386,1393,4754,916,－,－,－,323,－,－,－,－,－
京橋,161516,19692,141057,736,－,－,－,31,－,3,－,－,3
日本橋,26582,8237,17442,885,－,－,－,18,－,3,－,1,2
臨港,21570,3474,16711,1358,－,－,－,27,－,5,－,1,4
芝,32955,17031,15535,382,－,－,－,7,－,8,1,－,7
麻布,191514,27490,163363,598,－,－,－,63,－,7,－,2,5
赤坂,21748,6732,9918,5078,－,－,－,20,－,4,1,1,2
高輪,12334,2543,8247,1535,－,－,－,9,－,3,－,1,2
品川,131309,37383,92822,1045,－,－,－,59,－,8,1,－,7
大井,91512,19154,60619,11643,－,－,－,96,1,12,1,3,8
荏原,194754,94795,90319,1578,－,－,－,8062,2,17,2,3,12
大森,186094,54081,126328,3362,－,－,－,2323,1,21,1,1,19
東調布,376593,86422,284711,4699,－,－,－,761,2,25,1,3,21
蒲田,278869,102172,175794,745,－,－,－,158,1,13,－,5,8
矢口,82438,40531,40853,571,－,－,－,483,1,9,－,2,7
目黒,510102,118345,386098,4270,－,－,－,1389,3,30,2,6,22
世田谷,311644,86789,216252,7510,－,－,－,1093,2,39,2,8,29
玉川,126728,51632,53421,21578,－,－,－,97,2,15,1,4,10
成城,159744,68238,84674,6765,－,－,－,67,1,17,4,5,8
渋谷,336278,77708,249705,8269,－,－,－,596,4,15,2,5,8
四谷,574118,59386,504670,7354,－,－,－,2708,1,1,－,1,－
牛込,30859,18164,12279,406,－,－,－,10,2,5,－,1,4
新宿,234650,73720,155556,3772,－,－,－,1602,1,26,1,8,17
中野,112928,38032,67963,4872,－,－,－,2061,－,14,－,3,11
野方,53099,29913,22720,393,－,－,－,73,2,8,1,1,6
杉並,337707,147195,187631,1960,－,－,－,921,2,25,2,3,20
荻窪,157926,59694,96347,1511,－,－,－,374,2,11,－,4,7
小石川,90915,24302,64548,2022,－,－,－,43,－,8,2,1,5
本郷,115253,26767,88383,61,－,－,－,42,1,12,2,1,9
豊島,72301,41713,29707,559,－,－,－,322,－,17,3,2,12
池袋,212730,94980,117148,505,－,－,－,97,3,19,－,5,14
王子,121451,69488,49340,2614,－,－,－,9,2,13,1,3,9
赤羽,105606,51415,49794,4051,－,－,－,346,1,6,－,1,5
滝野川,151183,54104,96892,172,－,－,－,15,4,14,1,3,10
板橋,169091,72700,91012,5089,－,－,－,290,－,19,1,6,12
志村,151114,88605,55033,7056,－,－,－,420,3,32,－,5,27
練馬,504725,205753,296852,1802,－,－,－,318,1,26,3,6,17
光が丘,411,233,178,－,－,－,－,－,－,－,－,－,－
石神井,202409,69582,130590,1897,－,－,－,340,1,16,2,2,12
上野,460714,292619,165948,817,－,－,－,1330,－,8,1,1,6
浅草,38091,11196,26676,204,－,－,－,15,1,2,－,－,2
日本堤,276457,47022,223314,5705,－,－,－,416,2,12,2,1,9
荒川,243697,117152,126110,183,－,－,－,252,5,22,－,2,20
尾久,126648,38212,87657,460,－,－,－,319,3,8,－,2,6
千住,26637,7080,18986,466,－,－,－,105,－,7,1,2,4
足立,282418,100584,175618,5118,－,－,－,1098,2,32,4,10,18
西新井,501203,171413,306395,17517,－,－,－,5878,5,26,3,8,15
本所,311626,87377,218731,3607,－,－,－,1911,1,7,－,－,7
向島,98460,23850,73838,309,－,－,－,463,2,11,1,2,8
深川,289925,98398,179422,11882,－,－,－,223,4,18,1,5,12
城東,486309,134983,343667,7037,－,－,－,622,1,32,1,10,21
本田,365705,122616,233393,6372,－,－,－,3324,1,23,2,3,18
金町,110823,51500,57679,1313,－,－,－,331,－,11,2,3,6
江戸川,541856,199854,310259,21956,－,－,－,9787,5,34,3,7,24
小岩,220003,87479,131388,411,－,－,－,725,3,16,2,2,12
受託地区,3113565,1174578,1852239,43468,－,25000,46,18234,35,261,15,47,199
立川,395357,130425,237960,740,－,25000,－,1232,7,25,1,3,21
国分寺,112325,61583,46114,4333,－,－,－,295,－,13,1,1,11
小平,78220,16583,55583,1272,－,－,－,4782,－,3,－,1,2
武蔵野,152620,60425,88019,3650,－,－,－,526,1,7,－,1,6
保谷,185203,60274,123737,1143,－,－,－,49,－,11,1,－,10
三鷹,77897,29245,43490,4825,－,－,－,337,－,7,1,2,4
調布,287782,87146,193824,4649,－,－,－,2163,4,35,－,9,26
府中,321198,96366,217714,4715,－,－,－,2403,6,10,1,3,6
日野,100067,62772,34900,1593,－,－,－,802,1,11,1,1,9
町田,427997,187697,236165,2304,－,－,－,1831,5,33,4,6,23
八王子,358990,101391,251762,3679,－,－,46,2112,5,29,1,3,25
青梅,58400,33446,23388,1407,－,－,－,159,2,7,－,5,2
東村山,198423,73641,123914,839,－,－,－,29,1,13,－,3,10
福生,47340,13721,32628,931,－,－,－,60,2,11,－,－,11
狛江,11148,4156,4750,1355,－,－,－,887,－,3,－,－,3
北多摩西部,125105,53085,68328,3449,－,－,－,243,1,13,1,2,10
清瀬,79369,63219,15139,943,－,－,－,68,－,3,－,1,2
秋川,42322,16994,23804,1431,－,－,－,93,－,13,1,4,8
奥多摩,10100,6292,3807,－,－,－,－,1,－,2,－,1,1
多摩,43702,16117,27213,210,－,－,－,162,－,12,2,1,9
