発火源および経過,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円)／建物(収容物含む),損害額(千円)／建物以外,死者,傷者
計,6541,3908,301,239,277,3091,683,1,1,23,1925,61354,13820654,354824,116,1065
1電気による発熱体,884,641,30,54,53,504,107,1,－,－,135,9909,2434495,59120,8,163
1電気による発熱体／11移動可能の電熱器,257,231,13,19,25,174,4,1,－,－,21,2993,799191,9293,4,73
1電気による発熱体／11移動可能の電熱器／電気こんろ,57,57,1,2,2,52,－,－,－,－,－,259,45665,－,1,22
1電気による発熱体／11移動可能の電熱器／電気こんろ／引火する,2,2,－,－,－,2,－,－,－,－,－,－,1901,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／過熱する,1,1,－,－,－,1,－,－,－,－,－,－,－,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こんろ／底面過熱する,2,2,－,－,－,2,－,－,－,－,－,－,156,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こんろ／可燃物が火源に触れる,9,9,－,1,2,6,－,－,－,－,－,124,10140,－,1,8
1電気による発熱体／11移動可能の電熱器／電気こんろ／火源が落下する,1,1,－,－,－,1,－,－,－,－,－,－,5,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こんろ／接炎する,2,2,－,－,－,2,－,－,－,－,－,－,446,－,－,2
1電気による発熱体／11移動可能の電熱器／電気こんろ／誤ってスイッチが入る,22,22,1,－,－,21,－,－,－,－,－,119,30690,－,－,3
1電気による発熱体／11移動可能の電熱器／電気こんろ／放置する,8,8,－,－,－,8,－,－,－,－,－,－,924,－,－,2
1電気による発熱体／11移動可能の電熱器／電気こんろ／忘れる,9,9,－,1,－,8,－,－,－,－,－,16,1353,－,－,5
1電気による発熱体／11移動可能の電熱器／電気こんろ／本来の用途以外に使用,1,1,－,－,－,1,－,－,－,－,－,－,50,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ,81,79,6,13,12,48,－,－,－,－,2,1606,367401,1436,3,24
1電気による発熱体／11移動可能の電熱器／電気ストーブ／電線が短絡する,1,1,－,1,－,－,－,－,－,－,－,30,3668,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ／放射を受けて発火する,13,12,1,1,1,9,－,－,－,－,1,147,50826,150,－,1
1電気による発熱体／11移動可能の電熱器／電気ストーブ／可燃物が転倒する,1,1,－,－,－,1,－,－,－,－,－,－,14,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ／可燃物が落下する,10,10,2,2,2,4,－,－,－,－,－,280,52954,393,－,1
1電気による発熱体／11移動可能の電熱器／電気ストーブ／可燃物が火源に触れる,39,38,2,6,8,22,－,－,－,－,1,877,208603,893,3,16
1電気による発熱体／11移動可能の電熱器／電気ストーブ／火源が転倒する,4,4,－,1,－,3,－,－,－,－,－,43,7004,－,－,3
1電気による発熱体／11移動可能の電熱器／電気ストーブ／機械が故障する,1,1,－,－,1,－,－,－,－,－,－,10,4146,－,－,－
1電気による発熱体／11移動可能の電熱器／電気ストーブ／改悪する,1,1,1,－,－,－,－,－,－,－,－,83,16423,－,－,2
1電気による発熱体／11移動可能の電熱器／電気ストーブ／誤ってスイッチが入る,9,9,－,1,－,8,－,－,－,－,－,35,12114,－,－,1
1電気による発熱体／11移動可能の電熱器／電気ストーブ／本来の用途以外に使用,2,2,－,1,－,1,－,－,－,－,－,101,11649,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こたつ,9,9,1,2,－,6,－,－,－,－,－,130,23264,15,－,4
1電気による発熱体／11移動可能の電熱器／電気こたつ／スパークする,2,2,－,1,－,1,－,－,－,－,－,50,14517,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こたつ／絶縁劣下による発熱,1,1,－,－,－,1,－,－,－,－,－,－,70,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こたつ／可燃物が火源に触れる,2,2,1,－,－,1,－,－,－,－,－,20,492,15,－,2
1電気による発熱体／11移動可能の電熱器／電気こたつ／火花が飛ぶ,1,1,－,1,－,－,－,－,－,－,－,60,8048,－,－,1
1電気による発熱体／11移動可能の電熱器／電気こたつ／改悪する,1,1,－,－,－,1,－,－,－,－,－,－,42,－,－,－
1電気による発熱体／11移動可能の電熱器／電気こたつ／本来の用途以外に使用,2,2,－,－,－,2,－,－,－,－,－,－,95,－,－,1
1電気による発熱体／11移動可能の電熱器／電気アイロン,4,4,－,－,－,4,－,－,－,－,－,－,54,－,－,1
1電気による発熱体／11移動可能の電熱器／電気アイロン／火源が動いて接触する,1,1,－,－,－,1,－,－,－,－,－,－,4,－,－,－
1電気による発熱体／11移動可能の電熱器／電気アイロン／誤ってスイッチが入る,1,1,－,－,－,1,－,－,－,－,－,－,20,－,－,1
