"応援を受けた消防本部",応援救急隊,出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,"出場件数・不搬送・現場処置",出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,"救護人員・現場処置",搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
平成27年,合計,80,57,23,0,23,72,71,1,0,2,3,18,48
平成28年,合計,78,57,21,0,21,76,76,0,0,1,5,7,63
平成29年,合計,69,45,24,2,24,59,56,3,0,0,1,15,40
平成30年,合計,62,44,16,0,16,46,45,1,0,2,5,12,27
令和元年,合計,77,47,29,0,29,59,57,2,0,3,2,18,37
相模原市,八王子第１Ａ,1,1,0,0,0,2,2,0,0,0,0,0,2
相模原市,元八王子Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
相模原市,小宮Ａ,1,1,0,0,0,3,3,0,0,0,0,0,3
相模原市,浅川Ａ,5,4,1,0,1,4,4,0,0,0,1,2,1
相模原市,みなみ野Ａ,1,1,0,0,0,1,1,0,0,0,0,1,0
相模原市,楢原Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
相模原市,西町田Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
相模原市,南Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市,山谷Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
川崎市,森ケ崎Ａ,2,2,0,0,0,2,2,0,0,0,0,0,2
川崎市,蒲田Ａ,3,2,1,0,1,3,3,0,0,0,0,0,3
川崎市,羽田Ａ,2,1,1,0,1,1,1,0,0,1,0,0,0
川崎市,空港Ａ,1,1,0,0,0,2,2,0,0,0,0,0,2
川崎市,森ケ崎Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市,田園調布Ａ,1,0,1,0,1,1,0,1,0,0,0,0,0
川崎市,玉川Ａ,1,1,0,0,0,1,1,0,0,0,0,1,0
川崎市,用賀Ａ,2,2,0,0,0,2,2,0,0,0,0,1,1
川崎市,玉川新町Ａ,1,1,0,0,0,1,1,0,0,0,1,0,0
川崎市,忠生Ａ,1,1,0,0,0,1,1,0,0,0,0,1,0
横浜市,町田第１救急,1,1,0,0,0,1,1,0,0,0,0,1,0
横浜市,みなみ野救急,1,1,0,0,0,1,1,0,0,0,0,0,1
横浜市,南救急,2,2,0,0,0,3,3,0,0,0,0,1,2
大和市,,0,0,0,0,0,0,0,0,0,0,0,0,0
市川市,江戸川第２Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
市川市,小岩Ａ,2,1,1,0,1,2,2,0,0,0,0,0,2
市川市,篠崎Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
市川市,北小岩Ａ,2,0,2,0,2,0,0,0,0,0,0,0,0
松戸市,,0,0,0,0,0,0,0,0,0,0,0,0,0
浦安市,東砂Ａ,1,1,0,0,0,2,2,0,0,0,0,0,2
浦安市,船堀Ａ,1,0,0,0,0,0,0,0,0,0,0,0,0
浦安市,南葛西Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
稲城市,朝日Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
稲城市,多摩Ａ,1,1,0,0,0,1,1,0,0,1,0,0,0
三郷市,,0,0,0,0,0,0,0,0,0,0,0,0,0
草加八潮,荒川Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
草加八潮,足立第１Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
草加八潮,大谷田Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
川口市,西新井Ａ,1,1,0,0,0,1,1,0,0,1,0,2,1
埼玉西部,青梅Ａ,3,1,2,0,2,2,1,1,0,0,0,1,0
埼玉西部,羽村Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉西部,大泉学園Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
埼玉西部,秋津Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
埼玉西部,三ツ木Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
戸田市,巣鴨Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
戸田市,池袋Ａ,1,1,0,0,0,1,1,0,0,0,0,0,1
戸田市,高松Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
戸田市,三軒家Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
戸田市,板橋Ａ,3,2,1,0,1,2,2,0,0,0,0,0,2
戸田市,常盤台Ａ,2,2,0,0,0,2,2,0,0,0,0,1,1
戸田市,蓮根Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
戸田市,志村坂上Ａ,1,1,0,0,0,2,2,0,0,0,0,2,0
秩父,,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県南西部,高松Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
埼玉県南西部,赤塚Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
埼玉県南西部,大泉Ａ,3,2,1,0,1,3,3,0,0,0,0,2,1
埼玉県南西部,大泉学園Ａ,2,2,0,0,0,2,2,0,0,0,0,2,0
埼玉県南西部,石神井公園Ａ,1,0,1,0,1,0,0,0,0,0,0,0,0
上野原市,,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,,0,0,0,0,0,0,0,0,0,0,0,0,0
