地域,団数,分団数,定員,現員,防災資機材格納庫,消防団用可搬ポンプ,ホース(本),防火服
合計,57,436,16000,14126,948,952,19040,16000
丸の内,1,2,100,100,－,1,20,100
麹町,1,3,120,105,3,3,60,120
神田,1,3,150,146,7,7,140,150
京橋,1,7,150,133,7,7,140,150
日本橋,1,7,150,137,7,7,140,150
臨港,1,4,100,76,4,4,80,100
芝,1,8,220,182,15,16,320,220
麻布,1,4,120,104,8,8,160,120
赤坂,1,3,130,113,6,6,120,130
高輪,1,4,110,88,9,9,180,110
品川,1,6,270,198,12,12,240,270
大井,1,4,200,176,9,9,180,200
荏原,1,7,230,187,15,15,300,230
大森,1,8,300,266,20,20,400,300
東調布,1,9,300,285,18,18,360,300
蒲田,1,7,300,264,15,15,300,300
矢口,1,7,270,232,16,16,320,270
目黒,1,12,500,441,28,28,560,500
世田谷,1,18,700,613,49,49,980,700
玉川,1,11,300,280,15,15,300,300
成城,1,7,250,234,20,20,400,250
渋谷,1,11,450,342,25,25,500,450
四谷,1,3,100,94,3,3,60,100
牛込,1,4,150,131,4,4,80,150
新宿,1,12,300,243,16,16,320,300
中野,1,8,250,223,16,16,320,250
野方,1,8,250,214,21,21,420,250
杉並,1,9,400,360,37,37,740,400
荻窪,1,7,350,303,16,16,320,350
小石川,1,6,200,168,8,8,160,200
本郷,1,6,200,173,7,7,140,200
豊島,1,7,220,209,8,8,160,220
池袋,1,6,230,221,12,12,240,230
王子,1,8,200,200,10,10,200,200
赤羽,1,7,200,191,12,12,240,200
滝野川,1,8,210,195,17,17,340,210
板橋,1,8,350,341,21,21,420,350
志村,1,10,350,337,25,27,540,350
練馬,1,8,280,261,17,17,340,280
光が丘,1,5,180,161,11,11,220,180
石神井,1,10,330,322,17,17,340,330
上野,1,8,280,248,16,16,320,280
浅草,1,4,130,120,5,5,100,130
日本堤,1,4,140,139,7,7,140,140
荒川,1,8,300,273,17,17,340,300
尾久,1,6,200,183,14,14,280,200
千住,1,8,380,334,15,15,300,380
足立,1,12,520,470,40,40,800,520
西新井,1,9,360,330,27,27,540,360
本所,1,8,300,274,16,16,320,300
向島,1,9,350,281,19,19,380,350
深川,1,10,290,244,20,20,400,290
城東,1,8,280,237,18,18,360,280
本田,1,16,700,549,51,51,1020,700
金町,1,11,500,441,23,23,460,500
江戸川,1,15,650,545,43,43,860,650
小岩,1,8,450,409,31,31,620,450
