消防署,計,一・イ,一・ロ,二・イ,二・ロ,二・ハ,二・ニ,三・イ,三・ロ,四,五・イ,五・ロ,六・イ・（１）,六・イ・（２）,六・イ・（３）,六・イ・（４）,六・ロ・（１）,六・ロ・（２）,六・ロ・（３）,六・ロ・（４）,六・ロ・（５）,六・ハ・（１）,六・ハ・（２）,六・ハ・（３）,六・ハ・（４）,六・ハ・（５）,六・ニ,七,八,九・イ,九・ロ,十,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,少量危険物等・運搬,少量危険物等・少量危険物貯蔵取扱所,少量危険物等・指定可燃物貯蔵取扱所
令和元年度,"23,176",1,1,0,6,0,5,0,65,91,132,"12,855",7,1,6,7,37,0,0,0,10,13,1,105,0,17,52,514,39,1,8,20,533,108,0,170,0,212,2171,340,4240,0,0,112,2,0,1,4,132,395,0,669,93
特別区,"16,565",1,1,0,1,0,2,0,31,39,51,"9,775",3,1,3,1,14,0,0,0,3,9,0,41,0,8,25,219,22,1,5,11,411,66,0,108,0,136,1617,251,2683,0,0,60,2,0,1,3,121,306,0,463,70
丸の内,109,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,0,0,0,2,0,0,0,0,11,31,0,23,0
麹町,147,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,2,48,4,16,0,0,1,0,0,0,0,9,29,0,10,0
神田,75,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,4,0,0,1,0,0,0,0,1,3,0,0,0
京橋,286,0,0,0,0,0,0,0,1,1,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,153,12,51,0,0,0,0,0,0,0,0,1,0,9,0
日本橋,106,0,0,0,0,0,0,0,0,1,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,42,2,9,0,0,0,0,0,0,0,1,6,0,5,1
臨港,130,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,30,1,18,0,0,0,0,0,0,0,3,5,0,14,0
芝,50,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28,1,2,0,0,0,0,0,0,0,0,0,0,1,0
麻布,79,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,10,2,8,0,0,0,0,0,0,0,0,3,0,0,0
