消防署,火災件数／計,火災件数／建物／小計,火災件数／建物／全焼,火災件数／建物／半焼,火災件数／建物／部分焼,火災件数／建物／ぼや,火災件数／車両,火災件数／船舶,火災件数／航空機,火災件数／林野,火災件数／その他,焼損床面積(m2),損害額(千円),死傷者／死者,死傷者／傷者
計,284,149,22,8,12,107,26,－,－,1,108,3871,788624,2,19
特別区,178,100,10,6,8,76,15,－,－,－,63,2321,660824,1,16
丸の内,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
麹町,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
神田,1,1,－,－,－,1,－,－,－,－,－,－,75,－,－
京橋,1,1,1,－,－,－,－,－,－,－,－,187,116488,－,1
日本橋,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臨港,4,3,－,－,－,3,1,－,－,－,－,2,892,－,－
芝,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－
麻布,1,1,－,－,－,1,－,－,－,－,－,－,7,－,－
赤坂,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－
高輪,1,－,－,－,－,－,－,－,－,－,1,－,7,－,－
品川,2,－,－,－,－,－,－,－,－,－,2,－,－,－,－
大井,2,1,－,－,－,1,－,－,－,－,1,－,40,－,－
荏原,3,2,－,－,－,2,－,－,－,－,1,－,5,－,－
大森,5,3,1,1,－,1,－,－,－,－,2,152,10344,－,1
東調布,3,3,－,－,1,2,－,－,－,－,－,43,110732,－,2
蒲田,3,3,1,－,－,2,－,－,－,－,－,527,55284,－,－
矢口,2,－,－,－,－,－,－,－,－,－,2,－,－,－,－
目黒,4,3,－,－,－,3,－,－,－,－,1,－,1566,－,－
世田谷,3,2,－,－,－,2,1,－,－,－,－,－,9,－,－
玉川,11,3,1,－,－,2,2,－,－,－,6,40,6816,－,2
成城,1,1,－,－,－,1,－,－,－,－,－,－,1444,－,－
渋谷,3,3,－,2,－,1,－,－,－,－,－,228,66934,－,－
四谷,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
牛込,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
新宿,3,－,－,－,－,－,－,－,－,－,3,－,－,－,－
中野,1,－,－,－,－,－,－,－,－,－,1,－,12,－,－
野方,5,－,－,－,－,－,1,－,－,－,4,－,175,－,－
杉並,7,4,－,－,1,3,1,－,－,－,2,14,1066,－,－
荻窪,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
小石川,2,1,－,－,1,－,1,－,－,－,－,15,28784,－,－
本郷,5,3,1,－,－,2,－,－,－,－,2,68,14358,－,－
豊島,5,4,－,－,－,4,－,－,－,－,1,－,1153,－,－
池袋,4,2,1,－,－,1,－,－,－,－,2,86,13314,－,1
王子,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
赤羽,3,3,1,－,1,1,－,－,－,－,－,10,20086,－,－
滝野川,3,1,－,1,－,－,1,－,－,－,1,20,3313,1,－
板橋,6,4,1,1,－,2,1,－,－,－,1,143,10225,－,3
志村,10,8,－,－,－,8,－,－,－,－,2,－,96,－,－
練馬,13,6,－,－,3,3,3,－,－,－,4,107,53575,－,4
光が丘,2,1,－,－,－,1,－,－,－,－,1,－,11,－,－
石神井,4,3,－,－,－,3,－,－,－,－,1,－,15,－,－
上野,2,－,－,－,－,－,－,－,－,－,2,－,－,－,－
浅草,7,6,－,－,－,6,－,－,－,－,1,－,180,－,－
日本堤,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
荒川,3,2,－,－,－,2,－,－,－,－,1,－,3500,－,－
尾久,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
千住,2,－,－,－,－,－,－,－,－,－,2,－,1,－,－
足立,5,2,－,－,－,2,－,－,－,－,3,－,－,－,－
西新井,1,1,1,－,－,－,－,－,－,－,－,469,123928,－,－
本所,6,2,－,－,－,2,1,－,－,－,3,－,4010,－,－
向島,3,3,－,－,1,2,－,－,－,－,－,20,719,－,－
深川,2,2,－,－,－,2,－,－,－,－,－,－,1,－,－
城東,4,1,－,－,－,1,1,－,－,－,2,－,88,－,－
本田,7,4,－,－,－,4,－,－,－,－,3,－,65,－,－
金町,5,3,－,1,－,2,1,－,－,－,1,60,1857,－,2
江戸川,5,2,1,－,－,1,－,－,－,－,3,130,9436,－,－
小岩,1,1,－,－,－,1,－,－,－,－,－,－,211,－,－
受託地区,106,49,12,2,4,31,11,－,－,1,45,1550,127800,1,3
立川,6,6,2,－,－,4,－,－,－,－,－,116,7528,－,－
国分寺,11,6,－,－,－,6,1,－,－,－,4,－,2084,－,－
小平,2,2,1,－,－,1,－,－,－,－,－,324,4447,－,1
武蔵野,4,2,－,－,1,1,1,－,－,－,1,50,4324,－,－
保谷,4,1,1,－,－,－,－,－,－,－,3,161,10014,－,1
三鷹,5,3,－,－,－,3,1,－,－,－,1,－,902,－,－
調布,16,6,3,2,－,1,－,－,－,－,10,367,41119,－,－
府中,4,3,1,－,－,2,－,－,－,－,1,177,21436,－,－
日野,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
町田,3,2,－,－,1,1,1,－,－,－,－,10,645,－,－
八王子,4,2,1,－,－,1,1,－,－,－,1,174,15523,－,－
青梅,13,3,1,－,－,2,2,－,－,1,7,15,425,－,－
東村山,3,1,－,－,1,－,－,－,－,－,2,38,8607,1,－
福生,7,3,1,－,－,2,－,－,－,－,4,2,89,－,－
狛江,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
北多摩西部,3,1,1,－,－,－,2,－,－,－,－,96,6044,－,－
清瀬,3,1,－,－,－,1,－,－,－,－,2,－,100,－,－
秋川,8,2,－,－,1,1,1,－,－,－,5,20,4497,－,1
奥多摩,2,1,－,－,－,1,－,－,－,－,1,－,1,－,－
多摩,8,4,－,－,－,4,1,－,－,－,3,－,15,－,－
