出火階,火災件数／計,火災件数／地上階層／4階建,火災件数／地上階層／5階建,火災件数／地上階層／6階建,火災件数／地上階層／7階建,火災件数／地上階層／8階建,火災件数／地上階層／9階建,火災件数／地上階層／10階建,火災件数／地上階層／11階建,火災件数／地上階層／12階建,火災件数／地上階層／13階建,火災件数／地上階層／14階建,火災件数／地上階層／15階建,火災件数／地上階層／16階建,火災件数／地上階層／17階建以上,火災件数／地下階層／地階なし,火災件数／地下階層／地下1階,火災件数／地下階層／地下2階,火災件数／地下階層／地下3階,火災件数／地下階層／地下4階,火災件数／地下階層／地下5階,火災件数／地下階層／地下6階,火災件数／焼損程度／全焼,火災件数／焼損程度／半焼,火災件数／焼損程度／部分焼,火災件数／焼損程度／ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積(m2),損害額(千円),死者,傷者
計,1135,269,266,100,74,85,63,58,68,30,13,98,1,2,8,799,252,55,23,3,3,－,－,3,115,1017,1140,732,1722,3003,1271594,13,198
28階,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,1,1,1,5,－,36,－,1
25階,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,－,1,1,1,4,－,38,－,1
16階,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,－,－,－,－,－,－,1,1,－,－,－,1,－,－
15階,1,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,－,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－,－
14階,5,－,－,－,－,－,－,－,－,－,－,5,－,－,－,5,－,－,－,－,－,－,－,－,1,4,5,2,5,10,1633,－,1
13階,7,－,－,－,－,－,－,－,－,－,2,5,－,－,－,6,1,－,－,－,－,－,－,－,－,7,7,3,7,－,707,－,－
12階,6,－,－,－,－,－,－,－,－,2,－,4,－,－,－,5,1,－,－,－,－,－,－,－,1,5,6,4,11,12,11963,－,1
11階,22,－,－,－,－,－,－,－,9,3,－,10,－,－,－,18,3,1,－,－,－,－,－,－,1,21,22,11,40,9,6608,－,1
10階,11,－,－,－,－,－,－,2,4,1,2,2,－,－,－,11,－,－,－,－,－,－,－,－,1,10,11,5,12,27,3482,－,1
9階,18,－,－,－,－,1,5,3,5,－,1,3,－,－,－,14,2,－,2,－,－,－,－,－,－,18,18,7,15,－,3177,－,1
8階,19,－,－,－,－,4,2,4,3,1,1,3,－,1,－,10,8,1,－,－,－,－,－,－,－,19,19,10,31,－,4499,－,4
7階,35,－,－,－,8,9,4,6,3,1,－,4,－,－,－,23,8,3,1,－,－,－,－,－,6,29,35,30,74,87,49920,－,9
6階,49,－,－,15,10,5,7,6,3,－,1,2,－,－,－,29,14,5,1,－,－,－,－,－,4,45,49,40,108,189,55750,1,11
5階,74,－,29,7,5,6,2,6,4,5,－,9,－,－,1,54,14,4,2,－,－,－,－,－,9,65,74,63,155,255,78556,2,16
4階,124,44,41,5,9,7,5,3,3,－,－,5,1,－,1,97,20,5,1,－,1,－,－,－,16,108,125,121,254,452,211482,1,21
3階,163,53,51,14,7,9,6,8,4,4,2,5,－,－,－,126,32,5,－,－,－,－,－,1,28,134,164,202,416,779,314254,2,38
2階,186,66,47,16,6,16,9,8,9,3,1,5,－,－,－,144,36,5,1,－,－,－,－,2,24,160,187,135,355,694,247179,3,42
1階,337,92,88,32,20,15,17,11,16,9,3,33,－,－,1,256,66,10,5,－,－,－,－,－,21,316,339,92,225,436,226679,2,45
地下1階,60,12,8,10,9,10,2,1,4,1,－,2,－,1,－,－,45,8,5,2,－,－,－,－,3,57,60,5,5,53,45434,1,3
地下2階,13,2,2,1,－,3,3,－,1,－,－,－,－,－,1,－,－,8,3,－,2,－,－,－,－,13,13,－,－,－,6996,1,2
地下3階,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,－,－,－,－,－,－,1,1,－,－,－,3100,－,－
地下4階,1,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,1,1,－,－,－,100,－,－
