消防署,計,(一)／イ,(一)／ロ,(二)／イ,(二)／ロ,(三)／イ,(三)／ロ,(四),(五)／イ,(五)／ロ,(六)／イ,(六)／ロ,(六)／ハ,(七),(八),(九)／イ,(九)／ロ,(十),(十一),(十二)／イ,(十二)／ロ,(十三)／イ,(十三)／ロ,(十四),(十五)／(1),(十五)／(2),(十五)／(3),(十六)／イ,(十六)／ロ,(十六の二),(十七)
計,13692,5,9,46,238,134,1971,323,126,905,29,146,104,73,30,101,1497,10,436,164,－,13,－,78,224,1126,430,4625,839,－,10
特別区,10899,4,7,16,195,121,1404,185,93,673,16,83,71,61,18,97,1331,6,349,131,－,11,－,75,156,1007,227,3807,749,－,6
丸の内,91,－,1,－,26,－,37,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,22,1,－,1
麹町,512,－,－,－,1,7,17,1,－,45,－,－,－,－,－,－,－,－,2,1,－,－,－,－,－,128,－,155,155,－,－
神田,444,－,－,－,5,2,49,7,－,－,－,－,－,6,－,1,3,－,1,1,－,1,－,1,－,100,10,223,34,－,－
京橋,173,－,－,1,6,2,13,－,2,－,－,－,－,－,－,－,1,－,－,4,－,1,－,－,2,27,－,111,3,－,－
日本橋,249,－,－,－,－,3,26,26,－,15,－,－,－,－,－,－,3,－,4,－,－,2,－,4,1,71,－,67,27,－,－
臨港,16,－,－,1,1,－,1,－,－,－,－,1,－,－,－,－,4,－,－,－,－,－,－,2,1,1,－,3,1,－,－
芝,609,－,－,1,3,－,90,4,13,4,5,－,－,－,－,－,1,－,6,27,－,2,－,29,6,156,13,166,83,－,－
麻布,65,－,－,－,4,1,10,1,－,3,－,1,－,－,－,－,1,－,1,－,－,1,－,－,1,3,－,34,4,－,－
赤坂,79,－,－,－,－,9,9,1,－,2,－,－,－,－,－,－,2,－,－,1,－,－,－,－,－,9,4,40,2,－,－
高輪,17,－,－,－,－,－,2,－,－,2,－,1,－,－,－,－,1,－,3,－,－,－,－,－,1,－,1,5,1,－,－
品川,113,－,－,1,4,2,13,－,－,7,－,－,2,－,－,－,9,－,15,－,－,－,－,－,2,9,4,42,3,－,－
大井,188,－,－,2,8,4,17,－,3,41,－,－,－,－,1,2,17,1,4,6,－,－,－,1,3,18,8,39,13,－,－
荏原,143,－,－,－,2,－,22,5,－,3,－,2,2,－,－,－,29,－,2,2,－,－,－,－,2,8,5,55,4,－,－
大森,160,－,1,－,3,－,21,－,－,1,1,4,1,2,－,－,41,－,5,3,－,－,－,－,3,5,9,55,5,－,－
東調布,221,－,－,－,3,－,14,2,－,73,－,－,2,－,－,－,18,－,6,5,－,－,－,－,5,4,7,67,15,－,－
蒲田,139,－,－,2,2,－,20,－,3,2,－,－,－,－,－,－,30,－,2,3,－,－,－,－,3,2,1,53,16,－,－
