危険物品名(kg),計,製造所,屋内貯蔵所,屋外タンク貯蔵所 ,屋内タンク貯蔵所,地下タンク貯蔵所,簡易タンク貯蔵所,移動タンク貯蔵所,屋外貯蔵所,給油取扱所,販売取扱所・第１種,販売取扱所・第２種,移送取扱所,一般取扱所
第一類_第一種酸化性固体,55.2158,0.04,10.67,-,-,22.4,-,8.9,-,-,1.3155,0.005,-,11.8853
第一類_第二種酸化性固体,22.0946,-,20.6661,-,-,-,-,-,-,-,0.95,-,-,0.4785
第一類_第三種酸化性固体,63.7126,0.329,42.2419,-,-,-,-,-,-,-,14.5965,-,-,6.5452
第二類_硫化りん,0.0682,-,0.05,-,-,-,-,-,-,-,-,-,-,0.0182
第二類_赤りん,5.9506,0.45,4.532,-,-,-,-,-,-,-,-,-,-,0.9686
第二類_硫黄,469.2531,-,5.9245,-,-,-,-,-,-,-,0.11,-,-,463.2186
第二類_第一種可燃性固体,4.988,-,4.925,-,-,-,-,-,-,-,-,-,-,0.063
第二類_鉄粉,35.5288,-,31.5,-,-,-,-,-,-,-,0.02,-,-,4.0088
第二類_第二種可燃性固体,8.3574,0.8693,6.487,-,-,-,-,-,-,-,-,-,-,1.0011
第二類_引火性固体,397.6828,1.584,46.9999,-,-,-,-,338.805,-,-,0.395,9.4508,-,0.4481
第三類_カリウム,0.058,-,0.0541,-,-,-,-,-,-,-,-,-,-,0.0039
第三類_ナトリウム,222.3278,-,0.1195,-,-,-,-,-,-,-,0.001,-,-,222.2073
第三類_アルキルアルミニウム,1.2971,-,0.008,-,-,-,-,1.2874,-,-,-,-,-,0.0017
第三類_アルキルリチウム,0.0116,-,0.01,-,-,-,-,-,-,-,-,-,-,0.0016
第三類_第一種自然発火性物質及び禁水性物質,0.105,0.0179,0.0788,-,-,-,-,-,-,-,-,-,-,0.0083
第三類_黄りん,0.025,-,0.025,-,-,-,-,-,-,-,-,-,-,-
第三類_第二種自然発火性物質及び禁水性物質,0.9638,0.015,0.7787,-,-,-,-,-,-,-,0.1612,-,-,0.0089
第三類_第三種自然発火性物質及び禁水性物質,11.32,0.114,0.03,-,-,-,-,-,-,-,0.0003,-,-,11.17
第四類_特殊引火物,863.43,0.15,22.0556,-,-,-,-,838.81,-,-,1.296,0.14,-,0.9785
"第四類_第一石油類・非水溶性液体	","79,906.89",328.1757,2925.5172,18403,-,1064.7,3.475,"7,813.83",11,38798.453,224.9492,424.0373,-,"9,909.74"
"第四類_第一石油類・水溶性液体	","2,561.88",23.7907,283.8942,-,-,23.3,-,"2,015.84",-,48,18.9926,9.2318,-,138.8361
第四類_アルコール類,"5,275.49",319.31,788.7001,280.96,-,395.97,-,3182.899,5.132,-,21.149,9.7608,-,271.61
第四類_第二石油類・非水溶性液体,278808.6461,514.4754,4099.4591,112781.831,2414.2138,45555.964,0.576,12663.999,188.562,49091.594,284.9668,377.7621,25150,25685.2429
"第四類_第二石油類・水溶性液体	",3948.6749,63.0959,634.7801,-,-,60.2,-,2612.971,17.2,-,13.809,0.697,-,545.9219
第四類_第三石油類・非水溶性液体,139922.18,319.9457,2696.9253,14738.303,8531.021,76088.583,-,5274.999,3318.431,1201.316,102.448,35.565,-,27614.643
"第四類_第三石油類・水溶性液体	",5079.1847,125.9381,667.2847,64.6,0.92,175.6,-,2414.423,445.85,48.95,13.1905,17.49,-,1104.9384
第四類_第四石油類　,14961.913,216.0325,3439.2447,2950.784,93.377,328.75,-,3027.592,713.116,43.843,54.572,15.42,-,4079.1818
第四類_動植物油類,3794.2123,1.2987,82.1042,28,-,9.6,-,898.473,1,-,6.009,18.099,-,2749.6284
第五類_第一種自己反応性物質,0.3724,0.0003,0.3362,-,-,-,-,-,-,-,0.0102,0.0177,-,0.008
第五類_第二種自己反応性物質,72.6083,17.5946,10.9584,20.295,-,-,-,11.628,-,-,0.0016,0.0365,-,12.0942
第六類,176.6461,-,4.143,17.851,-,-,-,149.65,-,-,1.21,-,-,3.7921
