月,令和元年救急搬送人員（人）,令和2年救急搬送人員（人）
1,63,66
2,41,71
3,92,87
4,100,78
5,102,66
6,100,55
7,61,63
8,27,64
9,61,57
10,74,92
11,78,140
12,55,101
,,
,,
,,
,,
,,
,,
,,
