救急隊,救急出場件数／計,救急出場件数／搬送,救急出場件数／不搬送／小計,救急出場件数／不搬送／現場処置,救急出場件数／不搬送／不救護,救護人員／計,救護人員／搬送,救護人員／現場処置
計,392200,353960,38240,1004,37236,368926,367848,1078
航空隊,157,28,129,－,129,26,26,－
特別区,300363,269971,30392,775,29617,280405,279573,832
丸の内,2339,2126,213,15,198,2232,2217,15
有楽町,1795,1609,186,3,183,1673,1669,4
永田町,1591,1445,146,3,143,1551,1548,3
九段,1869,1713,156,2,154,1814,1811,3
神田,2767,2449,318,7,311,2542,2534,8
京橋,2223,2012,211,6,205,2076,2070,6
銀座,2296,1992,304,8,296,2073,2065,8
日本橋,2353,2098,255,17,238,2209,2188,21
月島,1400,1281,119,3,116,1330,1327,3
芝,2420,2116,304,6,298,2225,2218,7
三田,1979,1805,174,7,167,1902,1893,9
麻布,2476,2152,324,3,321,2202,2199,3
赤坂,2440,2160,280,9,271,2274,2265,9
高輪,1913,1755,158,2,156,1721,1719,2
港南,1303,1202,101,－,101,1283,1283,－
品川,2231,2003,228,11,217,2098,2087,11
五反田,2535,2304,231,3,228,2393,2390,3
大井,3007,2679,328,3,325,2794,2791,3
荏原,3078,2797,281,5,276,2908,2903,5
大森,3025,2773,252,6,246,2874,2868,6
馬込,2945,2655,290,14,276,2778,2763,15
市野倉,3171,2861,310,12,298,2939,2927,12
東調布,2673,2418,255,10,245,2540,2530,10
蒲田,2997,2635,362,15,347,2748,2730,18
羽田,2133,1922,211,3,208,1986,1983,3
空港,1317,1197,120,4,116,1246,1242,4
矢口,2853,2603,250,15,235,2709,2694,15
目黒第1,2408,2169,239,5,234,2256,2251,5
目黒第2,2391,2161,230,8,222,2241,2233,8
大岡山,2692,2471,221,7,214,2600,2593,7
世田谷第1,3014,2733,281,15,266,2837,2821,16
世田谷第2,2982,2703,279,13,266,2775,2762,13
宮の坂,3006,2696,310,9,301,2756,2747,9
玉川,2689,2464,225,3,222,2672,2669,3
用賀,2653,2404,249,5,244,2589,2584,5
成城,2321,2152,169,2,167,2270,2267,3
鳥山,2183,1939,244,5,239,2027,2022,5
渋谷,3117,2711,406,9,397,2780,2771,9
恵比寿,2750,2453,297,3,294,2415,2412,3
代々木,2836,2506,330,9,321,2586,2576,10
富ヶ谷,3080,2719,361,7,354,2842,2834,8
原宿,2417,2130,287,17,270,2194,2177,17
四谷,2347,2089,258,5,253,2148,2143,5
新宿御苑,3013,2451,562,18,544,2549,2531,18
牛込,2537,2304,233,8,225,2390,2381,9
新宿,2781,2424,357,4,353,2483,2479,4
落合,2906,2612,294,8,286,2695,2687,8
戸塚,2809,2399,410,6,404,2480,2474,6
大久保,3049,2518,531,15,516,2593,2578,15
十二社,3247,2802,445,9,436,2845,2832,13
中野,2761,2465,296,13,283,2540,2526,14
宮園通,2585,2321,264,3,261,2384,2381,3
野方,2771,2517,254,13,241,2615,2598,17
鷺宮,2029,1897,132,1,131,1955,1954,1
杉並,2203,1991,212,4,208,2052,2047,5
永福,2830,2526,304,1,303,2647,2646,1
阿佐谷,2186,1983,203,4,199,2030,2025,5
高円寺,2618,2378,240,11,229,2477,2465,12
高井戸,2386,2149,237,4,233,2262,2258,4
荻窪,2607,2359,248,12,236,2441,2429,12
西荻,1869,1700,169,4,165,1781,1776,5
小石川,2730,2544,186,3,183,2596,2593,3
本郷,2516,2294,222,5,217,2368,2363,5
根津,2430,2186,244,2,242,2209,2207,2
豊島,3539,3154,385,5,380,3269,3264,5
池袋,3651,3119,532,8,524,3219,3211,8
王子,2731,2468,263,1,262,2543,2541,2
十条,2568,2339,229,4,225,2434,2430,4
赤羽,2106,1897,209,12,197,1969,1957,12
赤羽台,2231,2035,196,3,193,2089,2086,3
滝野川,2860,2615,245,2,243,2662,2660,2
板橋,3323,3002,321,8,313,3068,3059,9
常盤台,3125,2777,348,9,339,2886,2876,10
志村,2222,2006,216,7,209,2073,2065,8
蓮根,1316,1186,130,1,129,1228,1225,3
赤塚,768,676,92,1,91,715,714,1
中台,2310,2107,203,3,200,2184,2181,3
高島平,2251,2052,199,5,194,2141,2135,6
練馬,3039,2788,251,6,245,2917,2911,6
貫井,2295,2109,186,5,181,2190,2185,5
光が丘,2745,2539,206,1,205,2645,2644,1
関町,2103,1938,165,12,153,2042,2029,13
大泉学園,2142,1928,214,6,208,2012,2004,8
石神井公園,2349,2129,220,2,218,2214,2212,2
上野,2712,2342,370,14,356,2391,2376,15
下谷,2632,2347,285,10,275,2426,2415,11
浅草,2319,2029,290,5,285,2085,2079,6
日本堤,2671,2300,371,2,369,2345,2342,3
今戸,2526,2279,247,5,242,2305,2299,6
荒川,2725,2469,256,4,252,2531,2527,4
南千住,2530,2179,351,3,348,2218,2215,3
尾久,2728,2500,228,6,222,2576,2570,6
千住,2589,2344,245,6,239,2411,2405,6
足立,3237,2960,277,4,273,3095,3091,4
淵江,2482,2246,236,2,234,2374,2372,2
大谷田,2808,2533,275,3,272,2637,2634,3
神明,1958,1777,181,2,179,1871,1869,2
西新井,2511,2254,257,9,248,2370,2361,9
大師前,3117,2807,310,4,306,2904,2900,4
本所,2540,2294,246,5,241,2410,2404,6
太平,2572,2323,249,9,240,2438,2427,11
向島,2203,2030,173,2,171,2092,2090,2
立花,2204,2036,168,5,163,2114,2109,5
深川,2943,2694,249,2,247,2819,2817,2
豊洲,2088,1936,152,3,149,2051,2048,3
城東,2638,2367,271,6,265,2483,2477,6
大島,2792,2537,255,6,249,2635,2629,6
砂町,2877,2613,264,3,261,2731,2727,4
本田,2955,2664,291,19,272,2807,2785,22
青戸,2716,2464,252,7,245,2574,2566,8
奥戸,2840,2544,296,15,281,2655,2638,17
金町,2201,1971,230,11,219,2054,2043,11
水元,1722,1566,156,5,151,1659,1654,5
江戸川,2855,2604,251,7,244,2758,2751,7
船堀,2895,2664,231,5,226,2813,2808,5
南葛西,2584,2315,269,4,265,2444,2440,4
小岩,2303,2107,196,6,190,2225,2219,6
篠崎,1922,1757,165,6,159,1845,1839,6
北小岩,2416,2173,243,7,236,2259,2252,7
受託地区,91680,83961,7719,229,7490,88495,88249,246
立川,2946,2693,253,5,248,2793,2788,5
国立,2289,2072,217,2,215,2212,2208,4
拝島,2519,2289,230,4,226,2401,2397,4
砂川,2228,2021,207,8,199,2138,2130,8
国分寺,2415,2287,128,6,122,2372,2366,6
小金井,2207,1990,217,6,211,2063,2057,6
小平,2394,2188,206,7,199,2280,2272,8
花小金井,1846,1695,151,3,148,1775,1772,3
武蔵野,2239,2065,174,3,171,2157,2154,3
吉祥寺,2033,1842,191,4,187,1912,1908,4
保谷,2046,1931,115,1,114,2010,2008,2
西原,2083,1929,154,2,152,1994,1992,2
三鷹,2260,2127,133,5,128,2218,2213,5
下連雀,2278,2063,215,4,211,2105,2100,5
調布,1978,1827,151,5,146,1959,1954,5
つつじヶ丘,1842,1652,190,1,189,1736,1735,1
国領,1661,1500,161,8,153,1563,1553,10
府中,2252,2030,222,16,206,2154,2137,17
是政,1796,1624,172,5,167,1716,1711,5
栄町,1866,1718,148,－,148,1788,1788,－
本町,2690,2477,213,4,209,2610,2606,4
狛江,1761,1590,171,11,160,1640,1628,12
北多摩西部,2398,2223,175,5,170,2380,2375,5
三ツ木,1079,971,108,1,107,1062,1061,1
清瀬,1547,1422,125,2,123,1480,1478,2
八王子,3462,3110,352,19,333,3183,3164,19
元八王子,2352,2159,193,3,190,2270,2267,3
小宮,1968,1810,158,2,156,1923,1921,2
浅川,2592,2406,186,2,184,2513,2511,2
北野,2121,1943,178,3,175,2050,2047,3
由木,1244,1158,86,3,83,1235,1232,3
日野,2116,1944,172,10,162,2038,2028,10
高幡,1724,1597,127,3,124,1668,1665,3
町田,2742,2465,277,9,268,2608,2599,9
忠生,1768,1617,151,4,147,1741,1736,5
南,1966,1797,169,4,165,1912,1908,4
鶴川,1411,1292,119,7,112,1392,1384,8
西町田,824,754,70,1,69,811,809,2
青梅,1849,1708,141,3,138,1847,1843,4
長淵,1173,1028,145,4,141,1109,1105,4
福生,2523,2330,193,4,189,2533,2527,6
瑞穂,1441,1320,121,2,119,1478,1476,2
秋川,1585,1485,100,1,99,1551,1549,2
檜原,291,264,27,3,24,299,296,3
奥多摩,433,398,35,3,32,470,466,4
多摩第1,1727,1562,165,13,152,1669,1656,13
多摩第2,1715,1588,127,8,119,1677,1669,8
