"救急隊出場先
区市町村",全年齢,0~4歳代,5~9歳代,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,80歳代,90歳代,100歳以上
全出場先,954.4 ,1519.9 ,579.3 ,419.9 ,419.3 ,323.2 ,339.6 ,524.1 ,871.8 ,1621.3 ,4205.8 ,7325.3 ,7282.7 
千代田区,2692.8 ,2211.3 ,843.5 ,891.2 ,2446.0 ,1297.7 ,1778.8 ,3422.7 ,4986.6 ,4635.9 ,7048.2 ,8333.3 ,15151.5 
中央区,1090.4 ,1303.5 ,482.0 ,277.8 ,751.7 ,504.8 ,535.3 ,945.5 ,1717.7 ,2213.1 ,5390.2 ,8046.0 ,2000.0 
港区,1282.8 ,1859.4 ,631.9 ,431.7 ,1141.8 ,732.0 ,676.9 ,997.6 ,1470.0 ,2281.4 ,4900.9 ,7737.9 ,2500.0 
品川区,906.2 ,1528.8 ,594.1 ,369.9 ,409.1 ,291.0 ,330.3 ,546.3 ,835.9 ,1686.4 ,4389.4 ,7441.4 ,5729.2 
大田区,929.4 ,1423.1 ,566.7 ,373.8 ,274.5 ,250.3 ,315.9 ,489.3 ,882.1 ,1679.8 ,4357.0 ,8573.4 ,6606.6 
目黒区,829.3 ,1443.7 ,783.5 ,328.7 ,349.7 ,277.0 ,292.6 ,471.2 ,633.1 ,1369.4 ,4195.0 ,7661.0 ,4908.0 
世田谷区,820.3 ,1629.6 ,563.8 ,427.2 ,384.7 ,275.3 ,242.2 ,393.2 ,645.3 ,1343.5 ,4153.0 ,7164.4 ,6311.6 
渋谷区,1220.8 ,1694.5 ,691.1 ,938.6 ,1246.4 ,633.4 ,533.3 ,775.5 ,1141.8 ,1980.0 ,4670.3 ,6996.3 ,8264.5 
新宿区,1353.0 ,1542.8 ,659.5 ,631.3 ,1056.3 ,697.8 ,644.8 ,1089.0 ,1520.7 ,2322.8 ,4839.4 ,8058.5 ,7784.4 
中野区,855.6 ,1637.0 ,574.7 ,382.3 ,336.8 ,247.3 ,272.0 ,476.5 ,812.5 ,1549.1 ,4234.7 ,7746.2 ,2094.2 
杉並区,810.8 ,1544.1 ,585.5 ,344.2 ,321.8 ,229.2 ,213.6 ,362.0 ,624.3 ,1484.1 ,4056.4 ,7056.2 ,8883.2 
文京区,828.0 ,1434.1 ,377.0 ,425.6 ,413.5 ,281.4 ,315.1 ,498.5 ,614.1 ,1464.8 ,4011.7 ,7789.7 ,11475.4 
豊島区,1127.4 ,1688.0 ,763.8 ,627.9 ,581.8 ,475.1 ,464.8 ,711.9 ,1282.7 ,2107.3 ,5017.6 ,7351.4 ,6349.2 
北区,1027.9 ,1366.6 ,589.8 ,446.4 ,369.9 ,277.7 ,317.4 ,499.0 ,1051.0 ,1819.8 ,4389.2 ,7332.7 ,6914.9 
板橋区,896.0 ,1520.5 ,503.3 ,387.7 ,297.1 ,221.2 ,274.4 ,404.9 ,839.0 ,1627.0 ,4342.8 ,7272.5 ,9961.7 
練馬区,815.2 ,1459.6 ,556.0 ,306.0 ,255.3 ,202.9 ,240.4 ,399.6 ,671.0 ,1450.9 ,3866.6 ,7439.6 ,8086.3 
台東区,1376.9 ,1899.5 ,675.1 ,606.4 ,667.8 ,434.8 ,537.0 ,1108.5 ,1943.8 ,2489.3 ,5033.3 ,7471.3 ,8928.6 
荒川区,1009.1 ,1945.8 ,590.6 ,368.8 ,295.9 ,343.0 ,348.3 ,588.8 ,1090.6 ,1803.6 ,4412.6 ,6784.4 ,5982.9 
足立区,967.9 ,1691.5 ,613.5 ,367.1 ,292.2 ,301.3 ,334.9 ,501.9 ,867.7 ,1603.6 ,4327.2 ,7118.2 ,6250.0 
墨田区,966.8 ,1454.2 ,507.8 ,382.2 ,329.1 ,276.1 ,293.0 ,612.9 ,1070.3 ,1878.3 ,4413.0 ,7737.6 ,10891.1 
江東区,1139.9 ,1513.7 ,672.4 ,468.2 ,478.5 ,449.1 ,523.4 ,715.6 ,1144.1 ,2061.4 ,4770.2 ,8171.4 ,9638.6 
葛飾区,1167.5 ,1645.9 ,681.9 ,582.9 ,366.3 ,314.4 ,399.5 ,569.7 ,1095.9 ,2062.4 ,5172.1 ,7816.6 ,10112.4 
