消防署,変電設備／高圧,変電設備／特別高圧,発電設備／低圧,発電設備／高圧,蓄電池設備／100V未満,蓄電池設備／100V以上
計,78801,943,6890,1262,1692,3455
特別区,64458,820,5467,1047,1377,2961
丸の内,305,113,55,150,57,221
麹町,1297,51,231,70,55,280
神田,3005,11,256,60,65,145
京橋,2449,54,297,79,36,230
日本橋,2736,42,254,－,97,135
臨港,74,4,14,4,3,11
芝,2714,39,273,69,141,189
麻布,1385,18,110,27,34,66
赤坂,1243,33,205,39,－,170
高輪,705,17,81,15,20,34
品川,1895,29,175,15,53,63
大井,713,11,65,13,9,25
荏原,827,2,44,1,14,13
大森,1658,13,91,23,11,94
東調布,988,5,40,3,18,7
蒲田,2239,14,81,29,27,28
矢口,891,6,35,8,6,13
目黒,550,5,77,17,30,26
世田谷,1117,4,96,17,29,26
玉川,941,2,46,13,14,28
成城,653,10,44,1,11,33
渋谷,1823,18,265,42,20,135
四谷,1376,4,135,3,54,36
牛込,882,26,79,39,29,32
新宿,2400,56,338,39,56,196
中野,788,3,37,11,7,28
野方,297,2,13,10,3,12
杉並,1035,－,59,35,27,24
荻窪,690,4,60,9,19,3
小石川,1035,7,88,－,19,35
本郷,833,8,94,14,21,49
豊島,1975,27,181,25,72,76
池袋,740,4,76,1,1,33
王子,546,4,46,5,4,20
赤羽,715,10,59,11,12,16
滝野川,556,2,19,－,6,4
板橋,934,17,77,11,15,19
志村,2523,17,116,13,9,35
練馬,601,2,45,3,33,11
光が丘,285,3,52,2,9,3
石神井,705,－,51,－,17,3
上野,1195,14,141,11,14,52
浅草,452,4,58,3,10,12
日本堤,501,5,26,9,6,15
荒川,267,2,15,8,9,10
尾久,490,－,14,1,5,3
千住,981,4,34,13,1,24
足立,863,7,88,6,19,20
西新井,734,－,64,－,9,8
本所,696,5,86,6,37,2
向島,1316,5,22,9,11,16
深川,634,23,102,22,14,72
城東,1927,28,100,9,22,59
本田,1343,8,70,－,18,22
金町,578,4,36,4,12,10
江戸川,2796,8,112,13,24,18
小岩,561,6,39,7,3,11
受託地区,14343,123,1423,215,315,494
立川,1356,7,169,16,11,19
国分寺,562,4,49,6,6,6
小平,138,－,26,－,8,－
武蔵野,849,7,101,19,6,52
保谷,539,7,47,3,5,23
三鷹,517,5,55,8,11,19
調布,1104,8,77,19,19,19
府中,874,11,98,7,15,39
東村山,361,9,37,9,16,21
狛江,244,2,15,1,2,9
北多摩西部,462,1,52,6,9,3
清瀬,203,1,33,13,3,15
八王子,2929,16,239,35,59,106
日野,750,13,48,7,36,14
町田,1375,10,144,9,51,54
青梅,901,10,104,24,21,31
福生,596,7,44,10,16,17
秋川,341,1,36,16,11,14
奥多摩,12,－,5,－,1,1
多摩,230,4,44,7,9,32
