消防署,損害額(千円)／計,損害額(千円)／建物,損害額(千円)／建物内収容物,損害額(千円)／車両,損害額(千円)／船舶,損害額(千円)／航空機,損害額(千円)／林野,損害額(千円)／その他,死者,傷者／計(吏員),傷者／重症,傷者／中等症,傷者／軽症
計,15289368,5600124,9342076,257506,7302,－,670,81690,118,1055,84,200,771
特別区,12177037,4315967,7617556,191311,7302,－,－,44901,85,800,66,150,584
丸の内,6186,110,35,6041,－,－,－,－,－,1,－,1,－
麹町,24051,8550,15340,56,－,－,－,105,－,4,1,1,2
神田,13165,4012,8673,338,－,－,－,142,－,1,－,－,1
京橋,2136,933,291,5,－,－,－,907,－,1,－,1,－
日本橋,3997,699,2275,860,－,－,－,163,－,2,－,－,2
臨港,40372,2992,30086,118,7102,－,－,74,1,－,－,－,－
芝,76344,17493,57172,1657,－,－,－,22,－,6,1,－,5
麻布,69489,17697,51279,457,－,－,－,56,－,6,－,1,5
赤坂,211064,43918,166794,314,－,－,－,38,1,12,－,3,9
高輪,44410,14371,27552,2479,－,－,－,8,－,3,－,2,1
品川,172589,62443,92454,15816,－,－,－,1876,－,14,4,2,8
大井,236483,69206,166145,1093,－,－,－,39,1,3,1,－,2
荏原,214602,85809,128420,336,－,－,－,37,3,18,－,2,16
大森,283940,81655,198543,3174,－,－,－,568,2,35,1,4,30
東調布,104745,36949,66418,1239,－,－,－,139,－,8,－,2,6
蒲田,76505,27437,42782,5728,－,－,－,558,2,7,2,2,3
矢口,152050,50369,100995,577,－,－,－,109,3,19,－,1,18
目黒,95483,37375,55231,2846,－,－,－,31,1,21,2,4,15
世田谷,895181,239229,643580,7864,－,－,－,4508,10,45,4,8,33
玉川,98671,49157,45557,3858,－,－,－,99,2,7,1,3,3
成城,956333,257083,689177,9587,－,－,－,486,1,16,－,4,12
渋谷,194672,59309,126976,7304,－,－,－,1083,1,18,1,6,11
四谷,364972,170832,191149,2970,－,－,－,21,－,4,1,－,3
牛込,108596,72498,34335,1751,－,－,－,12,2,9,1,－,8
新宿,222954,76869,139595,6218,－,－,－,272,－,25,－,10,15
中野,93823,36412,55440,1810,－,－,－,161,－,19,－,4,15
野方,189036,88969,99037,994,－,－,－,36,1,7,－,2,5
杉並,316032,168284,143729,3027,－,－,－,992,3,16,－,4,12
荻窪,277265,127296,143986,5309,－,－,－,674,3,21,1,4,16
小石川,71892,29452,41470,785,－,－,－,185,1,7,－,1,6
本郷,233230,52639,180414,－,－,－,－,177,1,14,－,2,12
豊島,134784,45442,83050,3038,－,－,－,3254,－,21,2,4,15
池袋,278335,107269,170426,476,－,－,－,164,－,16,3,3,10
王子,71423,19677,51298,165,200,－,－,83,2,15,－,2,13
赤羽,452719,101667,346444,3631,－,－,－,977,1,22,4,4,14
滝野川,202499,42776,158162,1435,－,－,－,126,－,18,2,4,12
板橋,153917,47850,105599,291,－,－,－,177,2,11,1,1,9
志村,448838,173883,268719,5543,－,－,－,693,11,43,7,15,21
練馬,226196,97208,128632,228,－,－,－,128,－,16,1,5,10
光が丘,73100,21787,49838,1009,－,－,－,466,1,10,2,4,4
石神井,369842,169613,187468,1,1052,－,－,1709,5,27,1,3,23
上野,50596,20948,25516,3960,－,－,－,172,1,13,2,1,10
浅草,160747,10889,149741,97,－,－,－,20,－,5,1,－,4
日本堤,203942,88748,113414,1700,－,－,－,80,－,9,2,1,6
荒川,55453,27425,26453,1490,－,－,－,85,－,7,2,－,5
尾久,37159,10705,24242,2178,－,－,－,34,1,6,1,2,3
千住,162624,90443,72085,－,－,－,－,96,3,5,－,1,4
足立,487248,135826,348480,2358,－,－,－,584,－,12,－,－,12
西新井,952154,332452,608591,9615,－,－,－,1496,4,29,6,6,17
本所,136252,57112,77254,841,－,－,－,1045,2,13,－,2,11
向島,138864,35454,99241,1541,－,－,－,2628,－,9,1,1,7
深川,48853,20967,13465,11207,－,－,－,3214,1,10,1,2,7
城東,215459,107381,103589,4052,－,－,－,437,2,16,－,1,15
本田,294350,101067,179218,9807,－,－,－,4258,2,25,2,5,18
金町,150140,81382,55648,5148,－,－,－,7962,1,12,－,2,10
江戸川,535562,244066,279185,11396,－,－,－,915,3,31,－,5,26
小岩,285713,133883,146868,4442,－,－,－,520,4,30,4,2,24
受託地区,3112331,1284157,1724520,66195,－,－,670,36789,33,255,18,50,187
立川,369112,68948,285769,13113,－,－,－,1282,6,23,2,7,14
国分寺,189259,83023,105908,241,－,－,－,87,－,11,－,3,8
小平,92415,40025,50088,1728,－,－,－,574,2,7,－,1,6
武蔵野,81109,28880,47598,3686,－,－,－,945,2,12,－,3,9
保谷,320233,101740,217304,1113,－,－,－,76,1,11,1,1,9
三鷹,65924,17954,43633,3455,－,－,－,882,1,16,2,4,10
調布,173640,89973,69405,14150,－,－,－,112,2,12,1,2,9
府中,119207,71297,43360,3435,－,－,－,1115,1,5,－,－,5
東村山,72634,19313,50850,590,－,－,－,1881,1,12,－,1,11
狛江,24875,9278,14906,662,－,－,－,29,－,5,1,1,3
北多摩西部,318636,107567,207843,2980,－,－,－,246,1,23,2,6,15
清瀬,47524,29739,17765,－,－,－,－,20,2,2,－,1,1
八王子,606050,320227,248112,10441,－,－,557,26713,9,40,4,7,29
日野,114969,59961,52030,2472,－,－,－,506,－,11,－,1,10
町田,133702,66326,64794,2128,－,－,－,454,1,29,4,3,22
青梅,108361,51643,56116,409,－,－,－,193,－,8,1,3,4
福生,147049,32339,109205,4921,－,－,50,534,2,12,－,3,9
秋川,67677,37231,29876,339,－,－,63,168,2,9,－,3,6
奥多摩,6,－,－,－,－,－,－,6,－,－,－,－,－
多摩,59948,48693,9958,332,－,－,－,966,－,7,－,－,7
