月別,計,火災・小計,火災・従事・延焼阻止,火災・従事・充水,火災・従事・残火処理,火災・従事・警戒等,火災・不従事,水災・従事,水災・不従事,訓練・放水演習,訓練・その他,その他
平成27年度,"18,384",34,13,0,7,14,148,0,0,"6,311","2,935","8,956"
平成28年度,"18,907",44,7,2,3,32,132,2,0,"5,905","3,560","9,264"
平成29年度,"18,784",22,2,0,3,17,126,0,0,"6,152","3,729","8,755"
平成30年度,"16,939",14,2,0,4,8,72,1,12,"5,259","2,988","8,593"
令和元年度,"15,348",17,7,0,4,6,90,5,3,"5,367","2,729","7,137"
4月,2010,2,0,0,0,2,11,0,0,579,840,578
5月,3680,1,0,0,0,1,7,0,0,2454,582,636
6月,1994,2,0,0,0,2,1,0,0,1265,218,508
7月,821,6,3,0,2,1,1,0,0,124,139,551
8月,867,3,1,0,2,0,20,0,0,130,147,567
9月,932,0,0,0,0,0,5,0,1,199,164,563
10月,893,0,0,0,0,0,7,5,2,168,105,606
11月,938,0,0,0,0,0,5,0,0,151,85,697
12月,746,1,1,0,0,0,8,0,0,65,48,624
1月,646,0,0,0,0,0,11,0,0,37,50,548
2月,705,0,0,0,0,0,5,0,0,64,100,536
3月,1116,2,2,0,0,0,9,0,0,131,251,723
